id,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
034008,35738.0,3.5897,6.55605,13.2957,0.81827,-0.52728,0.74272,35738.0,1.58431,35.0,3.16609,28.59836,19.69053,12.66159,1.74205,62.96133,13.6756,0.0,65.36621,21.87896,1.08263,-1.40572
035009,38922.0,4.22591,7.29151,12.80332,0.70618,-1.56236,-1.9459,38922.0,2.49054,32.93336,3.73888,29.74445,21.3247,13.86619,0.76164,56.9761,16.34012,12.80253,61.85646,24.18598,0.00436,-2.95467
035010,15833.0,5.10214,8.31807,21.40097,1.38603,-1.4093,-2.63601,15833.0,4.94812,38.921,2.01019,26.5161,16.72456,11.09708,1.79263,69.72112,30.21499,4.91379,66.65117,21.06636,1.99816,1.41812
036011,26999.0,3.26605,5.44465,7.67843,0.75622,-0.36029,-0.13699,26999.0,1.59283,27.90046,6.52681,40.37884,33.78644,22.98233,1.34334,52.7639,9.14014,0.0,55.71546,29.79579,0.346,-4.75508
036012,27445.0,3.35516,6.15413,11.33226,0.80438,-0.77837,-1.24473,27445.0,1.84332,34.55645,4.8496,39.67269,27.546,18.14903,1.22965,57.11704,9.19328,0.0,62.15462,24.87439,-0.38813,-5.90637
036013,22534.0,3.34289,5.99538,7.80585,0.8064,0.0451300000000003,0.64944,22534.0,1.9069,29.58175,11.32503,38.02122,33.0789,21.92243,1.0594,54.51417,8.39868,0.0,62.60963,25.47718,-1.6112,-8.60144
036014,27196.0,6.12152,10.6045,24.57516,1.60075,0.0162599999999991,3.14848,27196.0,3.65912,35.92305,2.79465,45.53797,28.14752,19.13884,1.39252,66.43612,27.94639,21.82306,64.89646,26.6071,0.42982,-2.1561
037015,27258.0,2.35968,4.47208,6.08515,0.49932,0.27535,0.74763,27258.0,0.69565,28.49693,6.34483,44.8794,36.91026,24.89544,0.48814,57.72178,6.10215,0.0,59.61531,27.82726,-0.80416,-6.24794
037016,33623.0,3.00478,5.58844,8.27151,0.63265,0.1543,1.19955,33623.0,1.55123,28.52532,5.43438,39.29141,31.50522,20.29266,0.81885,57.07167,9.3872,0.0,62.43942,25.56446,-0.64309,-3.37804
041001,19403.0,8.80229,19.78045,47.18773,1.24415,-2.24953,-4.00363,19403.0,4.21053,38.52501,11.75603,76.02761,52.18781,28.9749,1.50802,63.94522,32.64078,64.47972,71.33478,19.65257,0.26005,-1.56018
042002,13038.0,1.62726,3.22902,7.10526,0.28403,0.1171,0.48231,13038.0,0.20492,22.88058,2.05367,44.64668,32.26722,20.45559,1.05363,61.5673,6.62332,0.0,68.87553,21.35309,0.66597,4.69509
042003,28342.0,3.45292,6.34747,15.57138,1.17241,0.38642,3.27902,28342.0,1.93885,25.68725,4.5821,56.59505,35.80905,21.53694,-0.16114,62.8768,15.25669,0.08821,65.02548,26.19243,-0.08672,0.87547
043004,43082.0,4.06827,9.14767,17.85788,0.80995,-1.3198,-2.97294,43082.0,2.15236,29.26763,10.62983,58.77784,43.25704,26.04104,-0.01721,61.34237,14.11645,0.0,67.31393,24.93043,-0.36315,-5.53961
043005,15567.0,5.14261,11.16464,27.53978,0.61622,-1.38542,-3.30997,15567.0,2.28058,29.79253,12.73804,70.11188,47.0354,28.13002,0.82734,61.54373,17.71443,24.12796,63.84564,24.41582,0.02935,-6.79774
043006,49915.0,4.34182,9.64239,21.62795,0.80414,-0.848979999999999,-0.445430000000002,49915.0,2.60134,27.79355,12.07766,70.96183,50.89853,31.25513,0.68449,62.34857,13.18976,6.54913,63.40577,25.78158,0.23097,-5.52961
044007,19813.0,2.69526,5.60238,10.90381,0.73831,-0.18542,0.94313,19813.0,0.84592,29.17831,4.57818,62.66898,39.92833,21.8392,1.08118,61.15091,10.32765,0.0,66.22872,21.25531,1.53249,4.50711
044008,34000.0,3.09263,6.27353,12.35727,0.59548,0.28529,3.21834,34000.0,1.28696,27.87758,5.03476,52.84919,31.93824,17.44412,0.92721,64.50851,14.27201,0.0,69.53529,19.62798,1.23838,2.65008
045009,27736.0,3.66839,7.49928,16.78439,0.68017,-0.80042,-2.70103,27736.0,1.9198,27.87472,7.38829,68.01828,44.89833,25.94462,0.13736,62.11784,13.36051,0.0,64.31658,24.20028,0.33793,-0.83113
045010,40841.0,3.26776,6.84116,14.45406,0.72815,0.0803800000000008,1.95406,40841.0,1.91144,28.26936,8.12454,67.30612,46.84753,28.39793,0.04807,59.95861,10.94978,0.0,64.94015,28.08998,0.00424,-3.51363
045011,49655.0,3.63254,7.91662,17.1106,0.71199,-0.191000000000001,0.698110000000003,49655.0,1.88845,28.08187,7.75862,61.64404,41.67355,24.64404,0.44394,60.08826,15.09867,0.0,65.82249,25.92507,0.06948,-2.86624
051001,26780.0,4.85489,10.89619,26.0917,1.04531,-0.792479999999999,-1.54398,26780.0,3.4931,29.33917,4.00511,51.17647,29.63779,15.82524,2.17789,65.78575,27.31199,1.53473,60.01579,21.94566,3.88843,5.98611
051002,41960.0,7.9687,18.67731,43.74704,1.38515,-1.95128,-1.40911,41960.0,5.77362,34.87287,7.01327,66.85714,42.75262,22.16873,1.97026,64.2335,41.56536,68.18637,68.54076,18.35583,0.86015,1.31332
051003,37880.0,8.1164,19.36114,45.28137,1.27674,-1.64346,-0.818659999999994,37880.0,4.84519,34.33271,9.36626,69.61573,47.47624,29.85744,1.56553,65.11936,35.74981,78.91235,60.37156,25.14991,0.02846,-3.86609
052004,23362.0,4.65148,10.60269,27.0638,0.57388,-0.746689999999999,0.0880700000000019,23362.0,2.31481,31.18703,3.75701,45.97205,27.46768,13.65037,0.986,67.19975,33.65319,89.48292,71.01664,18.18515,0.50645,3.51741
052005,30171.0,9.34731,24.09599,52.72268,0.89676,-1.63161,-2.45404000000001,30171.0,6.96279,33.26777,9.35099,67.10366,46.04753,25.41513,2.24684,63.83672,52.68535,90.21246,67.94312,16.40467,-0.15158,0.22271
052006,36304.0,6.48815,13.98468,36.85969,1.02675,-1.06313,-0.35539,36304.0,4.42352,34.1494,6.82128,60.51792,35.83076,21.75793,1.9927,64.22332,32.3785,87.24108,64.11749,22.54014,0.30907,-1.80012
053007,16493.0,7.21972,16.77681,37.62529,1.34483,-1.13098,-1.34993,16493.0,4.37192,31.63377,8.06345,67.94998,48.00218,21.59098,1.9471,59.95507,33.38447,47.56563,66.9946,18.79264,2.54213,6.49696
053008,12740.0,6.19582,14.72527,35.34711,1.21588,-2.01163,-4.85523,12740.0,4.29091,32.85372,7.72025,66.60617,48.04553,27.67661,2.77401,66.36415,29.16137,77.29984,64.54921,23.28625,0.47674,-2.10647
054009,19837.0,1.12818,2.52558,3.42709,-0.0516300000000001,-0.29678,-2.58135,19837.0,0.43621,19.64529,1.32159,31.44536,18.23864,6.56349,-0.96279,59.21659,11.13106,0.0,73.97736,16.1327,0.3974,8.40664
061001,22077.0,2.56568,4.92368,9.4503,0.47937,-0.26696,0.38977,22077.0,1.25786,24.88867,4.41207,50.15823,32.364,16.909,0.42454,60.67506,12.3091,0.0,69.54875,19.06603,-0.11406,-4.74601
061002,53501.0,3.67774,6.99426,14.23933,0.79234,-0.85397,-1.31447,53501.0,1.75512,28.6855,6.3137,51.43728,33.28349,17.5193,1.25501,64.65379,15.74319,0.0,67.25908,19.90474,0.3253,-2.86375
062003,43558.0,4.25103,8.23041,18.73298,0.80442,-0.75971,-1.44246,43558.0,2.18285,30.91136,5.01956,47.47632,30.18045,15.68483,1.91668,66.42272,18.25875,6.02186,68.55021,18.81623,1.22349,1.47252
062004,35729.0,3.81474,7.66324,19.76571,0.6691,-0.682040000000001,-1.77935,35729.0,2.33107,27.62164,3.76535,47.82069,29.3655,15.62596,1.26478,67.9563,22.777,21.28523,69.51975,18.9627,0.95906,2.71021
063005,34032.0,2.69337,4.62212,9.62842,0.91169,-0.205690000000001,-0.11318,34032.0,1.26621,28.72876,2.56302,43.71888,25.94617,13.46086,0.48085,69.17704,16.26117,0.0,69.71767,17.78314,0.31033,1.87505
063006,50156.0,2.84747,4.33448,8.89721,0.7996,-0.32909,0.0977899999999998,50156.0,1.37255,21.62978,2.55968,44.08256,29.01148,15.84257,0.95365,66.19683,15.0482,0.20137,67.40021,20.22576,0.59386,2.81871
064007,26858.0,1.4501,2.93767,4.51332,0.28724,0.14296,-0.24226,26858.0,0.59007,22.44736,2.07679,33.89526,26.13374,15.78673,0.54591,71.43868,5.82473,0.0,68.57143,24.8651,0.59429,4.48067
064008,42929.0,1.24975,2.42959,3.98778,0.20383,0.04298,0.25166,42929.0,0.1588,22.29373,1.93853,40.11199,25.67262,12.70237,-0.03163,66.66055,6.09941,0.0,70.39322,17.00978,0.69197,7.195
071001,26195.0,6.25374,16.10994,35.59034,1.61984,-0.972489999999997,-1.52099,26195.0,4.6492,27.87122,16.45022,75.50432,54.00649,32.51384,-1.09124,67.33592,26.49389,18.26684,64.4517,28.88769,-0.41138,-3.50593
071002,23948.0,5.31136,13.97194,25.89137,0.94117,-1.43217,-3.25632,23948.0,2.78392,28.84354,16.43165,64.81013,49.24837,28.81243,-1.18226,67.78261,23.06774,41.5066,67.89907,24.24624,-1.48493,-2.83985
