id,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
095018,9856.0,2.21396,3.58157,7.96394,0.72168,0.47932,2.29465,9856.0,1.63934,27.16175,1.07362,20.11349,10.36932,5.48904,0.47691,71.90388,26.52259,42.30925,72.75427,18.94674,2.39611,7.6004
095019,11733.0,3.89578,6.0854,13.10616,0.95383,-0.6025,0.650139999999999,11733.0,2.50272,28.7069,1.95567,22.8588,15.61408,10.24461,2.964,60.23295,25.06416,0.0,58.22854,24.4355,1.97364,-7.15208
095020,13294.0,2.83386,3.76862,7.97053,0.48509,-1.06084,-2.09325,13294.0,1.13052,30.67591,1.12389,18.17661,9.73371,5.40093,1.25365,58.21727,18.10345,0.04513,70.11746,17.70637,1.87331,2.76873
101001,24322.0,6.49964,19.54609,39.83932,0.63618,-2.71193,-4.62074,24322.0,4.27487,44.78442,11.05169,41.23194,27.64164,14.67807,1.95448,73.2493,36.3742,100.0,71.49205,17.64827,0.36026,0.9609
101002,48144.0,6.84469,15.91891,37.62362,1.05933,-2.23185,-3.69812,48144.0,4.74118,40.31532,4.32825,42.89316,25.68752,14.68927,1.29953,71.29525,36.31236,24.6282,69.72074,21.05403,-0.19669,-1.28499
101003,39042.0,4.55493,10.20696,23.73143,0.70513,-1.16755,-3.58584,39042.0,3.57804,32.41862,3.01967,43.73134,24.8143,12.49424,2.40898,75.23575,28.07684,44.92854,70.98514,17.56078,1.0551,0.28648
102004,37487.0,7.69524,20.88191,43.36398,1.50093,-2.72616,-4.34941,37487.0,5.84333,45.16332,9.66682,45.22451,31.06677,21.30072,4.47546,61.34001,39.74195,34.70536,62.33033,24.192,1.6502,-0.55084
102005,21403.0,5.95727,17.67509,40.316,1.06483,0.0083599999999997,1.69735,21403.0,4.0806,42.83588,5.45455,40.73252,24.73018,16.87147,3.60567,66.62974,37.99888,24.96379,65.19196,20.62377,1.53258,3.32051
102006,25213.0,5.20259,13.15988,32.20943,0.82676,-1.47986,-2.93725000000001,25213.0,4.27632,44.80591,4.66957,31.03698,18.52219,10.54218,2.8703,71.29421,40.67731,0.74168,70.24472,16.49815,1.13996,2.4011
103007,28955.0,1.90158,4.06147,7.69829,0.48531,0.11065,0.59066,28955.0,1.6087,22.01465,1.53307,26.76464,17.43395,9.49404,0.49433,73.48127,14.81619,9.6909,67.80943,26.65714,3.20258,8.14128
104008,19408.0,1.32651,2.973,5.86466,0.12689,-0.37685,-0.538130000000001,19408.0,0.9299,23.35577,0.59046,15.51835,8.96538,4.08079,0.33866,61.36364,15.89674,29.69909,77.78017,12.75077,0.18309,6.06258
104009,29757.0,0.70607,1.93568,3.12647,-0.0203100000000001,0.27907,0.74431,29757.0,0.14648,19.77528,0.658,14.96764,8.93907,3.81087,0.53195,61.37566,12.48861,30.9171,75.77528,12.74456,1.08918,6.54455
111001,5491.0,1.92108,7.79457,18.00459,0.64164,3.15313,10.25383,5491.0,2.09924,19.25795,2.34681,31.81387,18.30268,12.80277,4.58617,81.50782,39.14286,89.40084,67.71957,29.41546,6.65885,19.51735
111002,29742.0,7.63806,18.34779,42.41386,1.62768,-1.60147,-1.17012,29742.0,4.86059,43.54067,6.38203,49.56278,31.26219,20.60722,4.56965,78.44673,44.72019,0.0,69.6114,18.33824,0.99502,3.84664
111003,27098.0,7.53169,16.24843,40.6991,1.45736,-2.21768,-2.9273,27098.0,5.47178,40.93716,4.34864,50.6263,28.0648,17.37767,1.89209,79.06137,42.41364,0.55355,73.39553,16.32099,-0.21812,-2.16075
112004,16854.0,6.14677,12.43622,30.23256,1.75845,-0.800519999999999,-1.19383,16854.0,4.15493,30.62731,2.14286,46.55808,27.82722,19.24172,2.43794,77.02744,37.29662,14.25181,63.1672,22.63001,1.70337,2.31011
112005,33216.0,4.99837,10.78697,27.23188,1.21931,-0.16315,0.702529999999999,33216.0,3.8765,32.30812,2.49624,46.59553,26.52938,17.60597,2.39233,79.51436,36.09951,0.92425,64.96052,23.0214,1.1066,0.17203
113006,33751.0,5.79187,11.31226,32.16143,0.98922,-1.67002,-4.08443999999999,33751.0,2.79563,36.86957,2.97179,55.49145,32.49978,20.10311,1.82242,75.09211,23.02811,69.26017,68.41697,23.37618,0.45302,-2.13115
113007,31403.0,4.03854,8.74439,18.02311,0.51446,-1.27931,-3.71491,31403.0,2.51931,32.67394,4.99247,40.66681,33.21976,24.60911,-0.43065,60.85663,14.0485,26.85731,53.13765,45.36856,0.79105,-9.25947
113008,9956.0,5.3996,12.26396,33.35938,1.20095,-1.75825,-3.93966,9956.0,2.5544,34.00447,4.3579,61.0998,37.7963,23.75452,1.5312,80.88795,26.0453,92.49699,68.58887,20.38304,-0.64275,2.98368
114009,34067.0,4.60188,9.04688,19.5225,0.504280000000001,-1.57692,-1.82679,34067.0,2.30299,32.93229,6.06436,34.5536,24.80113,16.62313,1.94817,61.68109,21.03648,3.135,58.5135,26.61634,0.25571,-4.40852
114010,15775.0,6.6763,13.1664,35.06371,1.0779,-1.82604,-3.06287,15775.0,3.80328,30.8642,4.30403,59.31232,35.71474,23.33439,2.73128,71.90981,31.05556,72.56418,58.40193,27.22913,2.34417,-1.61455
114011,27002.0,5.95549,11.71765,36.17424,1.25262,-0.11618,0.220819999999996,27002.0,2.83976,35.42562,2.73619,52.3224,28.78305,18.16532,4.06701,79.10296,31.56677,0.0,66.23665,20.91092,3.24486,7.24728
115012,4244.0,3.078,6.55042,10.10638,0.41227,-1.75129,-1.58331,4244.0,2.05882,18.79815,2.24719,29.49907,22.6673,13.0066,0.90982,71.73913,36.48148,0.14138,60.33592,18.92235,-0.96655,-6.10394
115013,28238.0,1.98463,3.60153,5.54095,0.35,-0.43441,-0.67623,28238.0,0.99174,24.92342,1.86176,20.31611,17.15065,10.26985,1.46383,70.27586,10.86341,0.0,62.61135,23.95254,1.33718,1.95209
121001,28673.0,7.95292,19.95606,47.12476,1.6459,-1.91434,-1.79839,28673.0,4.42393,33.12124,9.99531,75.63757,50.61905,30.65602,2.25672,63.2992,33.06471,100.0,63.51456,24.05648,-0.01846,-4.94082
121002,27587.0,6.70499,16.05104,40.0,1.07304,-1.99565,-5.00584,27587.0,3.72626,35.43151,6.88439,69.55059,44.3071,24.96103,2.54673,66.38106,26.97471,92.55084,64.23849,24.92515,1.17192,-1.25823
122003,27319.0,8.97283,20.6889,51.90955,1.66526,-2.71653,-1.81847,27319.0,4.44299,33.6034,8.51677,78.51978,52.06999,31.10656,2.49828,60.75547,38.77987,95.42077,64.74876,26.83622,0.23373,-2.24804
122004,16267.0,5.46919,13.81939,32.20339,0.634320000000001,-0.48959,-0.258589999999998,16267.0,2.99554,31.21762,5.78391,58.46571,38.26766,20.64917,1.75429,68.35368,32.54763,12.70671,67.1472,22.71234,0.9359,2.53469
122005,10959.0,3.21597,6.84369,18.36735,0.60009,-0.589180000000001,-0.993730000000003,10959.0,2.20493,27.62692,3.39346,44.55598,24.24491,13.94288,1.54255,58.11518,20.93541,0.0,63.80707,20.83287,1.45692,-3.87522
124006,24376.0,1.20339,2.83886,4.9678,0.29487,-0.06826,-0.24118,24376.0,0.22904,20.58697,1.3046,26.25881,14.53479,5.85412,0.31499,57.39313,14.01945,3.0891,76.28923,14.21386,0.43915,4.05022
124007,33415.0,1.28027,2.72333,4.73002,0.14258,0.0523599999999997,-0.16044,33415.0,0.34447,19.87692,1.53402,25.62913,14.55035,6.33249,0.39899,51.32325,15.19608,0.0,75.56027,14.84918,0.52477,8.65522
125008,16415.0,4.08086,8.03533,17.96307,0.79368,-1.15547,-4.13063,16415.0,2.54058,35.26393,4.23058,36.8471,20.94426,12.15352,1.87002,62.05514,23.78349,41.12093,69.07118,18.84181,0.00935,-3.3879
125009,31761.0,3.91988,7.75479,19.73582,0.73046,-1.03167,-0.906849999999999,31761.0,2.23856,27.57722,2.65281,43.99305,25.83357,13.86606,0.62605,67.27975,24.8642,0.02834,68.20807,41.23636,1.16801,2.02963
126010,9232.0,8.33333,23.66768,56.82103,1.18285,-1.65748,-1.25542,9232.0,2.98939,30.86681,6.95397,66.99843,42.77513,24.89168,1.26489,71.14883,51.56762,94.67071,69.18732,15.80767,-0.25279,-0.38462
126011,26332.0,10.01588,25.18229,52.86023,2.32158,-3.6497,-5.65207,26332.0,5.06987,34.40789,7.03636,71.80624,48.75437,24.36199,1.89471,73.67108,42.4909,85.47015,71.11426,13.67748,0.4594,1.19351
126012,13787.0,8.03926,23.25379,47.76453,1.52544,-2.19306,-4.30869,13787.0,4.04656,29.62733,7.0334,77.53086,54.38457,27.64923,1.50931,77.43966,42.99747,66.80206,73.06982,15.18975,0.06488,1.21832
