id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01100101,Stülerstraße,3419.0,2.8169,25.61576,9.72603,83.18043,59.9298,40.56742,-1.30611,70.4398,8.55365,0.0,55.91725,38.36051,0.50707,-4.83009
01100102,Großer Tiergarten,1791.0,0.0,26.97368,4.58716,88.28452,66.94584,50.75377,6.16502,71.28713,3.07868,0.61418,40.15152,49.55817,5.17884,1.50901
01100103,Lützowstraße,5211.0,3.85356,27.27273,20.19651,80.80357,58.35732,35.55939,0.80354,65.83918,21.03695,6.04491,57.48744,29.77873,2.40964,0.29533
01100104,Körnerstraße,4636.0,4.375,24.23529,28.3237,79.94859,64.58154,38.54616,-1.39921,75.93733,25.29481,8.23986,59.03233,32.69263,-2.08722,-2.64828
01100205,Wilhelmstraße,2573.0,2.51799,20.20202,4.31655,85.61873,61.91216,44.07307,3.07515,74.25044,7.04762,0.0,56.43604,42.22104,3.04325,-5.97983
01100206,Unter den Linden,1803.0,0.0,32.29814,2.48963,80.95238,52.46811,36.21742,-0.35957,68.45329,5.939,0.0,50.78901,34.68697,1.29355,-8.3939
01100207,Leipziger Straße,8312.0,2.10896,19.93769,4.63619,79.70874,51.62416,33.85467,0.55354,68.05259,10.67416,0.0,54.20986,30.87049,-0.07675,-4.51997
01100308,Charitéviertel,6967.0,0.87527,23.75,3.38462,54.27666,44.16535,30.90283,0.36373,60.14863,3.88727,0.30142,50.51656,37.97037,-0.61408,-11.17374
01100309,Oranienburger Straße,12352.0,1.51659,32.90371,5.65844,52.92339,40.96503,26.78109,-0.49381,63.57316,10.523,0.0,63.34014,27.40508,-1.5059,-3.79202
01100310,Alexanderplatzviertel,9903.0,1.97775,28.38196,7.75623,70.23173,48.92457,35.03989,0.10639,68.5879,10.85986,0.0,57.06911,37.77713,-0.61443,-0.48062
01100311,Karl-Marx-Allee,9013.0,3.6855,36.4676,3.76656,77.85336,45.86708,29.46855,3.35281,74.96235,26.91706,0.0,67.17859,24.15417,1.64735,2.01226
01100312,Heine-Viertel West,9422.0,2.16138,22.17742,2.59179,69.43958,44.44916,29.34621,3.1179,75.18987,8.54893,0.0,54.47236,31.61474,6.83385,12.29195
01100313,Heine-Viertel Ost,10779.0,1.2285,25.17647,2.46753,62.21889,46.08034,31.05112,1.18405,70.15238,9.72607,0.0,55.74123,31.952,0.30958,-4.13954
01100414,Nordbahnhof,5178.0,1.43266,13.9576,6.77291,68.16193,53.82387,40.0927,-0.90689,69.26782,6.40274,0.0,32.30414,38.10362,0.40868,-1.99913
