id,name,inhabitants,k08_urban_apartments,k14_living_rooms,k15_living_space
010111,Tiergarten Süd,15057,6.0023,1.82015,42.94953
010112,Regierungsviertel,12688,26.30504,2.11137,48.33299
010113,Alexanderplatz,58436,24.03239,1.86931,39.87752
010114,Brunnenstraße Süd,31214,3.31501,1.76434,40.93484
010221,Moabit West,45695,2.9387,1.66493,36.41668
010222,Moabit Ost,41133,6.00892,1.68247,38.68699
010331,Osloer Straße,38046,13.38681,1.45006,29.84666
010332,Brunnenstraße Nord,39293,25.78707,1.47047,30.45512
010441,Parkviertel,45678,21.84306,1.66735,33.75776
010442,Wedding Zentrum,56120,9.49904,1.46146,31.04836
020101,Südliche Friedrichstadt,40490,28.66769,1.50768,31.07767
020202,Tempelhofer Vorstadt,65074,4.90087,1.75709,39.99522
020303,Nördliche Luisenstadt,21713,17.26056,1.59517,34.58435
020304,Südliche Luisenstadt,25858,3.36679,1.66981,38.35119
020405,Karl-Marx-Allee Nord,24571,43.36283,1.83086,36.78263
020407,Karl-Marx-Allee Süd,25757,31.97312,1.66704,36.15421
020506,Frankfurter Allee Nord,31307,8.10442,1.70115,38.07768
020508,Frankfurter Allee Süd FK,55017,8.52462,1.70384,38.45902
030101,Buch,16692,44.80444,1.84891,34.35005
030202,Blankenfelde/Niederschönhausen,28622,4.8474,1.81703,41.12567
030203,Buchholz,18419,1.08603,1.77225,40.07253
030304,Karow,19694,5.08048,1.99487,40.2613
030307,Blankenburg/Heinersdorf/Märchenland,15812,4.81366,2.04572,44.62832
030405,Schönholz/Wilhelmsruh/Rosenthal,18689,2.49608,1.94692,41.89379
030406,Pankow Zentrum,37240,26.73089,1.82548,39.05371
030408,Pankow Süd,35738,21.7082,1.93735,38.00414
030509,Weißensee,38922,19.96692,1.8274,37.79785
030510,Weißensee Ost,15833,23.82384,1.93943,36.35009
030611,Prenzlauer Berg Nordwest,26999,6.57244,1.74732,39.75603
030612,Prenzlauer Berg Nord,27445,20.86508,1.86551,38.33664
030613,Helmholtzplatz,22534,5.94626,1.78819,42.47537
030614,Prenzlauer Berg Ost,27196,27.36466,1.85946,35.2418
030715,Prenzlauer Berg Südwest,27258,8.90545,1.83979,43.41547
030716,Prenzlauer Berg Süd,33623,15.92435,1.77572,40.78997
040101,Charlottenburg Nord,19403,47.13119,1.73906,32.04592
040202,Heerstraße,12986,1.8462,2.14177,49.78123
040203,Westend,28342,4.30478,1.99749,44.85513
040304,Schloß Charlottenburg,24449,17.93295,1.75451,39.10863
040305,Mierendorffplatz,15567,4.85724,1.86169,38.68035
040306,Otto-Suhr-Allee,28256,10.9055,1.78808,39.74862
040307,Neue Kantstraße,24271,1.86259,1.87318,44.343
040308,Kantstraße,21693,2.49372,1.80238,41.72553
040309,Kurfürstendamm,15142,1.29736,2.19172,55.89017
040310,Halensee,15602,3.0273,1.9809,46.52807
040411,Grunewald,19803,4.33711,2.18063,55.01368
040412,Schmargendorf,15655,6.74839,1.98116,45.67327
040413,Wiesbadener Straße,18345,15.75862,1.88896,42.10957
040514,Düsseldorfer Straße,32161,3.55247,1.92671,44.31041
040515,Barstraße,14776,3.67373,1.77964,38.42901
040516,Volkspark Wilmersdorf,34879,4.39073,1.85401,42.26403
050101,Hakenfelde,26780,0.74306,1.79571,37.37999
050102,Falkenhagener Feld,41960,21.36256,1.76995,34.99588
050103,Spandau Mitte,37166,11.58343,1.59506,32.79766
050204,Brunsbütteler Damm,24069,14.79406,1.88192,38.68619
050205,Heerstraße Nord,29464,40.40112,1.71104,35.10949
050206,Wilhelmstadt,37018,9.3073,1.90035,39.42093
050307,Haselhorst,16493,55.7187,1.61244,30.69411
050308,Siemensstadt,12740,0,1.62857,34.17873
050409,Gatow/Kladow,19837,1.77717,2.18284,50.37128
060101,Schloßstraße,22077,0.44866,1.94053,42.81931
060102,Albrechtstraße,53501,1.75644,1.86735,39.88739
060203,Lankwitz,43558,10.97493,1.8597,38.83695
060204,Ostpreußendamm,35729,7.87826,1.96098,42.1063
060305,Teltower Damm,34032,2.92655,2.07026,44.50732
060306,Drakestraße,50156,2.1466,1.90003,43.09504
060407,Zehlendorf Südwest,26858,4.64418,2.06572,49.8676
060408,Zehlendorf Nord,42929,0.52752,2.20692,53.05919
070101,Schöneberg Nord,50143,18.83478,1.79112,40.30319
070202,Schöneberg Süd,51606,7.81013,1.81452,41.27768
070303,Friedenau,46139,1.95676,1.94129,42.62591
070404,Tempelhof,64537,12.68566,1.74021,36.57438
070505,Mariendorf,52740,10.09309,1.77926,36.90791
070606,Marienfelde,32264,26.73014,1.73308,36.2664
070707,Lichtenrade,52110,15.31042,1.89894,42.09307
080101,Schillerpromenade,32480,8.18292,1.5278,33.1202
080102,Neuköllner Mitte/Zentrum,37931,16.58944,1.4528,32.49126
080103,Reuterstraße,39139,3.87626,1.64675,35.96249
080104,Rixdorf,39699,5.26055,1.56908,33.43036
080105,Köllnische Heide,15387,24.77808,1.39111,26.74738
080206,Britz,43574,13.09418,1.66907,34.3335
080207,Buckow,28596,18.32743,1.84987,38.53109
080308,Gropiusstadt,37591,27.15107,1.62012,34.66141
080409,Buckow Nord,9598,14.57906,1.93634,40.25214
080410,Rudow,43950,8.62488,1.92608,41.53356
090101,Alt-Treptow,13167,16.75105,1.57849,35.72355
090102,Plänterwald,11299,27.15405,1.91645,36.82043
090103,Baumschulenweg,18894,9.66727,1.88594,37.22462
090104,Johannisthal,19960,23.30547,1.85997,38.68136
090205,Oberschöneweide,23638,26.94754,1.70636,35.17582
090206,Niederschöneweide,13004,22.49895,1.71624,35.62635
090207,Adlershof,20210,19.04423,1.74468,36.72553
090208,Köllnische Vorstadt/Spindlersfeld,11353,36.69361,1.90011,36.48877
090309,Altglienicke,28287,37.35747,1.75452,37.9603
090310,Bohnsdorf,13167,12.26016,1.99795,41.51865
090311,Grünau,7217,5.69084,1.92365,41.43384
090312,Schmöckwitz/Karolinenhof/Rauchfangswerder,4442,0,2.20081,51.14971
090413,Köpenick Süd,16417,20.51366,2.15447,41.8013
090414,Allende-Viertel,6371,35.05866,1.84492,40.61215
090415,Altstadt Kietz,7980,50.86554,1.78972,35.69486
090416,Müggelheim,6867,0,2.07136,46.67191
090517,Friedrichshagen,19009,26.93897,2.02767,40.40202
090518,Rahnsdorf/Hessenwinkel,9856,6.73666,2.07539,47.59821
090519,Dammvorstadt,11733,8.29707,1.90838,41.85656
090520,Köpenick Nord,13294,10.45509,2.24221,42.66714
100101,Marzahn Nord,24322,61.29259,1.85861,32.34335
100102,Marzahn Mitte,48144,31.26654,1.97499,34.3248
100103,Marzahn Süd,39042,24.60559,2.03166,37.07994
100204,Hellersdorf Nord,37487,33.63781,1.57836,31.56484
100205,Hellersdorf Ost,21403,37.75886,1.82666,33.41877
100206,Hellersdorf Süd,25213,45.37397,1.76334,33.56086
100307,Biesdorf,28955,14.688,1.98328,41.68268
100408,Kaulsdorf,19408,0.72375,2.05585,45.76401
100409,Mahlsdorf,29757,0.769,2.10001,46.71237
110101,"Malchow, Wartenberg und Falkenberg",5491,19.19964,1.80987,40.36441
110102,Neu-Hohenschönhausen Nord,29742,63.60694,1.89305,31.95458
110103,Neu-Hohenschönhausen Süd,27098,46.87646,1.90442,34.08248
110204,Alt-Hohenschönhausen Nord,16854,40.76699,1.82888,36.35902
110205,Alt-Hohenschönhausen Süd,33216,33.82361,1.80925,35.9089
110306,Fennpfuhl,33751,29.01575,1.92459,33.94797
110307,Alt-Lichtenberg,31403,32.23025,1.67608,34.0385
110308,Frankfurter Allee Süd,9956,49.83492,1.86561,33.25773
110409,Neu-Lichtenberg,34067,24.23562,1.84322,36.59618
110410,Friedrichsfelde Nord,15775,20.8563,1.77173,34.44634
110411,Friedrichsfelde Süd,27002,45.09409,1.90882,35.12084
110512,Rummelsburger Bucht,4244,23.24324,1.66258,39.29972
110513,Karlshorst,28238,25.03929,1.8615,39.6271
121031,Ost 1,28673,5.29999,1.58961,31.88031
121032,Ost 2,27587,0.78415,1.72458,33.51104
122141,West 1,15874,39.11996,1.83527,36.37174
122144,West 4,27712,13.30478,1.68591,32.632
122145,West 5,11225,0.08085,1.81666,41.44125
122242,West 2,24110,1.68383,2.16744,48.5786
122311,Nord 1,33415,1.4636,2.31638,52.51848
123012,Nord 2,31761,3.41369,1.91943,40.55839
123021,MV 1,40119,85.18856,1.5804,31.35664
123022,MV 2,9232,68.39535,1.74437,35.39905
123043,West 3,16415,15.30508,2.07907,40.55626
