id,name,inhabitants,k08_urban_apartments,k14_living_rooms,k15_living_space
05040935,Groß-Glienicker Weg,444,34.65347,1.7455,33.5045
05040936,Jägerallee,10315,0,2.11498,49.64527
05040937,Kladower Damm,2198,0,2.26479,50.95632
05040938,Kafkastraße,3682,0,2.2792,50.3843
06010101,Fichtenberg,6988,0.78762,2.06125,45.17831
06010102,Schloßstraße,8808,0.34581,1.91496,42.82754
06010103,Markelstraße,6281,0.23938,1.84206,40.18325
06010204,Munsterdamm,6887,0.05223,1.74967,37.53724
06010205,Südende,9881,1.52911,1.86439,41.3527
06010206,Stadtpark,7694,0,1.93462,40.68365
06010207,Mittelstraße,8008,1.3787,1.91583,40.69755
06010208,Bergstraße,6824,0.86546,1.87163,40.9638
06010209,Feuerbachstraße,9339,5.7921,1.83842,38.59589
06010210,Bismarckstraße,4868,1.62182,1.90325,38.61545
06020301,Alt-Lankwitz,4937,0,2.01033,42.49402
06020302,Komponistenviertel Lankwitz,6097,2.59829,1.75742,39.18517
06020303,Lankwitz Kirche,7410,15.09872,1.82861,36.99582
06020304,Kaiser-Wilhelm-Straße,7313,29.34652,1.84028,37.69971
06020305,Gemeindepark Lankwitz,11399,5.54813,1.74042,35.03053
06020306,Lankwitz Süd,6402,8.71685,2.11153,45.89269
06020407,Thermometersiedlung,4636,0,1.73059,34.18464
06020408,Lichterfelde Süd,7055,12.59944,1.99972,40.52374
06020409,Königsberger Straße,8349,0.46368,1.90933,43.17487
06020410,Oberhofer Platz,7062,0.17089,2.10337,46.93231
06020411,Schütte-Lanz-Straße,8627,23.43001,1.98655,42.67277
06030501,Berlepschstraße,5670,0,2.05697,44.95961
06030502,Zehlendorf Süd,5616,8.18767,1.87518,37.10915
06030503,Zehlendorf Mitte,11696,3.69735,2.10534,44.36756
06030504,Teltower Damm,11050,0.26168,2.1391,48.18317
06030605,Botanischer Garten,7088,0.57956,1.98279,44.58691
06030606,Hindenburgdamm,5612,6.19634,1.60192,35.21222
06030607,Goerzwerke,3152,0,1.71098,34.42608
06030608,Schweizer Viertel,13747,0.44723,1.83014,42.39325
06030609,Augustaplatz,12046,3.99625,1.98888,44.70795
06030610,Lichterfelde West,8511,1.14467,2.08483,49.11162
06040701,Wannsee,10126,1.67778,2.20462,54.10567
06040702,Düppel,5234,9.41176,1.97039,45.02503
06040703,Nikolassee,11498,5.39608,1.98678,48.33962
06040804,Krumme Lanke,7511,0,2.47158,59.047
06040805,Fischerhüttenstraße,5278,0.55887,2.22831,51.87704
06040806,Fischtal,7266,0,2.15414,44.08079
06040807,Zehlendorf Eiche,5958,0,2.13343,49.20292
06040808,Hüttenweg,4810,0,1.7657,43.10582
06040809,Thielallee,4902,0,2.17054,55.22073
06040810,Dahlem,7204,2.72418,2.3487,65.10217
07010101,Wittenbergplatz/Viktoria-Luise-Platz,9808,6.98237,1.9321,45.64519
07010102,Nollendorfplatz,16387,25.08285,1.7401,38.69049
07010103,Barbarossaplatz,10468,2.44679,1.88021,42.46561
07010104,Dennewitzplatz,13480,34.31264,1.68138,36.69763
07020201,Bayerischer Platz,10578,7.90792,2.0692,45.86642
07020202,Volkspark (Rudolf-Wilde-Park),10501,12.87441,1.69279,37.982
07020203,Kaiser-Wilhelm-Platz,17811,9.41657,1.73213,40.55769
07020204,Schöneberger Insel,12716,1.70161,1.81858,41.19055
07030301,Friedenau,24466,1.46958,1.99787,45.29085
07030302,Ceciliengärten,9371,4.8054,1.99776,43.31939
07030303,Grazer Platz,12302,0.67655,1.78573,36.79768
07040401,Neu-Tempelhof,17502,34.25179,1.71466,38.60342
07040402,Lindenhofsiedlung,2255,0,2.03193,35.88381
07040403,Manteuffelstraße,24582,8.083,1.77207,36.39106
07040404,Marienhöhe,5114,0,2.07783,39.37681
07040405,Rathaus Tempelhof,11104,4.2976,1.59951,34.61023
07040406,Germaniagarten,3980,0,1.44925,31.05427
07050501,Rathausstraße,17028,10.83851,1.7335,35.09443
07050502,Fritz-Werner-Straße,8141,29.24805,1.6821,34.75396
07050503,Eisenacher Straße,9101,4.53679,1.88111,36.79541
07050504,Imbrosweg,5653,0,1.69927,37.41129
07050505,Hundsteinweg,10584,6.76692,1.80763,38.90826
07050506,Birnhornweg,2233,0,2.13524,48.29243
07060601,Marienfelder Allee Nordwest,10193,17.75135,1.58746,32.38183
07060602,Kirchstraße,4740,4.32937,2.02068,43.96561
07060603,Marienfelde Nordost,2869,0,1.75183,36.70338
07060604,Marienfelde Süd,14462,44.31154,1.73773,36.39414
07070701,Kettinger Straße/Schillerstraße,10498,6.37005,2.0361,43.88426
07070702,Alt-Lichtenrade/Töpchiner Weg,10895,11.25433,1.91547,41.5698
07070703,John-Locke-Straße,8485,42.88533,1.68627,39.77749
07070704,Nahariyastraße,8431,20.63216,1.56873,35.75602
07070705,Franziusweg/Rohrbachstraße,6978,0,2.16538,47.69791
07070706,Horstwalder Straße/Paplitzer Straße,3859,10.98528,1.87898,40.81057
07070707,Wittelsbacherstraße,2964,0,2.29926,50.80128
08010115,Hasenheide,1010,0,1.60891,40.77129
08010116,Wissmannstraße,3542,13.60276,1.52372,34.97544
08010117,Schillerpromenade,15688,6.46067,1.62353,34.35569
08010118,Silbersteinstraße,12240,9.58003,1.39959,30.36846
08010211,Flughafenstraße,9668,7.36948,1.56268,34.81961
08010212,Rollberg,7451,68.20708,1.2189,31.14857
08010213,Körnerpark,12288,5.06804,1.52954,33.12061
08010214,Glasower Straße,8524,2.30866,1.42198,30.11685
08010301,Reuterkiez,27007,4.64899,1.64391,36.6649
08010302,Bouchéstraße,3868,0,1.89504,36.53568
08010303,Donaustraße,8264,3.25515,1.53981,33.39872
08010404,Rixdorf,23011,6.65865,1.55391,34.34966
08010405,Hertzbergplatz,8811,0.91146,1.67064,34.17966
08010406,Treptower Straße Nord,7100,4.29642,1.47141,29.25352
08010407,Gewerbegebiet Ederstraße,777,20.29598,1.75933,35.87516
08010508,Weiße Siedlung,5767,6.375,1.63066,26.02532
08010509,Schulenburgpark,9172,37.0202,1.25709,27.15526
08010510,Gewerbegebiet Köllnische Heide,448,0,1.05134,27.69196
08020619,Buschkrugallee Nord,11672,7.18447,1.46873,29.78915
08020620,Tempelhofer Weg,9329,26.21299,1.59106,32.75742
08020621,Mohriner Allee Nord,2341,0,2.06279,45.5754
08020622,Parchimer Allee,14254,14.1011,1.73657,35.38698
08020623,Ortolanweg,1253,0,1.55387,34.70471
08020624,Britzer Garten,1404,0,1.8839,39.04986
08020625,Handwerker-Siedlung,3321,8.27225,1.97772,40.15236
08020726,Buckow West,8320,15.40262,1.87308,40.23281
08020727,Buckow Mitte,11578,13.92623,1.89135,38.4138
08020728,Buckow Ost,8698,26.59852,1.77248,37.05944
08030829,Gropiusstadt Nord,12534,0,1.61066,34.10037
08030830,Gropiusstadt Süd,7303,0,1.62522,38.39819
08030831,Gropiusstadt Ost,17754,60.75564,1.6247,33.52039
08040932,Goldhähnchenweg,2834,32.24734,1.90296,36.95166
08040933,Vogelviertel Süd,4103,5.94901,1.95296,40.93151
08040934,Vogelviertel Nord,2661,7.93269,1.94626,42.71965
08041035,Blumenviertel,8264,0.02826,1.98596,44.61302
08041036,Zittauer Straße,6844,6.51178,2.06385,44.16745
08041037,Alt-Rudow,9997,5.31496,1.95799,41.0065
08041038,Waßmannsdorfer Chaussee,7118,0.40173,2.00155,44.17926
08041039,Frauenviertel,3776,12.73256,1.53628,32.82177
08041040,Waltersdorfer Chaussee Ost,7951,29.43182,1.82266,38.49717
09010101,Elsenstraße,13104,16.81429,1.5786,35.70917
09010201,Am Treptower Park Süd,4375,21.23934,1.86903,39.71657
09010202,Köpenicker Landstraße,6924,29.97643,1.94642,34.99047
09010301,Baumschulenstraße,15796,10.10695,1.9115,36.83344
09010302,Späthsfelde,3098,6.05795,1.75565,39.21917
09010401,Johannisthal West,8480,20.69876,1.94906,37.87358
09010402,Johannisthal Ost,11480,25.41509,1.79416,39.27805
09020501,Oberschöneweide West,7535,11.08434,1.54599,34.40557
09020502,Oberschöneweide Ost,16103,34.09313,1.78141,35.53624
09020601,Schnellerstraße,9424,15.01449,1.63763,35.21127
09020602,Oberspree,3580,42.13996,1.92318,36.71899
09020701,Adlershof West,3059,24.56647,1.16836,30.28964
09020702,Adlershof Ost,17151,18.26855,1.84747,37.87342
09020801,Spindlersfeld,3061,53.56141,2.08527,39.30774
09020802,Köllnische Vorstadt,8292,30.04861,1.83177,35.44814
09030901,Dorf Altglienicke,14458,11.95735,1.90012,41.52801
09030902,Wohngebiet II,5660,76.2736,1.69311,31.44382
09030903,Kölner Viertel,8169,53.29823,1.53936,36.16097
09031001,Bohnsdorf,13167,12.26016,1.99795,41.51865
09031101,Grünau,7217,5.69084,1.92365,41.43384
09031201,Karolinenhof,1871,0,2.2202,51.4527
09031202,Schmöckwitz/Rauchfangswerder,2571,0,2.1867,50.92921
09041301,Kietzer Feld/Nachtheide,14506,22.88715,2.14828,40.33917
09041302,Wendenschloß,1911,0.31185,2.20147,52.90005
09041401,Allende I,4802,35.05866,1.79988,40.9319
09041402,Allende II,1569,0,1.98279,39.63352
09041501,Altstadt Kietz,7980,50.86554,1.78972,35.69486
09041601,Müggelheim,6867,0,2.07136,46.67191
09051701,Hirschgarten,4062,37.21992,2.08099,39.2777
09051702,Bölschestraße,14947,23.8399,2.01318,40.70757
09051801,Rahnsdorf/Hessenwinkel,9856,6.73666,2.07539,47.59821
09051901,Dammvorstadt,11733,8.29707,1.90838,41.85656
09052001,Köpenick Nord,13294,10.45509,2.24221,42.66714
10010101,Marzahn West,5709,93.98347,1.92153,32.83325
10010102,Havemannstraße,18613,51.17184,1.83931,32.19309
10010204,Wuhletalstraße,10586,21.54191,1.97695,33.03722
10010205,Marzahn Ost,8198,29.99161,1.99085,35.18187
10010206,Ringkolonnaden,17316,24.00435,2.0928,36.13502
10010207,Marzahner Promenade,10782,56.23273,1.96262,34.70729
10010308,Marzahner Chaussee,2228,23.41463,2.02513,42.35637
10010309,Springpfuhl,14860,31.62373,2.12227,35.92019
10010310,Alt-Marzahn,18273,18.66373,2.07246,37.56592
10010311,Landsberger Tor,3681,24.84366,1.46726,36.15566
10020412,Alte Hellersdorfer Straße,7171,23.87042,1.36201,31.11895
10020413,Gut Hellersdorf,16168,48.02336,1.61381,32.56352
10020414,Helle Mitte,1716,0,1.44814,31.18182
10020415,Hellersdorfer Promenade,6503,31.93408,1.62233,29.81655
10020416,Böhlener Straße,5929,13.80235,1.73284,31.40918
10020517,Adele-Sandrock-Straße,9975,30.29733,2.10927,37.05003
10020518,Schleipfuhl,5317,99.6063,1.3186,30.79199
10020519,Boulevard Kastanienallee,6111,0,1.8074,29.77696
10020620,Kaulsdorf Nord II,3465,2.93128,2.13016,34.72641
10020621,Gelbes Viertel,6342,86.27746,1.42274,32.21933
10020622,Kaulsdorf Nord I,8919,6.8866,2.01278,32.34679
10020623,Rotes Viertel,6487,83.74724,1.55742,35.91907
10030724,Oberfeldstraße,7805,1.21059,2.07277,44.9089
10030725,Buckower Ring,6952,42.13587,1.96289,35.43872
10030726,Alt-Biesdorf,3938,22.89941,1.81234,38.16252
10030727,Biesdorf Süd,10260,0,1.99464,44.81033
10040828,Kaulsdorf Nord,7807,1.72037,2.03074,45.40515
10040829,Alt-Kaulsdorf,3868,0,1.92916,42.51706
10040830,Kaulsdorf Süd,7733,0.05742,2.14458,47.75042
10040931,Mahlsdorf Nord,9921,0.11529,2.0756,45.7591
10040932,Alt-Mahlsdorf,4457,4.75497,1.99529,44.78775
10040933,Mahlsdorf Süd,15379,0,2.14611,47.8851
11010101,Dorf Malchow,649,28.82096,1.46995,31.37442
11010102,Dorf Wartenberg,2653,2.48075,2.09649,45.43875
11010103,Dorf Falkenberg,2189,40.1937,1.56327,36.87985
11010204,Falkenberg Ost,8986,54.25393,1.84531,32.48587
11010205,Falkenberg West,7052,44.15376,1.86415,32.85692
11010206,Wartenberg Süd,6095,66.49655,1.99754,33.2379
11010207,Wartenberg Nord,7609,91.62926,1.8925,29.46287
11010308,Zingster Straße Ost,11690,36.26479,1.84354,33.3201
11010309,Zingster Straße West,9583,88.0692,1.86998,32.73223
11010310,Mühlengrund,5825,8.32421,2.08326,37.83382
11020411,Malchower Weg,9998,38.83752,1.82036,38.0224
11020412,Hauptstraße,6856,43.376,1.84131,33.93334
11020513,Orankesee,3898,23.39109,1.67804,38.39046
11020514,Große-Leege-Straße,9897,48.70567,1.88077,35.84268
11020515,Landsberger Allee,15296,33.47127,1.82355,34.60584
11020516,Weiße Taube,4125,0,1.70861,38.55467
11030617,Hohenschönhausener Straße,6058,25.93741,1.93067,32.54638
11030618,Fennpfuhl West,16427,31.1229,1.95471,34.93042
11030619,Fennpfuhl Ost,11266,27.37072,1.87742,33.26913
11030720,Herzbergstraße,6359,29.67139,1.3771,29.74666
11030721,Rüdigerstraße,25044,32.82454,1.752,35.12825
11030824,Frankfurter Allee Süd,9956,49.83492,1.86561,33.25773
11040925,Victoriastadt,4218,12.58185,1.60787,37.02655
11040926,Weitlingstraße,29849,25.66321,1.87648,36.53536
11041022,Rosenfelder Ring,5824,9.27622,1.81868,37.05271
11041023,Gensinger Straße,6756,22.35364,1.74008,32.54381
11041027,Tierpark,3195,40.27304,1.75305,33.71831
11041128,Sewanstraße,27002,45.09409,1.90882,35.12084
11051229,Rummelsburg,4244,23.24324,1.66258,39.29972
11051330,Karlshorst West,10346,38.25116,1.66866,35.24744
11051331,Karlshorst Nord,10640,21.83033,2.04633,42.51767
11051332,Karlshorst Süd,7252,8.43634,1.86542,41.63431
12103115,Breitkopfbecken,7702,2.85258,1.72449,34.23617
12103116,Hausotterplatz,9986,0.42292,1.5032,30.44182
12103117,Letteplatz,10985,11.32715,1.5736,31.53619
12103218,Teichstraße,14057,1.2337,1.62524,32.08999
12103219,Schäfersee,8869,0.06207,1.72285,34.18661
12103220,Humboldtstraße,4661,0.88433,2.02746,36.51126
12214125,Waldidyll/Flughafensee,7783,1.81191,1.86471,39.71579
12214126,Tegel Süd,8091,68.54162,1.80695,33.15499
12214421,Reinickes Hof,2753,0,1.74718,33.88485
12214422,Klixstraße,8270,44.46134,1.5283,29.68464
12214423,Mellerbogen,5667,2.31572,1.88759,35.97635
12214424,Scharnweberstraße,11022,1.69435,1.68518,32.81101
12214527,Alt-Tegel,10959,0.0813,1.84661,42.11716
12224229,Konradshöhe/Tegelort,6011,0,2.2344,51.4931
12224230,Heiligensee,18099,2.27438,2.1452,47.61064
12231101,Hermsdorf,16726,2.50091,2.27921,51.02732
12231102,Frohnau,16689,0.37898,2.35365,54.01294
12301203,Wittenau Süd,15001,2.08471,1.77741,35.21152
12301204,Wittenau Nord,6434,9.22008,1.97871,44.08704
12301205,Waidmannslust,5166,0,2.08324,46.09214
12301206,Lübars,5160,3.56201,2.09438,46.1626
12302107,Schorfheidestraße,3065,19.07336,1.90147,40.96803
12302108,Märkisches Zentrum,14788,79.70399,1.63592,31.96653
12302109,Treuenbrietzener Straße,11610,99.96081,1.51593,29.61395
12302110,Dannenwalder Weg,10656,96.19114,1.48123,29.64443
12302211,Lübarser Straße,3310,28.57999,2.01057,41.63353
12302212,Rollbergesiedlung,5922,93.6526,1.59558,31.91439
12304313,Borsigwalde,6750,17.9944,1.94459,38.90237
12304314,Ziekowstraße/Freie Scholle,9665,13.49546,2.173,41.71133
