id,name,inhabitants,k08_urban_apartments,k14_living_rooms,k15_living_space
01011101,Stülerstraße,3419,0.65531,1.99942,41.3387
01011103,Lützowstraße,5211,8.38384,1.84552,43.28306
01011104,Körnerstraße,4636,12.76068,1.37338,32.4437
01011105,Nördlicher Landwehrkanal,1599,0,2.64603,75.22139
01011201,Wilhelmstraße,2573,9.34466,2.44112,48.45239
01011202,Unter den Linden Nord,646,10.65375,2.26625,66.1935
01011203,Unter den Linden Süd,1157,38.17427,2.07606,57.53673
01011204,Leipziger Straße,8312,31.41952,2.00217,45.6268
01011301,Charitéviertel,6967,6.73203,2.05268,51.04435
01011302,Oranienburger Straße,12352,23.19402,2.02332,47.12905
01011303,Alexanderplatzviertel,9903,42.01231,1.88256,38.28961
01011304,Karl-Marx-Allee,9013,45.16399,1.85676,34.37623
01011305,Heine-Viertel West,9422,10.70025,1.85099,37.44332
01011306,Heine-Viertel Ost,10779,14.05561,1.58864,32.53669
01011401,Invalidenstraße,17771,3.25477,1.73868,41.37617
01011402,Arkonaplatz,13443,3.39391,1.79826,40.35141
01022101,Huttenkiez,3450,1.61711,1.5487,34.82319
01022102,Beusselkiez,6866,4.57903,1.43431,30.17594
01022104,Emdener Straße,18536,4.09402,1.68537,36.61049
01022105,Zwinglistraße,5235,3.00231,1.47889,32.46686
01022106,Elberfelder Straße,11333,0.65789,1.91159,42.53666
01022201,Stephankiez,10825,0.26137,1.69025,37.80074
01022202,Heidestraße,5178,11.2294,1.55427,41.39436
01022203,Lübecker Straße,6976,14.68001,1.50846,31.75373
01022204,Thomasiusstraße,5935,0.11419,1.84701,42.83741
01022205,Zillesiedlung,3280,34.43526,1.25518,29.75884
01022206,Lüneburger Straße,3132,0,1.9537,47.82727
01022207,Hansaviertel,5807,1.16495,1.9182,42.12519
01033101,Soldiner Straße,26381,15.22174,1.42849,29.4095
01033102,Gesundbrunnen,11665,9.53048,1.49884,30.83532
01033201,Brunnenstraße,14193,44.00616,1.45896,29.89629
01033202,Humboldthain Süd,10443,25.21528,1.51834,31.98066
01033203,Humboldthain Nordwest,14657,9.26563,1.4475,29.90933
01044101,Rehberge,20529,8.06771,1.63924,33.89576
01044102,Schillerpark,16506,46.3379,1.73937,33.68605
01044103,Westliche Müllerstraße,8643,7.54012,1.59655,33.56693
01044201,Reinickendorfer Straße,23685,14.36327,1.34908,29.06185
01044202,Sparrplatz,16648,3.79747,1.50997,31.66272
01044203,Leopoldplatz,15787,9.58305,1.57889,33.38082
02010101,Askanischer Platz,6281,11.73901,1.68651,35.2143
02010102,Mehringplatz,14029,31.01831,1.48115,31.002
02010103,Moritzplatz,15171,42.17592,1.46859,29.05972
02010104,Wassertorplatz,5009,5.53761,1.47614,32.21441
02020201,Gleisdreieck/Entwicklungsgebiet,2067,2.71682,1.46831,39.01064
02020202,Rathaus Yorckstraße,6008,2.63597,1.69108,38.71155
02020203,Viktoriapark,10969,0.11403,1.8617,43.15444
02020204,Urbanstraße,12384,0.50326,1.77059,38.9228
02020205,Chamissokiez,14760,17.79042,1.81816,40.92053
02020206,Graefekiez,18886,1.2873,1.69236,38.65652
02030301,Oranienplatz,8775,20.5303,1.51066,32.37778
02030302,Lausitzer Platz,12938,15.31288,1.6525,36.08092
02030401,Reichenberger Straße,14955,2.63063,1.66165,38.82066
02030402,Wrangelkiez,10903,4.43746,1.68101,37.70724
02040501,Barnimkiez,5451,70.63599,1.98,33.74977
02040502,Friedenstraße,7858,43.97117,1.83342,38.03245
02040503,Richard-Sorge-Viertel,11262,30.02239,1.75688,37.37853
02040701,Andreasviertel,13307,52.71615,1.62185,33.04479
02040702,Weberwiese,11314,13.96199,1.72724,39.73095
02040703,Wriezener Bahnhof/Entwicklungsgebiet,1136,0,1.59683,36.95511
02050601,Hausburgviertel,9134,11.97118,1.72017,38.24907
02050602,Samariterviertel,22173,6.38455,1.69332,38.00708
02050801,Traveplatz,20872,12.6911,1.6721,36.57019
02050802,Boxhagener Platz,21568,4.00096,1.71648,39.4044
02050803,Stralauer Kiez,7868,10.42088,1.90252,41.4559
02050804,Stralauer Halbinsel,4709,8.00604,1.45466,37.49374
03010101,Bucher Forst,4305,25.48441,1.93078,41.38862
03010102,Buch,12165,51.87982,1.84028,32.24472
03020203,Blankenfelde,2058,1.20482,2.10058,46.56511
03020209,Niederschönhausen,15100,6.08296,1.76026,40.74113
03020210,Herthaplatz,11464,3.93386,1.84089,40.6557
03020307,Buchholz,18419,1.08603,1.77225,40.07253
03030405,Karow Nord,11455,8.51299,1.92143,35.18752
03030406,Alt-Karow,8239,0.05397,2.09698,47.31557
03030711,Blankenburg,6913,0.48091,2.09605,46.43527
03030715,Heinersdorf,7779,9.15638,1.97519,42.84522
03030716,Märchenland,1120,0,2.225,45.85982
03040508,Rosenthal,4742,1.13261,1.91333,43.11978
03040512,Wilhelmsruh,10438,3.66383,1.9863,41.06084
03040513,Schönholz,3509,0.32895,1.87518,42.71473
03040614,Pankow Zentrum,37240,26.73089,1.82548,39.05371
03040818,Pankow Süd,35738,21.7082,1.93735,38.00414
03050919,Gustav-Adolf-Straße,5096,45.81248,2.08281,37.03866
03050920,Weißer See,7551,15.19644,1.83247,38.04807
03050923,Weißenseer Spitze,10049,13.42769,1.74485,37.74943
03050924,Behaimstraße,6407,20.49743,1.80865,38.9641
03050925,Komponistenviertel Weißensee,9819,15.27315,1.78766,37.28801
03051017,Rennbahnstraße,4212,10.53131,1.77754,38.29748
03051021,Buschallee,6981,29.74296,2.01791,35.62197
03051022,Hansastraße,4640,25.38649,1.96832,35.6778
03061126,Arnimplatz,16255,6.66168,1.75472,39.76696
03061131,Falkplatz,10744,6.43811,1.73613,39.73948
03061227,Humannplatz,14632,15.30519,1.84356,39.69177
03061228,Erich-Weinert-Straße,12813,26.95838,1.89058,36.78912
03061332,Helmholtzplatz,22534,5.94626,1.78819,42.47537
03061429,Greifswalder Straße,9970,31.47899,2.07192,35.93681
03061430,Volkspark Prenzlauer Berg,3965,40.7117,1.54603,26.55813
03061434,Anton-Saefkow-Park,6373,17.88979,1.95873,38.63424
03061435,Conrad-Blenkle-Straße,4063,34.38801,1.85971,35.06867
03061441,Eldenaer Straße,2825,0,1.32531,37.57274
03071536,Teutoburger Platz,11328,8.88853,1.80155,42.12526
03071537,Kollwitzplatz,15930,8.91713,1.86698,44.33296
03071633,Thälmannpark,3188,61.10211,1.92252,37.68758
03071638,Winsstraße,17612,7.46812,1.7517,40.69958
03071639,Bötzowstraße,12823,15.91587,1.77221,41.68541
04010101,Jungfernheide,10765,19.3527,1.7961,31.46986
04010102,Plötzensee,783,0,1.6705,43.7484
04010103,Paul-Hertz-Siedlung,7855,94.12835,1.66773,31.66887
04020205,Siedlung Ruhleben,1304,11.00324,2.18328,49.2684
04020206,Angerburger Allee,2832,0,2.29732,49.16949
04020207,Flatowallee,2569,0,2.14753,50.96964
04020208,Kranzallee,2963,3.84615,2.14479,55.05805
04020209,Eichkamp,3140,0,2.00032,45.19554
04020310,Park Ruhwald,806,0,0.94045,22.96526
04020311,Reichsstraße,14745,1.23762,2.10654,47.77837
04020312,Branitzer Platz,5573,4.00552,1.94366,45.9101
04020313,Königin-Elisabeth-Straße,7212,11.43939,1.93594,40.547
04030415,Schloßgarten,3329,0,1.62481,38.62932
04030416,Klausenerplatz,10334,44.06358,1.61864,35.20757
04030417,Schloßstraße,10786,1.48002,1.92472,42.99416
04030518,Tegeler Weg,9637,0.59935,1.90236,38.31753
04030519,Kaiserin-Augusta-Allee,5930,11.99391,1.79562,39.26998
04030620,Alt-Lietzow,8859,2.52883,1.78677,38.57422
04030621,Spreestadt,3429,3.50379,1.67104,41.52814
04030622,Richard-Wagner-Straße,10811,14.68843,1.80834,39.59809
04030623,Ernst-Reuter-Platz,5157,21.93465,1.82567,40.89839
04030724,Lietzensee,6488,2.4058,1.85712,43.60219
04030725,Amtsgerichtsplatz,12142,1.22995,1.84525,43.62749
04030726,Droysenstraße,5641,2.57665,1.95178,46.73515
04030827,Karl-August-Platz,12155,0.95901,1.6891,37.92291
04030828,Savignyplatz,9538,4.30264,1.94674,46.5715
04030929,Hindemithplatz,5964,1.43799,2.11771,51.70858
04030930,George-Grosz-Platz,5597,1.92194,2.32964,61.72021
04030931,Breitscheidplatz,3581,0,2.09941,53.74225
04031032,Halensee,15602,3.0273,1.9809,46.52807
04041134,Bismarckallee,5470,7.16859,2.02157,54.83108
04041135,Hundekehle,2786,2.24647,2.57251,73.39878
04041136,Hagenplatz,3173,0.34033,2.41696,68.00032
04041137,Flinsberger Platz,8264,4.87957,2.07103,44.06909
04041238,Kissinger Straße,6081,11.68791,1.94524,44.79082
04041239,Stadion Wilmersdorf,1038,0,1.28227,35.20231
04041240,Messelpark,1513,0,2.63781,70.24785
04041241,Breite Straße,7023,4.96233,1.97409,42.69073
04041342,Schlangenbader Straße,4178,61.26984,1.86908,38.57851
04041343,Binger Straße,3574,4.74543,2.09401,45.17208
04041344,Rüdesheimer Platz,10593,0,1.82762,42.46899
04051445,Eisenzahnstraße,6496,10.24147,1.8008,37.71429
04051446,Preußenpark,11048,0.32616,1.97203,46.41646
04051447,Ludwigkirchplatz,5283,0.94251,1.97615,45.87015
04051448,Schaperstraße,9334,4.29826,1.93272,45.52539
04051549,Rathaus Wilmersdorf,4715,10.0256,1.70201,34.8439
04051550,Leon-Jessel-Platz,5625,0.38961,1.85031,41.38418
04051551,Brabanter Platz,4436,1.65184,1.77254,38.49234
04051652,Nikolsburger Platz,9834,0.71996,1.88408,44.15416
04051653,Prager Platz,6913,9.30824,1.94518,44.60205
04051654,Wilhelmsaue,3071,0,1.85282,41.10908
04051655,Babelsberger Straße,7489,2.28333,1.7475,39.24583
04051656,Hildegardstraße,7572,8.76565,1.83756,41.12824
05010101,Hakenfelde Nord,10672,1.746,1.62331,35.44031
05010102,Goltzstraße,8500,0.38015,1.69765,34.17918
05010103,Amorbacher Weg,7608,0,2.14708,43.67692
05010204,Griesingerstraße,3619,55.27273,1.34816,27.80851
05010205,An der Tränke,2314,0,1.91271,41.8306
05010206,Gütersloher Weg,10703,23.37737,1.67355,35.71559
05010207,Darbystraße,11547,28.79274,1.72833,32.10401
05010208,Germersheimer Platz,7709,16.92726,1.93592,34.25438
05010209,An der Kappe,6068,2.3279,2.00544,41.85168
05010310,Eckschanze,4025,6.32464,1.77342,34.96472
05010311,Eiswerder,5756,3.53448,1.21161,27.87908
05010312,Kurstraße,7335,1.59863,1.4574,31.13742
05010313,Ackerstraße,6753,1.86353,1.67807,35.42307
05010314,Carl-Schurz-Straße,12340,26.78545,1.81361,35.03006
05010339,Freiheit,957,0,0.80251,18.68025
05020415,Isenburger Weg,3839,0,1.94347,42.7752
05020416,Am Heideberg,1694,0,2.16411,35.4941
05020417,Staakener Straße,5780,0.51508,2.06747,43.70087
05020418,Spandauer Straße,4386,0,1.65458,33.85545
05020419,Magistratsweg,7200,43.49604,1.78722,35.93514
05020420,Werkstraße,1170,4.63458,1.78974,40.15641
05020521,Döberitzer Weg,3254,0,1.73725,39.02797
05020522,Pillnitzer Weg,7571,17.38372,1.60666,30.96262
05020523,Maulbeerallee,12398,83.50497,1.53234,30.95523
05020524,Weinmeisterhornweg,6241,9.54369,2.17898,46.34962
05020625,Borkumer Straße,7858,0.369,1.81471,37.67969
05020626,Adamstraße,18268,2.5832,1.88849,37.623
05020627,Tiefwerder,4453,29.9537,1.61868,33.96946
05020628,Graetschelsteig,2003,84.8537,1.99201,38.87569
05020629,Börnicker Straße,4436,0,2.3422,55.62804
05030730,Zitadellenweg,4608,26.85185,1.2053,24.10742
05030731,Gartenfelder Straße,11885,61.50278,1.7703,33.24788
05030832,Rohrdamm,12254,0,1.64518,34.26473
05030833,Motardstraße,486,0,1.20988,32.01029
05040934,Alt-Gatow,3198,5.60261,2.29518,54.63759
