id,name,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
08200624,Tempelhofer Weg,8754.0,1.58007,1.26825,1.46117,4.30949,niedrig,1.56421
08200725,Mohriner Allee Nord,2455.0,-0.12099,-0.64524,-0.60749,-1.37372,mittel,1.54562
08200726,Hufeisensiedlung,6271.0,0.10752,0.03682,-0.05737,0.08697,mittel,0.5878
08200727,Parchimer Allee Süd,7983.0,0.41755,0.14774,0.5578,1.12309,mittel,0.16778
08200728,Ortolanweg,1253.0,0.40915,0.83724,0.81175,2.05814,mittel,-0.144
08200729,Britzer Garten,1865.0,-0.50284,-0.74007,-0.93808,-2.18099,mittel,-0.58777
08200730,Handwerker-Siedlung,3321.0,0.6887,-0.22388,-0.22041,0.24441,mittel,2.63942
08200831,Buckow West,8320.0,-0.0874,-0.41869,-0.21527,-0.72136,mittel,0.68832
08200832,Buckow Mitte,11578.0,0.41781,0.06462,0.49639,0.97882,mittel,1.16832
08200833,Buckow Ost,8698.0,1.2474,0.81658,1.18042,3.2444,niedrig,2.10835
08300934,Gropiusstadt Nord-West,12534.0,2.01046,1.4208,1.59485,5.02611,sehr niedrig,2.67856
08300935,Gropiusstadt Süd-West,7303.0,0.79814,0.4059,0.97817,2.18221,mittel,0.78394
08301036,Gropiusstadt Mitte,7190.0,1.64148,1.24279,1.23123,4.1155,niedrig,1.77912
08301037,Gropiusstadt Süd-Ost,10564.0,2.12585,1.49582,1.4575,5.07917,sehr niedrig,2.95348
08401138,Goldhähnchenweg,2834.0,1.31373,0.90093,1.45789,3.67255,niedrig,0.09303
08401139,Vogelviertel Süd,4103.0,-0.01774,-0.38583,-0.06489,-0.46846,mittel,1.26034
08401140,Vogelviertel Nord,2661.0,-0.04385,-0.22065,-0.16004,-0.42454,mittel,0.58506
08401241,Blumenviertel,8264.0,-0.65457,-0.75838,-0.51705,-1.93,mittel,-0.34856
08401242,Zittauer Straße,6844.0,-0.85155,-0.83921,-0.53468,-2.22544,mittel,-0.56848
08401243,Alt-Rudow,9997.0,0.13719,-0.24393,0.09984,-0.0069,mittel,0.67194
08401244,Waßmannsdorfer Chaussee,7118.0,-0.89371,-0.93983,-0.80701,-2.64055,mittel,-0.51625
08401245,Frauenviertel,3776.0,-0.58213,-0.25186,-0.22769,-1.06168,mittel,-0.05559
08401246,Waltersdorfer Chaussee Ost,7951.0,-0.14695,-0.21889,0.06457,-0.30127,mittel,0.43771
09100101,Alt-Treptow,13167.0,-0.0775,-0.19927,-0.48548,-0.76225,mittel,-0.77079
09100202,Plänterwald West,4375.0,-0.66047,-0.71635,-0.97034,-2.34716,mittel,-0.26488
09100203,Plänterwald Ost,6924.0,0.21458,-0.2225,0.36559,0.35767,mittel,0.3452
09100304,Baumschulenweg West,11722.0,-0.20495,-0.57632,-0.43356,-1.21483,mittel,0.05259
09100305,Baumschulenweg Ost,4074.0,0.55368,-0.37065,-0.49729,-0.31426,mittel,1.33872
09100306,Späthsfelde,3098.0,-0.56684,-0.4803,-0.1234,-1.17054,mittel,1.44464
09100407,Johannisthal West,8480.0,-0.3317,-0.67667,-0.39335,-1.40172,mittel,-0.30831
09100408,Johannisthal Ost,8105.0,-0.30316,-0.38012,-0.32683,-1.01011,mittel,-0.43406
09100409,Landschaftspark Adlershof,3375.0,-1.19181,-0.89853,-0.84528,-2.93562,mittel,-1.21823
09200510,Helmholtz-Kiez,7535.0,1.04,0.76244,1.07348,2.87592,mittel,0.12629
09200511,Griechischer Park,12663.0,0.49113,0.45382,0.45724,1.40219,mittel,0.2839
09200512,Wuhlheide,3440.0,0.82012,0.13736,0.36912,1.3266,mittel,-0.55691
09200613,Bahnhof Schöneweide,9424.0,0.11942,0.07064,0.30723,0.49729,mittel,-0.58948
09200614,Oberspree,3580.0,-0.18342,-0.44969,-0.0857,-0.71881,mittel,-0.53203
09200715,Wista,3059.0,-1.14619,-0.84575,-0.57923,-2.57117,mittel,-0.47206
09200716,Dörpfeldstraße West,7669.0,0.05154,-0.22732,-0.03842,-0.2142,mittel,0.06627
09200717,Dörpfeldstraße Ost,9482.0,0.08277,-0.28815,-0.04271,-0.24809,mittel,0.4186
09200818,Spindlersfeld,3061.0,-0.07355,-0.37045,-0.54325,-0.98725,mittel,0.32878
09200819,Köllnische Vorstadt,8292.0,0.59068,0.67127,0.77381,2.03576,mittel,0.06925
09300920,Dorf Altglienicke,11751.0,-0.94377,-0.81935,-0.69072,-2.45384,mittel,-0.44308
09300921,Preußen Siedlung,2697.0,-1.08253,-1.18719,-1.19075,-3.46047,hoch,-1.24167
09300922,Kosmos Viertel,5660.0,1.79426,1.62381,1.78708,5.20515,sehr niedrig,2.17386
09300923,Kölner Viertel,8169.0,0.12998,0.33942,0.31321,0.78261,mittel,0.39717
09301024,Falkenberg,2417.0,-1.27841,-1.17514,-1.26917,-3.72272,hoch,-0.72346
09301025,Alt-Bohnsdorf,10760.0,-0.63333,-0.83542,-0.72348,-2.19223,mittel,-0.4249
09301126,Grünau,7217.0,-0.77656,-0.96378,-0.90519,-2.64553,mittel,-0.41431
09301227,Karolinenhof,1871.0,-1.16917,-1.32453,-1.35437,-3.84807,hoch,0.17591
09301228,Schmöckwitz/Rauchfangswerder,2571.0,-1.07577,-1.12022,-1.02192,-3.21791,hoch,-0.09034
09401329,Kietzer Feld/Nachtheide,10138.0,-0.61466,-0.9133,-0.8934,-2.42136,mittel,-0.11847
09401330,Wendenschloß,1911.0,-1.38816,-1.26992,-1.28456,-3.94264,hoch,-0.80187
09401431,Allende I,5445.0,-0.56373,-0.72573,-0.4063,-1.69576,mittel,-0.34874
09401432,Siedlung Kämmereiheide,1569.0,-0.68548,-0.5344,-0.45772,-1.6776,mittel,-0.734
09401433,Allende II,4368.0,0.10574,-0.27481,0.14715,-0.02192,mittel,-0.53522
09401534,Altstadt Köpenick,7337.0,0.39783,0.46817,0.30845,1.17445,mittel,-0.74823
09401635,Müggelheim,6867.0,-1.18296,-1.2513,-1.24333,-3.67759,hoch,-0.4513
09501736,Hirschgarten,4575.0,0.03131,-0.65053,-0.85129,-1.47051,mittel,-1.49756
