id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
023004,Südliche Luisenstadt,27046,6.10589,30.80873,17.4433,60.81825,51.53442,32.80707,-0.19318,65.67114,21.75016,97.39333,66.05913,26.75708,-1.45883,-7.08855
024005,Karl-Marx-Allee Nord,24571,3.13407,32.4509,2.98867,48.30317,31.4395,19.43348,1.70526,62.45026,18.15068,0,61.69792,25.66179,1.56085,-0.83865
024006,Karl-Marx-Allee Süd,25757,3.26954,33.46883,5.30035,57.56881,41.32857,28.47381,3.00999,66.2667,17.75584,2.48864,57.8058,32.23383,0.76899,-3.58766
025007,Frankfurter Allee Nord,31307,2.57827,29.75153,9.60671,40.26141,34.62804,24.12879,2.08303,54.32883,12.77284,0,54.64344,32.08081,-0.00711,-6.63023
025008,Frankfurter Allee Süd FK,55017,2.70203,27.95335,7.51246,41.52532,36.40511,25.73205,2.0946,54.82094,13.51545,2.26475,51.1444,35.04735,0.26073,-5.2511
031001,Buch,16692,5.84958,40.77181,1.91169,30.21926,19.81189,14.04865,0.66423,79.01919,27.83993,36.71819,63.49267,30.52471,0.14825,-2.29149
032002,Blankenfelde/Niederschönhausen,28622,1.64751,26.64181,2.13796,24.36697,16.36503,9.29355,0.3026,62.33083,19.90614,27.70247,66.603,19.60329,-0.14271,-0.2201
032003,Buchholz,18419,1.83428,23.82003,2.77427,23.40366,14.65878,6.64531,1.11647,66.09477,24.00339,22.88941,72.73977,14.44063,0.23064,2.69862
033004,Karow,19694,1.8782,29.96301,1.98154,25.42156,15.42094,8.46451,1.4052,76.0048,37.63109,0,69.72017,17.61297,-0.02734,1.43793
033005,Blankenburg/Heinersdorf/Märchenland,15812,1.45594,20.02511,1.03214,25.60476,14.1791,8.60106,0.68482,76.98529,26.43505,3.08626,73.27911,20.71726,1.24414,6.85813
034006,Schönholz/Wilhelmsruh/Rosenthal,18689,1.72222,23.46641,1.96399,32.7207,19.52485,8.81267,1.69756,61.87007,16.54952,2.18845,69.91369,19.07467,1.92174,5.80896
034007,Pankow Zentrum,37240,1.79915,30.94986,2.51289,26.17766,17.63695,9.7449,1.3145,61.25654,16.43875,1.13319,64.87973,19.53679,0.87776,-0.07337
034008,Pankow Süd,35738,1.58431,35,3.16609,28.59836,19.69053,12.66159,1.74205,62.96133,13.6756,0,65.36621,21.87896,1.08263,-1.40572
035009,Weißensee,38922,2.49054,32.93336,3.73888,29.74445,21.3247,13.86619,0.76164,56.9761,16.34012,12.80253,61.85646,24.18598,0.00436,-2.95467
035010,Weißensee Ost,15833,4.94812,38.921,2.01019,26.5161,16.72456,11.09708,1.79263,69.72112,30.21499,4.91379,66.65117,21.06636,1.99816,1.41812
036011,Prenzlauer Berg Nordwest,26999,1.59283,27.90046,6.52681,40.37884,33.78644,22.98233,1.34334,52.7639,9.14014,0,55.71546,29.79579,0.346,-4.75508
036012,Prenzlauer Berg Nord,27445,1.84332,34.55645,4.8496,39.67269,27.546,18.14903,1.22965,57.11704,9.19328,0,62.15462,24.87439,-0.38813,-5.90637
036013,Helmholtzplatz,22534,1.9069,29.58175,11.32503,38.02122,33.0789,21.92243,1.0594,54.51417,8.39868,0,62.60963,25.47718,-1.6112,-8.60144
036014,Prenzlauer Berg Ost,27196,3.65912,35.92305,2.79465,45.53797,28.14752,19.13884,1.39252,66.43612,27.94639,21.82306,64.89646,26.6071,0.42982,-2.1561
037015,Prenzlauer Berg Südwest,27258,0.69565,28.49693,6.34483,44.8794,36.91026,24.89544,0.48814,57.72178,6.10215,0,59.61531,27.82726,-0.80416,-6.24794
037016,Prenzlauer Berg Süd,33623,1.55123,28.52532,5.43438,39.29141,31.50522,20.29266,0.81885,57.07167,9.3872,0,62.43942,25.56446,-0.64309,-3.37804
041001,Charlottenburg Nord,19403,4.21053,38.52501,11.75603,76.02761,52.18781,28.9749,1.50802,63.94522,32.64078,64.47972,71.33478,19.65257,0.26005,-1.56018
042002,Heerstraße,13038,0.20492,22.88058,2.05367,44.64668,32.26722,20.45559,1.05363,61.5673,6.62332,0,68.87553,21.35309,0.66597,4.69509
042003,Westend,28342,1.93885,25.68725,4.5821,56.59505,35.80905,21.53694,-0.16114,62.8768,15.25669,0.08821,65.02548,26.19243,-0.08672,0.87547
043004,Schloss Charlottenburg,43082,2.15236,29.26763,10.62983,58.77784,43.25704,26.04104,-0.01721,61.34237,14.11645,0,67.31393,24.93043,-0.36315,-5.53961
043005,Mierendorffplatz,15567,2.28058,29.79253,12.73804,70.11188,47.0354,28.13002,0.82734,61.54373,17.71443,24.12796,63.84564,24.41582,0.02935,-6.79774
043006,Otto-Suhr-Allee/Kantstraße,49915,2.60134,27.79355,12.07766,70.96183,50.89853,31.25513,0.68449,62.34857,13.18976,6.54913,63.40577,25.78158,0.23097,-5.52961
044007,Grunewald,19813,0.84592,29.17831,4.57818,62.66898,39.92833,21.8392,1.08118,61.15091,10.32765,0,66.22872,21.25531,1.53249,4.50711
044008,Schmargendorf,34000,1.28696,27.87758,5.03476,52.84919,31.93824,17.44412,0.92721,64.50851,14.27201,0,69.53529,19.62798,1.23838,2.65008
045009,Halensee,27736,1.9198,27.87472,7.38829,68.01828,44.89833,25.94462,0.13736,62.11784,13.36051,0,64.31658,24.20028,0.33793,-0.83113
045010,Lietzenburger Straße,40841,1.91144,28.26936,8.12454,67.30612,46.84753,28.39793,0.04807,59.95861,10.94978,0,64.94015,28.08998,0.00424,-3.51363
045011,Volkspark Wilmersdorf,49655,1.88845,28.08187,7.75862,61.64404,41.67355,24.64404,0.44394,60.08826,15.09867,0,65.82249,25.92507,0.06948,-2.86624
051001,Hakenfelde,26780,3.4931,29.33917,4.00511,51.17647,29.63779,15.82524,2.17789,65.78575,27.31199,1.53473,60.01579,21.94566,3.88843,5.98611
051002,Falkenhagener Feld,41960,5.77362,34.87287,7.01327,66.85714,42.75262,22.16873,1.97026,64.2335,41.56536,68.18637,68.54076,18.35583,0.86015,1.31332
051003,Spandau Mitte,37880,4.84519,34.33271,9.36626,69.61573,47.47624,29.85744,1.56553,65.11936,35.74981,78.91235,60.37156,25.14991,0.02846,-3.86609
052004,Brunsbütteler Damm,23362,2.31481,31.18703,3.75701,45.97205,27.46768,13.65037,0.986,67.19975,33.65319,89.48292,71.01664,18.18515,0.50645,3.51741
