id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01100101,Stülerstraße,3419.0,4.22594,8.04329,19.39799,1.46443,0.38963,3.96175
01100102,Großer Tiergarten,1791.0,1.15858,3.46175,8.33333,0.24344,0.92619,4.92424
01100103,Lützowstraße,5211.0,5.31544,15.52485,32.63158,0.93486,-2.16074,-4.86842
01100104,Körnerstraße,4636.0,6.18102,18.01122,39.93994,1.249,-0.711199999999998,-2.65548
01100205,Wilhelmstraße,2573.0,2.8826,6.33502,19.75806,0.50703,-1.64835,0.728210000000001
01100206,Unter den Linden,1803.0,2.15613,4.93622,12.90323,0.5748,1.44452,5.0719
01100207,Leipziger Straße,8312.0,2.76734,6.641,18.89503,0.74055,-0.55794,-1.46493
01100308,Charitéviertel,6967.0,1.37665,2.61232,4.71807,0.42094,-0.0759300000000001,0.45048
01100309,Oranienburger Straße,12352.0,2.93421,6.33905,12.83743,0.90508,0.48477,1.73299
01100310,Alexanderplatzviertel,9903.0,3.87555,8.23993,20.45908,0.77488,0.0591099999999987,0.500879999999999
01100311,Karl-Marx-Allee,9013.0,6.76912,12.84811,38.72679,2.3115,-0.3239,1.31317
01100312,Heine-Viertel West,9422.0,3.08821,5.45532,13.89699,0.68764,-0.561909999999999,-3.10301
01100313,Heine-Viertel Ost,10779.0,2.85963,6.2529,16.22074,0.71247,-0.19567,0.52047
01100414,Nordbahnhof,5178.0,1.88818,4.21012,9.42285,0.6424,-0.503410000000001,1.08952
01100415,Invalidenstraße,12593.0,2.05154,4.47074,7.09894,0.53161,-0.0893699999999997,-0.32627
01100416,Arkonaplatz,13443.0,2.08215,3.56319,5.6926,0.90437,0.27994,1.97845
01200517,Huttenkiez,3725.0,8.45687,21.90604,58.70021,1.57943,-3.55753,-8.48041000000001
01200518,Beusselkiez,6866.0,7.92151,19.37081,51.0828,1.726,-2.6593,-1.83497
01200519,Emdener Straße,9103.0,7.66146,16.34626,41.85149,2.2142,-3.38338,-7.10401
01200520,Bremer Straße,9433.0,6.11907,13.57999,31.25573,1.60929,-1.83491,-1.86115
01200521,Zwinglistraße,5235.0,7.64647,20.66858,51.39912,2.11354,-1.55774,-0.281549999999996
