id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,3384.0,1.11111,-,8.11554,90.17857,60.6974,41.87352,3.11309,65.27876,7.06687,0.65559,2.01862,41.73611,0.0
01011102,Großer Tiergarten,196.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01011103,Lützowstraße,5038.0,2.68714,-,19.87041,82.27474,57.26479,34.75586,-4.17129,60.3084,23.1319,8.72987,1.83585,42.58575,14.41048
01011104,Körnerstraße,4759.0,3.46741,-,27.27273,78.19549,65.34986,39.94537,1.68006,70.12099,23.03433,7.69613,1.33789,31.60517,36.81446
01011105,Nördlicher Landwehrkanal,1421.0,0.95238,-,2.24215,83.78378,63.26531,46.02393,5.6715,72.93578,1.47783,0.0,2.67417,75.87966,0.0
01011201,Wilhelmstraße,2405.0,1.52091,-,3.93701,83.79205,59.7921,40.99792,5.74678,66.02434,8.66667,10.54073,2.39543,51.19168,0.0
01011202,Unter den Linden Nord,632.0,0.0,-,0.0,80.76923,47.94304,36.55063,0.20195,47.18615,1.82648,10.65375,2.31646,67.65981,0.0
01011203,Unter den Linden Süd,1115.0,1.31579,-,3.5503,78.22581,53.18386,36.59193,-0.75867,64.21569,4.49735,48.28614,2.02063,54.26188,0.0
01011204,Leipziger Straße,8279.0,1.16473,-,4.59559,79.37626,50.15098,33.30112,4.14395,62.45919,10.35141,31.62615,1.99589,45.56215,0.0
01011301,Charitéviertel,6919.0,0.41667,-,2.91859,51.2605,42.83856,30.5391,2.31642,53.09986,2.79138,6.73349,2.06648,51.39688,11.70689
01011302,Oranienburger Straße,12572.0,0.77369,-,5.3202,48.4787,40.08909,27.2749,1.3794,48.46894,7.88596,22.63312,1.9798,45.986,26.78969
01011303,Alexanderplatzviertel,9999.0,1.02857,-,6.69291,70.23923,47.64476,34.93349,2.64532,59.86258,8.44156,41.99611,1.86529,37.91259,11.20112
01011304,Karl-Marx-Allee,8761.0,2.65363,-,2.94232,74.48805,41.59343,26.11574,3.76184,71.63462,26.48402,45.16399,1.91017,35.36503,0.0
01011305,Heine-Viertel West,8243.0,2.0979,-,2.14547,64.87377,39.47592,26.22831,3.3978,69.01018,9.36746,9.44365,1.89749,37.15917,1.35873
01011306,Heine-Viertel Ost,10607.0,0.55732,-,2.71122,59.92,43.8484,29.86707,3.11995,63.92045,8.7312,14.05561,1.61441,33.0643,21.35382
01011401,Invalidenstraße,17948.0,0.79308,-,5.98802,52.03333,43.41431,31.57455,3.75017,53.13217,6.01192,3.29784,1.70381,40.4352,43.52017
01011402,Arkonaplatz,13645.0,0.93897,-,5.82147,45.65875,40.2565,27.67314,2.3452,44.38559,3.83162,3.40163,1.76893,39.67255,27.90033
