id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,3384.0,2.7978,7.65366,15.43624,-0.33873,-0.50305,-5.07658
01011102,Großer Tiergarten,196.0,0,0,0,0,0,0
01011103,Lützowstraße,5038.0,4.43002,17.68559,37.5,-0.70792,-0.05635,3.16717
01011104,Körnerstraße,4759.0,4.9452,18.72242,42.59542,-0.26679,-1.94085,-3.3184
01011105,Nördlicher Landwehrkanal,1421.0,0.58366,2.18156,3.52941,-0.38604,0.68376,-0.01669
01011201,Wilhelmstraße,2405.0,2.3918,7.98337,19.02985,-0.16248,-0.46412,-8.28293
01011202,Unter den Linden Nord,632.0,1.25523,1.58228,11.11111,0.15874,-0.22693,4.44444
01011203,Unter den Linden Süd,1115.0,1.79856,4.39462,6.25,-1.11921,0.80896,-4.09483
01011204,Leipziger Straße,8279.0,2.04932,7.19894,20.35996,-0.47006,0.00344,-0.98232
01011301,Charitéviertel,6919.0,0.96278,2.68825,4.26759,-0.25577,-0.54608,-0.79078
01011302,Oranienburger Straße,12572.0,2.04226,5.85428,11.10444,-0.24496,-0.25661,-0.13085
01011303,Alexanderplatzviertel,9999.0,3.12583,8.18082,19.9582,-0.47777,-0.43915,-0.53563
01011304,Karl-Marx-Allee,8761.0,4.51113,13.17201,37.41362,-0.8478,-0.38672,-4.90264
01011305,Heine-Viertel West,8243.0,2.42227,6.01723,17,-0.61663,-1.1772,-3.2957
01011306,Heine-Viertel Ost,10607.0,2.16456,6.44857,15.70027,-1.02874,-1.7571,-6.06982
01011401,Invalidenstraße,17948.0,1.43779,4.60218,7.8497,-0.42379,-0.14952,0.57697
01011402,Arkonaplatz,13645.0,1.18195,3.26127,3.71415,-0.58611,-0.06682,-0.24093
01022101,Huttenkiez,3557.0,6.65266,24.009,67.94872,-4.76884,-3.27663,-0.22171
01022102,Beusselkiez,6709.0,6.24299,22.03011,52.91777,-3.39652,-2.61689,-4.20641
01022103,Westhafen,272.0,0,0,0,0,0,0
01022104,Emdener Straße,18974.0,5.01402,17.53452,41.11978,-1.54817,-0.95598,-2.50341
01022105,Zwinglistraße,5426.0,5.56091,22.22632,51.68067,-1.95382,-1.64611,-6.44525
01022106,Elberfelder Straße,11421.0,3.08048,8.90465,16.53481,-0.52819,-0.65548,0.28392
01022201,Stephankiez,11027.0,4.02292,15.64342,34.06015,-1.05044,-1.67858,-2.38113
01022202,Heidestraße,2495.0,5.09454,16.71343,33.33333,-3.78798,-12.18442,-18.22917
01022203,Lübecker Straße,7083.0,6.791,25.30001,50.04398,-1.25451,-0.90174,-4.4845
01022204,Thomasiusstraße,6236.0,2.38564,9.12444,13.83459,-1.47065,-2.10496,-7.00499
01022205,Zillesiedlung,3349.0,6.71506,25.88832,37.43842,-1.69918,0.85057,-0.01977
01022206,Lüneburger Straße,3044.0,3.42034,9.03417,14.32665,-0.27492,-1.99986,-4.21121
01022207,Hansaviertel,5771.0,2.34834,7.27777,14.65116,-0.15805,-1.17694,-2.94541
01033101,Soldiner Straße,27088.0,8.26159,31.43089,66.09945,-1.24917,-1.24673,-2.69948
01033102,Gesundbrunnen,12063.0,6.39056,25.50775,55.26882,-1.63964,-3.67194,-8.9977
01033201,Brunnenstraße,13919.0,7.10022,30.28235,55.37495,-1.68653,-1.39193,-3.22451
01033202,Humboldthain Süd,10273.0,5.49643,22.02862,46.5796,-1.80685,-1.93807,-4.38814
01033203,Humboldthain Nordwest,14684.0,7.65782,28.97031,61.90476,-1.7116,-2.92636,-6.90649
01044101,Rehberge,21023.0,5.88121,19.53575,49.08947,-1.62966,-1.53364,-3.60175
01044102,Schillerpark,16630.0,5.52035,18.70114,46.59427,-1.12389,-0.28519,-4.89366
01044103,Westliche Müllerstraße,8684.0,5.57642,20.04836,54.30862,-1.93317,-0.46625,2.8744
01044201,Reinickendorfer Straße,24356.0,7.73311,29.94745,65.26488,-2.05634,-2.49364,-5.04675
01044202,Sparrplatz,17122.0,5.71121,20.02687,51.03483,-1.90763,-1.3166,-4.98772
01044203,Leopoldplatz,16328.0,7.62425,27.07619,59.54089,-1.50123,-1.77207,-5.18979
02010101,Askanischer Platz,6823.0,6.09339,21.1344,40.22869,-1.81999,-3.6303,-4.2043
02010102,Mehringplatz,13693.0,8.24742,28.57665,52.33727,-2.10115,-3.89812,-9.24056
02010103,Moritzplatz,15302.0,10.51104,31.21814,60.49618,-1.32513,-3.8104,-5.67703
02010104,Wassertorplatz,5086.0,9.12319,31.3606,60.04872,-1.25649,-3.39356,-7.42996
02020201,Gleisdreieck/Entwicklungsgebiet,1790.0,0.9106,3.29609,6.45161,-0.63652,-0.3263,-0.83316
02020202,Rathaus Yorckstraße,6099.0,4.39344,13.75635,27.64045,-0.32437,0.2672,3.14341
02020203,Viktoriapark,11056.0,3.32975,9.46997,17.7763,-0.46605,-1.48906,-3.06581
02020204,Urbanstraße,12808.0,3.45382,10.94628,19.97464,-0.48905,-1.36915,-1.74721
02020205,Chamissokiez,15107.0,3.3793,10.21381,19.04219,-0.5252,-1.30244,-1.85086
02020206,Graefekiez,19040.0,4.56271,15.28887,27.54491,-0.827,-1.3498,-2.82099
02030301,Oranienplatz,8996.0,7.6562,24.42197,50.25952,-1.74181,-3.44869,-3.43343
02030302,Lausitzer Platz,13131.0,5.87358,19.54916,34.26901,-1.43746,-2.31777,-6.46956
02030401,Reichenberger Straße,15263.0,4.89885,15.33774,28.79337,-0.6474,-2.56276,-5.93595
02030402,Wrangelkiez,11172.0,5.01905,14.00823,24.2963,-0.80291,-3.36071,-6.63003
02040501,Barnimkiez,5390.0,5.20557,12.80148,36.69421,-0.79377,-0.22584,1.66966
02040502,Friedenstraße,7443.0,2.87564,9.7407,24,-1.46789,0.02061,-2.22108
02040503,Richard-Sorge-Viertel,11157.0,2.66205,6.9015,13.98363,-0.56571,-0.86089,-2.2286
02040701,Andreasviertel,13151.0,4.58203,13.77082,39.5288,-0.05671,-0.08856,-0.96894
02040702,Weberwiese,10973.0,2.46711,5.82338,8.65079,-1.01657,-0.65413,-1.98252
02040703,Wriezener Bahnhof/Entwicklungsgebiet,1155.0,5.39957,20.95238,58.53659,-0.33016,-2.45373,-8.13008
02050601,Hausburgviertel,9124.0,3.87617,9.03113,17.47212,-0.77718,-0.99134,-1.2389
02050602,Samariterviertel,21730.0,3.19071,8.26967,13.44482,-0.68765,-1.09227,-1.27229
02050801,Traveplatz,20028.0,4.14816,11.12443,23.42559,-0.35238,-0.91139,-0.22162
02050802,Boxhagener Platz,21280.0,2.75188,6.36748,12.05098,-0.33101,-0.95473,0.87943
02050803,Stralauer Kiez,7598.0,3.09229,8.3443,18.80631,-1.3277,-1.28925,-2.16556
02050804,Stralauer Halbinsel,4725.0,1.2368,2.58201,2.80778,-0.29121,-0.4868,0.29787
03010101,Bucher Forst,4119.0,4.68024,8.57004,13.04985,-0.06388,-0.54401,-2.99553
03010102,Buch,12348.0,5.82699,15.16035,33.48934,-1.06054,-1.33088,-7.54075
03010104,Lietzengraben,239.0,0,0,0,0,0,0
03020203,Blankenfelde,2285.0,1.37581,3.67615,5.57103,-1.16461,-0.15183,-1.9375
03020209,Niederschönhausen,14967.0,1.84905,4.50324,6.7824,-0.38627,-0.29779,0.09635
03020210,Herthaplatz,11488.0,2.37154,6.30223,11.11111,-0.34607,0.02303,0.09741
03020307,Buchholz,18304.0,1.50207,5.55616,10.12451,-0.51561,-0.28879,-0.56774
03030405,Karow Nord,11352.0,2.73061,10.18323,21.09665,-0.03978,1.01702,2.74938
03030406,Alt-Karow,8225.0,0.79954,2.33435,2.93578,-0.62315,0.12695,-0.77799
03030711,Blankenburg,6869.0,0.95482,1.57228,1.95675,-0.37546,-0.55694,-1.31479
03030715,Heinersdorf,7664.0,1.89349,4.64509,7.74254,-1.29416,-0.89091,-1.8383
03030716,Märchenland,1131.0,0.92308,2.29885,6.4,-1.62947,-0.33735,-2.92203
03040508,Rosenthal,4588.0,1.35571,3.53095,5.92992,-0.36061,-1.21519,-3.76953
03040512,Wilhelmsruh,10074.0,2.05057,4.30812,9.38655,-0.0321,-0.63924,0.44716
03040513,Schönholz,3356.0,1.58582,2.97974,3.35821,-0.51502,-0.56657,0.07669
03040614,Pankow Zentrum,36487.0,2.53719,6.48724,9.60025,-0.92106,-0.57915,-1.63327
03040818,Pankow Süd,34800.0,2.79313,7.08046,12.55298,-0.83969,-1.13485,-2.65439
03050919,Gustav-Adolf-Straße,5583.0,4.78011,13.0575,29.1616,-0.39091,2.83104,7.90819
03050920,Weißer See,7430.0,2.66471,6.58143,10.07494,-0.89029,-0.54308,-3.73913
03050923,Weißenseer Spitze,9674.0,3.09136,7.99049,11.61417,-1.76805,-1.24231,-2.77152
03050924,Behaimstraße,6140.0,4.4844,10.04886,14.82558,-1.92761,-2.24079,-5.64048
03050925,Komponistenviertel Weißensee,9755.0,3.32054,8.28293,13.88889,-0.58905,-0.58906,0.19499
