id,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
010112,2.05076,6.83774,18.51852,-0.4316,-0.09524,-2.20458,1.2109,-,4.25066,80.30204,52.17601,35.25058,3.79031,62.61981,8.99149,27.88576,2.09171,48.55506,0.0,50.38007,35.12384,4.73706,5.07203
010113,2.48026,7.13823,17.18555,-0.56057,-0.77426,-2.13379,1.15548,-,3.61381,60.13421,42.58594,29.16411,2.71174,60.23539,10.24554,24.01682,1.87981,39.92378,13.4411,56.63408,32.65992,2.04092,-0.70292
010114,1.32784,4.02304,6.02285,-0.49181,-0.08858,0.27084,0.84859,-,5.91549,49.25682,42.05045,29.88953,3.18759,49.63465,5.13791,3.34306,1.73193,40.10581,36.77397,51.545,35.31062,1.91694,-5.00877
010221,4.98064,17.26741,40.57782,-1.83741,-1.25371,-1.75984,3.06196,-,14.49172,69.72316,49.9148,32.34323,1.35417,57.31626,26.1588,2.35973,1.63593,35.73552,76.42745,58.50239,32.19481,0.13036,-5.64154
010222,4.2311,15.54929,32.2817,-1.12408,-1.77843,-3.70674,3.13452,-,13.75069,72.64582,51.7908,31.4011,1.34863,61.98563,22.06066,4.71353,1.65148,37.48135,49.40649,59.09238,33.209,1.37144,-3.68552
010331,7.67897,29.60588,62.9444,-1.37678,-2.00124,-4.52244,5.37856,-,16.62841,83.20846,62.99201,41.02577,1.05473,61.99103,41.97881,12.55223,1.39327,28.59631,100.0,58.53831,32.00499,-0.23519,-4.57089
010332,6.92077,27.60572,55.49667,-1.74176,-2.15869,-4.97131,4.29656,-,15.99108,86.2516,63.56621,33.86408,0.90255,71.12039,39.17293,27.20754,1.43235,29.39009,97.17821,63.78654,25.96424,1.19465,-0.1393
010441,5.6994,19.33228,49.11712,-1.52723,-0.8899,-2.92544,2.92793,-,9.53387,71.14606,47.10922,30.04295,1.3837,58.62366,30.88602,21.50855,1.63437,33.09403,86.34353,60.34217,28.74048,0.4829,-3.42074
010442,7.06804,26.19797,60.07241,-1.85131,-1.92234,-5.0578,4.85335,-,19.34534,84.3317,63.33426,42.23091,1.35901,61.60904,35.26465,8.93051,1.39889,29.63467,99.31495,57.87172,33.76238,0.44834,-5.1342
020101,8.79655,28.66957,54.737,-1.70003,-3.8386,-6.93308,4.915,-,22.09768,89.06716,69.45531,36.07716,0.63553,77.80037,36.17086,24.32739,1.48369,30.55686,69.98338,66.67614,28.99768,-0.13926,-2.56134
