id,name,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,3384.0,-0.47353,-0.5059,-0.56588,-1.54531,mittel,0.68971
01011103,Lützowstraße,5038.0,0.2366,0.75805,0.66785,1.6625,mittel,0.28622
01011104,Körnerstraße,4759.0,0.46074,0.88868,0.95277,2.30219,mittel,0.76834
01011105,Nördlicher Landwehrkanal,1421.0,-1.43684,-1.19535,-1.23167,-3.86386,hoch,0.63801
01011201,Wilhelmstraße,2405.0,-0.65017,-0.46436,-0.36493,-1.47946,mittel,0.88234
01011202,Unter den Linden Nord,632.0,-1.14466,-1.27085,-0.80772,-3.22323,hoch,1.2334
01011203,Unter den Linden Süd,1115.0,-0.90827,-0.91652,-1.07954,-2.90433,mittel,-0.16328
01011204,Leipziger Straße,8279.0,-0.79917,-0.56319,-0.29056,-1.65292,mittel,0.54618
01011301,Charitéviertel,6919.0,-1.27189,-1.13151,-1.19039,-3.59379,hoch,0.78038
01011302,Oranienburger Straße,12572.0,-0.80224,-0.73261,-0.8081,-2.34295,mittel,0.79219
01011303,Alexanderplatzviertel,9999.0,-0.33081,-0.43949,-0.31302,-1.08332,mittel,0.53775
01011304,Karl-Marx-Allee,8761.0,0.27189,0.18937,0.66302,1.12428,mittel,0.13335
01011305,Heine-Viertel West,8243.0,-0.63691,-0.71208,-0.47844,-1.82743,mittel,0.38599
01011306,Heine-Viertel Ost,10607.0,-0.74903,-0.65774,-0.55111,-1.95788,mittel,-0.06441
01011401,Invalidenstraße,17948.0,-1.06523,-0.89037,-0.99009,-2.94569,mittel,0.59675
01011402,Arkonaplatz,13645.0,-1.17654,-1.05931,-1.22134,-3.45719,hoch,0.41935
01022101,Huttenkiez,3557.0,1.2036,1.55475,2.37045,5.1288,sehr niedrig,-4.15199
01022102,Beusselkiez,6709.0,1.02537,1.30542,1.52997,3.86076,niedrig,-2.65217
01022104,Emdener Straße,18974.0,0.49068,0.73901,0.87026,2.09995,mittel,-0.63209
01022105,Zwinglistraße,5426.0,0.72862,1.33014,1.46079,3.51955,niedrig,-1.07543
01022106,Elberfelder Straße,11421.0,-0.35054,-0.34829,-0.50445,-1.20328,mittel,0.48265
01022201,Stephankiez,11027.0,0.05948,0.50075,0.47551,1.03574,mittel,-0.08812
01022202,Heidestraße,2495.0,0.52571,0.63556,0.43487,1.59614,mittel,-3.08
01022203,Lübecker Straße,7083.0,1.26379,1.71741,1.36927,4.35047,niedrig,-0.31115
01022204,Thomasiusstraße,6236.0,-0.65285,-0.3206,-0.65544,-1.62889,mittel,-0.54737
01022205,Zillesiedlung,3349.0,1.23075,1.79153,0.66441,3.68669,niedrig,-0.79713
01022206,Lüneburger Straße,3044.0,-0.20268,-0.33197,-0.62792,-1.16257,mittel,0.75945
01022207,Hansaviertel,5771.0,-0.66908,-0.55326,-0.60978,-1.83212,mittel,0.88718
01033101,Soldiner Straße,27088.0,1.9036,2.48985,2.26704,6.66049,sehr niedrig,-0.30531
01033102,Gesundbrunnen,12063.0,1.08957,1.74358,1.66143,4.49458,sehr niedrig,-0.73206
01033201,Brunnenstraße,13919.0,1.39832,2.34515,1.66736,5.41083,sehr niedrig,-0.78331
01033202,Humboldthain Süd,10273.0,0.70056,1.30524,1.17556,3.18136,niedrig,-0.91481
01033203,Humboldthain Nordwest,14684.0,1.64092,2.17984,2.03249,5.85325,sehr niedrig,-0.81071
01044101,Rehberge,21023.0,0.86797,0.99115,1.3159,3.17502,niedrig,-0.72116
01044102,Schillerpark,16630.0,0.71097,0.886,1.17638,2.77335,mittel,-0.1684
01044103,Westliche Müllerstraße,8684.0,0.73536,1.05574,1.60774,3.39884,niedrig,-1.05286
01044201,Reinickendorfer Straße,24356.0,1.67368,2.30295,2.22037,6.197,sehr niedrig,-1.18748
01044202,Sparrplatz,17122.0,0.79401,1.05303,1.42468,3.27172,niedrig,-1.02495
01044203,Leopoldplatz,16328.0,1.62631,1.94119,1.90031,5.46781,sehr niedrig,-0.58079
02010101,Askanischer Platz,6823.0,0.96028,1.19257,0.82043,2.97328,niedrig,-0.92917
02010102,Mehringplatz,13693.0,1.89744,2.13024,1.49751,5.52519,sehr niedrig,-1.23645
02010103,Moritzplatz,15302.0,2.88227,2.46305,1.95373,7.29905,sehr niedrig,-0.38833
02010104,Wassertorplatz,5086.0,2.27846,2.481,1.9287,6.68816,sehr niedrig,-0.31331
02020201,Gleisdreieck/Entwicklungsgebiet,1790.0,-1.29459,-1.05493,-1.06827,-3.41779,hoch,0.36426
02020202,Rathaus Yorckstraße,6099.0,0.22068,0.26299,0.11654,0.60021,mittel,0.70541
02020203,Viktoriapark,11056.0,-0.24209,-0.27706,-0.43503,-0.95418,mittel,0.55056
02020204,Urbanstraße,12808.0,-0.18812,-0.09106,-0.31211,-0.59129,mittel,0.52543
02020205,Chamissokiez,15107.0,-0.22054,-0.18334,-0.36424,-0.76812,mittel,0.48592
02020206,Graefekiez,19040.0,0.29433,0.45608,0.1112,0.86161,mittel,0.15608
02030301,Oranienplatz,8996.0,1.64021,1.60678,1.38132,4.62831,sehr niedrig,-0.84373
02030302,Lausitzer Platz,13131.0,0.86465,0.99284,0.48719,2.34468,mittel,-0.5111
02030401,Reichenberger Straße,15263.0,0.44057,0.46223,0.18101,1.08381,mittel,0.35236
02030402,Wrangelkiez,11172.0,0.49287,0.29473,-0.07045,0.71715,mittel,0.18241
02040501,Barnimkiez,5390.0,0.57402,0.14268,0.6228,1.3395,mittel,0.1924
02040502,Friedenstraße,7443.0,-0.43966,-0.24295,-0.08702,-0.76963,mittel,-0.54436
02040503,Richard-Sorge-Viertel,11157.0,-0.53259,-0.60067,-0.6471,-1.78036,mittel,0.44164
02040701,Andreasviertel,13151.0,0.30273,0.26481,0.7813,1.34884,mittel,0.99793
02040702,Weberwiese,10973.0,-0.6174,-0.73651,-0.9453,-2.29921,mittel,-0.0511
02040703,Wriezener Bahnhof/Entwicklungsgebiet,1155.0,0.65842,1.16964,1.84415,3.67221,niedrig,0.69908
02050601,Hausburgviertel,9124.0,-0.00436,-0.33235,-0.45204,-0.78875,mittel,0.21053
02050602,Samariterviertel,21730.0,-0.30259,-0.42829,-0.67723,-1.40811,mittel,0.30837
02050801,Traveplatz,20028.0,0.11397,-0.06861,-0.11914,-0.07378,mittel,0.67479
02050802,Boxhagener Platz,21280.0,-0.49351,-0.66795,-0.75517,-1.91663,mittel,0.69815
02050803,Stralauer Kiez,7598.0,-0.34541,-0.41889,-0.37743,-1.14173,mittel,-0.39114
02050804,Stralauer Halbinsel,4725.0,-1.15267,-1.14489,-1.27202,-3.56958,hoch,0.74165
03010101,Bucher Forst,4119.0,0.34546,-0.39045,-0.69932,-0.74431,mittel,0.9901
03010102,Buch,12348.0,0.84438,0.43988,0.44359,1.72785,mittel,-0.09916
03020203,Blankenfelde,2285.0,-1.0922,-1.00704,-1.11751,-3.21675,hoch,-0.2129
03020209,Niederschönhausen,14967.0,-0.8863,-0.90283,-1.04977,-2.8389,mittel,0.63776
03020210,Herthaplatz,11488.0,-0.65898,-0.67617,-0.80772,-2.14287,mittel,0.68169
03020307,Buchholz,18304.0,-1.03726,-0.77017,-0.86289,-2.67032,mittel,0.4964
03030405,Karow Nord,11352.0,-0.50276,-0.1872,-0.24937,-0.93933,mittel,1.01644
03030406,Alt-Karow,8225.0,-1.34291,-1.1761,-1.26486,-3.78387,hoch,0.37887
03030711,Blankenburg,6869.0,-1.27536,-1.27211,-1.31961,-3.86708,hoch,0.64957
03030715,Heinersdorf,7664.0,-0.86697,-0.88496,-0.99608,-2.74801,mittel,-0.35448
03030716,Märchenland,1131.0,-1.28917,-1.18057,-1.07115,-3.54089,hoch,-0.72095
03040508,Rosenthal,4588.0,-1.10094,-1.02533,-1.09744,-3.22371,hoch,0.6658
