id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011306,Heine-Viertel Ost,10607.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10607.0,2.16456,6.44857,15.70027,-1.02874,-1.7571,-6.06982,10607.0,-0.74903,-0.65774,-0.55111,-1.95788,mittel,-0.06441,10607.0,0.55732,-,2.71122,59.92,43.8484,29.86707,3.11995,63.92045,8.7312,14.05561,1.61441,33.0643,21.35382
01011401,Invalidenstraße,17948.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",17948.0,1.43779,4.60218,7.8497,-0.42379,-0.14952,0.57697,17948.0,-1.06523,-0.89037,-0.99009,-2.94569,mittel,0.59675,17948.0,0.79308,-,5.98802,52.03333,43.41431,31.57455,3.75017,53.13217,6.01192,3.29784,1.70381,40.4352,43.52017
01011402,Arkonaplatz,13645.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",13645.0,1.18195,3.26127,3.71415,-0.58611,-0.06682,-0.24093,13645.0,-1.17654,-1.05931,-1.22134,-3.45719,hoch,0.41935,13645.0,0.93897,-,5.82147,45.65875,40.2565,27.67314,2.3452,44.38559,3.83162,3.40163,1.76893,39.67255,27.90033
01022101,Huttenkiez,3557.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",3557.0,6.65266,24.009,67.94872,-4.76884,-3.27663,-0.22171,3557.0,1.2036,1.55475,2.37045,5.1288,sehr niedrig,-4.15199,3557.0,4.40529,-,19.2926,77.85388,53.8375,37.75654,2.09498,47.80343,34.55706,1.62049,1.50042,33.54765,100.0
01022102,Beusselkiez,6709.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",6709.0,6.24299,22.03011,52.91777,-3.39652,-2.61689,-4.20641,6709.0,1.02537,1.30542,1.52997,3.86076,niedrig,-2.65217,6709.0,3.32326,-,22.97521,82.47768,61.69325,42.94232,2.88897,58.90316,26.61107,4.64085,1.46669,30.85616,99.46341
01022104,Emdener Straße,18974.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",18974.0,5.01402,17.53452,41.11978,-1.54817,-0.95598,-2.50341,18974.0,0.49068,0.73901,0.87026,2.09995,mittel,-0.63209,18974.0,3.38142,-,16.0386,70.53217,50.52177,32.77643,1.87911,59.04486,25.92922,3.19644,1.6413,35.59592,100.0
01022105,Zwinglistraße,5426.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",5426.0,5.56091,22.22632,51.68067,-1.95382,-1.64611,-6.44525,5426.0,0.72862,1.33014,1.46079,3.51955,niedrig,-1.07543,5426.0,2.70636,-,19.89247,82.55114,59.60192,38.13122,1.69038,56.21073,30.06296,0.92379,1.42683,31.324,100.0
01022106,Elberfelder Straße,11421.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11421.0,3.08048,8.90465,16.53481,-0.52819,-0.65548,0.28392,11421.0,-0.35054,-0.34829,-0.50445,-1.20328,mittel,0.48265,11421.0,1.79856,-,7.66461,50.50437,35.48726,20.39226,-1.55875,55.30271,16.17647,0.66348,1.88574,41.92899,4.66684
01022201,Stephankiez,11027.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11027.0,4.02292,15.64342,34.06015,-1.05044,-1.67858,-2.38113,11027.0,0.05948,0.50075,0.47551,1.03574,mittel,-0.08812,11027.0,3.16981,-,14.81481,70.3125,50.38542,31.36846,-0.43282,59.90171,23.98007,0.26224,1.65312,36.94686,100.0
01022202,Heidestraße,2495.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",2495.0,5.09454,16.71343,33.33333,-3.78798,-12.18442,-18.22917,2495.0,0.52571,0.63556,0.43487,1.59614,mittel,-3.08,2495.0,5.07937,-,15.65657,83.6689,62.28457,34.98998,2.59751,75.14318,20.93596,9.07143,1.70701,43.85291,62.92585
01022203,Lübecker Straße,7083.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",7083.0,6.791,25.30001,50.04398,-1.25451,-0.90174,-4.4845,7083.0,1.26379,1.71741,1.36927,4.35047,niedrig,-0.31115,7083.0,4.42375,-,18.9536,82.22566,59.64987,33.68629,0.36731,66.05197,37.71207,12.89051,1.48567,31.27404,42.75025
01022204,Thomasiusstraße,6236.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",6236.0,2.38564,9.12444,13.83459,-1.47065,-2.10496,-7.00499,6236.0,-0.65285,-0.3206,-0.65544,-1.62889,mittel,-0.54737,6236.0,1.82482,-,9.68064,59.04888,44.57986,28.44772,3.36187,52.64938,11.03659,0.11425,1.7569,40.74775,4.76267
01022205,Zillesiedlung,3349.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",3349.0,6.71506,25.88832,37.43842,-1.69918,0.85057,-0.01977,3349.0,1.23075,1.79153,0.66441,3.68669,niedrig,-0.79713,3349.0,5.39906,-,21.64179,84.81894,63.33234,33.65184,2.4528,77.81721,35.1378,26.03306,1.22932,29.14572,100.0
01022206,Lüneburger Straße,3044.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3044.0,3.42034,9.03417,14.32665,-0.27492,-1.99986,-4.21121,3044.0,-0.20268,-0.33197,-0.62792,-1.16257,mittel,0.75945,3044.0,3.13589,-,11.62791,60.38647,41.13009,22.20762,0.80029,51.47929,14.10256,0.0,1.77562,43.35151,0.0
01022207,Hansaviertel,5771.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5771.0,2.34834,7.27777,14.65116,-0.15805,-1.17694,-2.94541,5771.0,-0.66908,-0.55326,-0.60978,-1.83212,mittel,0.88718,5771.0,0.71942,-,9.09816,59.12548,47.01092,33.84162,2.84695,57.8085,6.99566,1.18951,1.89343,41.57789,0.0
01033101,Soldiner Straße,27088.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",27088.0,8.26159,31.43089,66.09945,-1.24917,-1.24673,-2.69948,27088.0,1.9036,2.48985,2.26704,6.66049,sehr niedrig,-0.30531,27088.0,6.01318,-,17.59259,83.87828,63.49675,41.95216,1.15263,61.16684,44.05668,14.79847,1.37046,28.11968,100.0
01033102,Gesundbrunnen,12063.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",12063.0,6.39056,25.50775,55.26882,-1.63964,-3.67194,-8.9977,12063.0,1.08957,1.74358,1.66143,4.49458,sehr niedrig,-0.73206,12063.0,4.01417,-,14.49631,81.58497,61.85858,38.94554,0.85311,63.98467,36.8984,7.89659,1.4445,29.66658,100.0
01033201,Brunnenstraße,13919.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",13919.0,7.10022,30.28235,55.37495,-1.68653,-1.39193,-3.22451,13919.0,1.39832,2.34515,1.66736,5.41083,sehr niedrig,-0.78331,13919.0,5.32646,-,18.40048,88.05268,67.08815,30.84273,-0.47229,76.33357,43.72564,46.72369,1.41698,28.9829,94.24528
01033202,Humboldthain Süd,10273.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",10273.0,5.49643,22.02862,46.5796,-1.80685,-1.93807,-4.38814,10273.0,0.70056,1.30524,1.17556,3.18136,niedrig,-0.91481,10273.0,2.45763,-,11.79402,82.4346,57.87988,28.67711,2.40732,73.59131,30.80425,29.75011,1.45946,30.00448,98.78322
01033203,Humboldthain Nordwest,14684.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",14684.0,7.65782,28.97031,61.90476,-1.7116,-2.92636,-6.90649,14684.0,1.64092,2.17984,2.03249,5.85325,sehr niedrig,-0.81071,14684.0,4.47546,-,18.43003,86.76686,64.20594,40.35685,1.38047,66.11542,40.0,7.89933,1.42795,29.34623,98.83547
01044101,Rehberge,21023.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",21023.0,5.88121,19.53575,49.08947,-1.62966,-1.53364,-3.60175,21023.0,0.86797,0.99115,1.3159,3.17502,niedrig,-0.72116,21023.0,3.00338,-,10.18758,71.76952,49.26985,31.57019,1.21597,57.91773,30.49984,8.07935,1.59853,33.04505,99.56714
