id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
010111,Tiergarten Süd,13938.0,6.8268,1.86716,15.81289,38.13983,-1.41763,-0.99146,-0.74862,-4.03561
010112,Regierungsviertel,9909.0,4.88927,1.27984,6.61015,22.65446,-0.06839,0.00193,-0.41348,-0.09014
010113,Alexanderplatz,50457.0,5.5469,1.46117,8.15546,20.80914,-0.52345,-0.26173,-0.17717,-1.3489
010114,Brunnenstraße Süd,27901.0,4.40322,0.86894,4.61632,6.89232,-0.41876,-0.26368,-0.35086,-0.79786
010221,Moabit West,44540.0,9.50528,2.9256,18.97845,45.72699,-0.74058,-0.4701,-0.67941,-1.96251
010222,Moabit Ost,36260.0,8.37479,2.18227,17.58963,39.92387,-1.38793,-0.98266,-1.2991,-5.05284
010331,Osloer Straße,37533.0,12.62006,3.78747,30.78358,67.47382,-2.15219,-1.26176,0.40671,-0.24639
010332,Brunnenstraße Nord,36473.0,12.03298,3.4363,29.99753,63.3082,-1.71926,-1.08398,-0.52428,-2.21069
010441,Parkviertel,43771.0,10.5802,3.36512,19.634,53.03343,-1.42234,-0.56432,-0.05803,-0.44492
010442,Wedding Zentrum,55724.0,12.19645,3.66035,27.61108,66.99295,-1.23289,-0.81527,-0.17958,-0.27954
020101,Südliche Friedrichstadt,39887.0,14.76479,5.34227,34.09632,67.70041,-0.88886,-0.59083,-1.31833,-2.1479
020202,Tempelhofer Vorstadt,62638.0,7.49668,2.25513,13.7233,28.21478,-0.87003,-0.49455,-0.48097,-2.43243
020303,Nördliche Luisenstadt,22498.0,11.42,3.79513,25.7134,50.91575,-0.98993,-0.37226,-0.4535,-2.48107
020304,Südliche Luisenstadt,26495.0,9.11057,2.84882,18.01472,39.09916,-0.61901,-0.28564,-0.44213,-2.25868
020405,Karl-Marx-Allee Nord,23208.0,6.91064,1.98774,9.6303,26.30313,-0.29049,-0.21564,-0.04913,-0.68377
020407,Karl-Marx-Allee Süd,23798.0,6.69451,1.82364,11.28666,30.945,-0.61889,-0.34084,0.59449,0.26909
020506,Frankfurter Allee Nord,28383.0,7.73678,1.98521,9.5832,18.69159,-0.46965,-0.4855,-0.82415,-4.38287
020508,Frankfurter Allee Süd FK,48784.0,6.64749,1.76021,9.32273,19.81902,-0.81871,-0.39198,-0.62654,-2.73737
030101,Buch,14717.0,10.15754,3.70166,14.57498,37.6699,-1.3536,-0.68237,0.47602,-3.96668
030202,Blankenfelde/Niederschönhausen,26529.0,4.78819,1.64489,5.23201,8.8846,-0.87414,-0.04115,-0.58688,-1.06717
030203,Buchholz,17218.0,4.7236,1.57453,6.45255,12.8003,-0.95712,-0.29274,-0.68227,-3.08227
030304,Karow,18733.0,4.4202,1.38182,6.14424,14.10788,-0.6023,-0.23342,0.24892,-0.15249
030307,Blankenburg/Heinersdorf/Märchenland,14456.0,3.75459,1.34242,3.272,6.54152,-0.51255,-0.17781,0.147,-0.18381
030405,Schönholz/Wilhelmsruh/Rosenthal,17464.0,4.51823,1.58534,4.73546,8.63864,-0.47276,-0.03628,-0.24322,-1.19805
030406,Pankow Zentrum,34233.0,6.37621,2.06931,7.69433,14.10978,-0.73902,-0.32288,-0.3188,-1.43285
030408,Pankow Süd,33714.0,6.77624,2.12428,8.55728,18.33333,-0.88658,-0.38339,-0.44686,-3.18091
030509,Weißensee,35442.0,7.89537,2.7791,9.24609,17.35666,-1.16528,-0.33101,-0.47089,-2.20184
030510,Weißensee Ost,15125.0,8.03138,2.82853,10.17521,29.01376,-0.88804,-0.27788,0.07886,-2.35763
030611,Prenzlauer Berg Nordwest,25182.0,6.35045,1.8088,6.50068,9.14338,-0.80485,-0.47208,-0.56885,-2.72161
030612,Prenzlauer Berg Nord,26799.0,7.00133,2.06991,7.91074,16.95453,-0.93575,-0.4502,-0.50675,-2.41602
030613,Helmholtzplatz,22245.0,6.29234,1.88658,6.91841,9.94429,-0.53553,-0.3817,-0.33613,-1.7421
030614,Prenzlauer Berg Ost,25479.0,9.00744,3.13275,9.83948,22.59247,-0.83869,-0.19784,-0.03381,-2.60768
030715,Prenzlauer Berg Südwest,25172.0,5.15516,1.4535,5.51009,8.52868,-0.53132,-0.13461,-0.09124,0.41022
030716,Prenzlauer Berg Süd,31859.0,5.98745,1.7659,6.62293,9.98858,-0.418,-0.13359,-0.28677,-0.4922
040101,Charlottenburg Nord,18742.0,12.51681,4.79993,21.2464,55.64516,-0.13551,-0.42866,-0.40314,0.26954
040202,Heerstraße,12547.0,2.90428,0.7772,3.0047,5.63674,-0.26947,-0.24485,0.06492,0.8362
040203,Westend,27144.0,5.00867,1.75722,6.15606,13.98165,-0.45452,-0.30137,-0.24115,0.03541
040304,Schloß Charlottenburg,23784.0,7.54112,2.73143,13.60999,25.44295,-0.36566,-0.60963,-0.45566,-1.99258
