id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,3114.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.77634,1.38632,8.22094,21.26697,-0.60664,-0.8359,0.78066,2.24523,-0.48935,-0.87003,-0.45628,-0.35272,-2.16838,-0.56124,mittel,0.0743,3114.0,1.08696,20.83333,7.81893,86.85259,53.85356,36.60886,5.00477,65.26316,11.09023,0.69832,2.07739,41.42967,0.0
01011103,Lützowstraße,5130.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.81715,2.10982,18.32359,41.55172,-1.49242,-1.0028,-0.19032,2.50579,0.12323,-0.26521,0.7099,0.65491,1.22283,0.3165,mittel,-0.79697,5130.0,4.7619,27.46988,16.99883,83.8897,54.23002,33.91813,2.63959,63.67816,23.66412,7.86681,1.76803,40.6809,14.42495
01011104,Körnerstraße,4403.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",7.53957,2.2446,22.05315,49.68652,-2.22757,-1.37765,-2.55713,-9.30126,0.03991,-0.15254,1.14041,1.05901,2.0867899999999997,0.54012,mittel,-1.52009,4403.0,3.78682,23.23232,30.34483,82.50653,62.70725,36.17988,1.85838,64.65788,28.15598,8.09952,1.34476,30.75471,56.41608
01011105,Nördlicher Landwehrkanal,1097.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.70936,0.73892,2.00547,4.25532,0.37775,0.22078,-2.01059,-3.60985,-1.40995,-1.41124,-1.17376,-1.19776,-5.19271,-1.34402,hoch,1.04258,1097.0,0.0,30.18868,0.0,78.44311,53.78304,39.10665,5.27131,74.12587,1.24688,0.0,3.31541,93.11395,0.0
01011201,Wilhelmstraße,2055.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.07099,1.48749,8.27251,28.09524,-1.35102,-0.4129,-0.53404,-1.72128,-0.70107,-0.78546,-0.45033,-0.01353,-1.9503900000000003,-0.50481,mittel,-0.65789,2055.0,2.59067,21.68675,3.00546,77.41935,47.93187,29.58637,0.3756,62.66447,14.38721,11.1516,2.70657,56.34355,0.0
01011202,Unter den Linden Nord,498.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.63158,0,1.20482,0,-1.31208,-0.84507,0.78109,0,-1.43329,-2.02896,-1.26618,-1.40914,-6.13757,-1.58857,hoch,-0.61959,498.0,0.0,31.70732,0.0,63.7931,40.16064,29.11647,4.11647,46.2069,2.17391,10.65375,2.93976,85.86546,0.0
01011203,Unter den Linden Süd,932.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.12966,1.19225,3.32618,8.51064,-0.60285,0.25912,0.16459,0.93488,-1.28379,-1.03227,-1.0213,-0.98638,-4.323740000000001,-1.1191,hoch,0.07803,932.0,0.0,39.72603,0.0,65.04854,48.60515,37.44635,6.18171,61.31805,4.74684,44.08946,2.22639,58.06867,0.0
01011204,Leipziger Straße,6424.0,2.0,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",5.28933,1.33363,6.75592,25.14395,0.60537,0.20042,-0.59551,1.4997,-0.63553,-0.91408,-0.6254,-0.16013,-2.33514,-0.6044,mittel,1.26647,6424.0,2.40964,27.09832,4.0568,69.90132,38.51183,24.64197,3.75567,54.13771,11.95355,36.87295,2.27008,49.849,0.0
01011301,Charitéviertel,5597.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.08698,0.72105,3.30534,4.7546,0.10684,0.00785,-0.48903,-2.53906,-1.2966,-1.42618,-1.02371,-1.17296,-4.91945,-1.27329,hoch,0.7761,5597.0,1.39535,21.39831,2.5641,47.15909,35.39396,25.20993,2.83131,48.75974,4.63235,7.35539,2.39753,58.737,59.33536
01011302,Oranienburger Straße,12137.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.79616,1.05307,6.41839,12.06897,-0.52897,-0.10366,-0.48673,-1.66364,-0.78356,-1.14862,-0.66436,-0.80962,-3.40616,-0.88161,mittel,0.1507,12137.0,1.8711,31.80723,5.43981,42.99262,34.16825,23.09467,2.13093,44.95184,6.85735,23.01945,2.02241,46.69383,32.53687
