id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
010111,Tiergarten Süd,13938,3.37458,25.04554,14.41792,82.95515,56.48587,35.48572,3.18846,65.00202,20.13496,4.82368,1.8258,41.91893,23.56149,49.83858,39.47235,3.7681,5.87161
010112,Regierungsviertel,9909,2.11443,27.40316,3.65209,70.89479,41.49763,27.09658,3.16421,56.57356,11.04393,30.6425,2.39015,53.77909,0,57.33778,31.15027,3.51822,0.82933
010113,Alexanderplatz,50457,2.32615,29.48495,2.91685,54.72167,33.35117,22.0465,2.62818,55.07012,13.67705,25.23844,2.02119,42.1793,21.66597,56.69827,33.27389,2.56353,-1.12333
010114,Brunnenstraße Süd,27901,0.92213,25.56314,5.76565,42.77366,34.21741,24.16401,3.92294,43.74073,5.0265,3.5154,1.83011,41.50102,52.91925,47.12516,40.28815,2.30632,-4.13641
010221,Moabit West,44540,4.27862,28.43459,12.83979,69.87127,45.75213,28.8819,2.76317,58.65983,31.6945,2.3894,1.68817,36.85245,74.92366,53.56445,36.43013,2.43364,-2.3687
010222,Moabit Ost,36260,3.88162,27.49446,12.2577,70.8294,46.2631,27.13734,0.85147,61.11789,29.62548,4.11907,1.712,38.40946,51.01489,57.26021,32.11519,0.72519,-5.17528
010331,Osloer Straße,37533,6.28357,31.84532,13.96867,82.5083,58.48187,37.52431,1.64298,62.87276,47.88506,13.23935,1.43884,29.46263,100,52.11712,35.7821,1.54636,-1.60146
010332,Brunnenstraße Nord,36473,5.84185,25,13.61128,86.82065,60.11844,31.4863,0.3572,72.77081,50.37435,26.26329,1.47463,29.99975,100,61.50322,25.93823,0.53773,-3.34269
010441,Parkviertel,43771,5.01938,36.01695,7.40692,68.91054,41.56633,25.82303,1.78514,57.63956,36.08574,19.05727,1.7194,34.77241,88.01718,57.03642,29.67672,1.9328,-2.96162
010442,Wedding Zentrum,55724,5.82753,27.93792,15.08174,85.22989,60.04056,39.47491,0.74225,63.36773,42.79106,7.87553,1.43247,30.2414,99.49393,50.05861,38.80461,1.32361,-4.78191
020101,Südliche Friedrichstadt,39887,7.12593,24.84004,20.63197,88.57386,66.66583,33.48459,0.65163,76.87931,54.05904,24.25527,1.47161,30.12911,73.69068,62.3434,26.55769,0.12429,-3.13185
020202,Tempelhofer Vorstadt,62638,3.49825,27.43872,12.21989,54.34551,39.74105,24.49312,0.86157,52.73758,25.15683,4.80755,1.76672,39.90491,67.72566,57.29338,30.50165,0.31764,-3.73234
020303,Nördliche Luisenstadt,22498,5.88479,28.36516,22.53129,73.99177,56.7606,35.14535,-0.07693,70.14038,42.10526,14.17023,1.52662,32.89852,98.39541,62.61817,27.92366,-0.62584,-4.08627
020304,Südliche Luisenstadt,26495,3.85552,28.70052,15.59724,62.67306,47.18626,31.19079,0.564,57.81704,28.24997,1.82241,1.59464,36.25386,99.27911,57.73944,31.33533,-0.12001,-5.20074
020405,Karl-Marx-Allee Nord,23208,3.19635,33.29886,2.05915,39.93541,20.96691,13.27129,1.85749,54.96753,22.42123,38.84668,1.86798,36.99018,27.11134,56.7942,28.23505,1.85533,-3.32968
020407,Karl-Marx-Allee Süd,23798,3.13059,32.26639,3.65189,45.63874,27.34263,18.31246,2.50851,55.80542,21.33646,31.62637,1.7401,37.29776,13.68182,55.65394,30.45528,0.77225,-2.6948
020506,Frankfurter Allee Nord,28383,3.45395,30.93333,7.66551,30.51844,23.19346,16.06595,1.99899,40.76754,14.98328,7.94074,1.7272,37.95533,72.11711,45.20717,38.38455,1.07494,-5.3097
020508,Frankfurter Allee Süd FK,48784,2.81521,31.0716,6.15136,29.07353,24.59208,17.4176,2.52566,38.87254,13.00251,8.20853,1.74459,38.40319,65.04592,46.12047,39.05222,0.97404,-7.86256
030101,Buch,14717,7.22689,40.97127,1.98324,14.13926,9.04396,5.39512,2.0889,55.03778,26.18742,44.15933,1.96548,35.52422,62.22736,56.07235,27.51618,6.35464,13.33247
030202,Blankenfelde/Niederschönhausen,26529,2.67459,25.59524,1.87702,15.96674,9.73275,5.00207,0.76059,50.48983,10.22013,3.23543,1.84104,41.12948,27.48313,57.98282,21.2905,1.42603,3.36515
030203,Buchholz,17218,2.45442,24.3662,2.894,16.06089,9.42037,3.00848,0.247,54.6332,21.58859,0.10475,1.76565,39.41846,52.43931,66.04409,17.82654,0.78198,5.34498
030304,Karow,18733,2.34681,26.13438,1.7311,12.48164,7.14248,2.6851,0.4495,50.49702,21.70213,0.02289,2.00854,40.25015,8.30086,68.76972,18.5906,-0.09147,0.51089
030307,Blankenburg/Heinersdorf/Märchenland,14456,1.14613,21.04167,0.88524,11.69073,5.37493,2.3658,0.3342,51.46199,12.93375,3.70824,2.05686,44.45891,47.399,70.32699,13.83799,1.89575,12.9364
030405,Schönholz/Wilhelmsruh/Rosenthal,17464,1.6656,22.23315,1.99033,23.35121,12.66606,4.68392,0.66943,52.81174,19.29134,1.02459,1.94056,41.16216,5.02176,66.21111,18.23495,0.85468,1.79703
030406,Pankow Zentrum,34233,3.72779,31.88406,2.10334,17.03271,10.35843,5.47133,1.27021,45.86225,16.45359,25.44455,1.87404,39.48915,7.15099,58.57942,23.73257,1.86407,2.20171
030408,Pankow Süd,33714,3.51385,36.85567,2.88011,18.39538,11.76663,7.70007,2.51087,47.72727,16.29834,22.45605,1.95758,37.46536,28.32948,59.31624,25.78591,1.93178,0.21503
030509,Weißensee,35442,3.65545,32.47907,3.16541,20.83621,13.17364,8.69025,3.01204,50.12987,16.31087,20.27162,1.88753,38.30884,18.80255,55.42068,27.93824,2.55309,2.00959
030510,Weißensee Ost,15125,5.39255,40.39271,2.03032,16.96646,8.90579,5.69256,1.02713,59.00116,27.26204,24.04911,1.94929,35.85613,3.3124,63.84024,22.3459,0.24925,-0.34133
030611,Prenzlauer Berg Nordwest,25182,2.85278,27.38144,7.57282,31.02672,24.81137,17.13128,2.64585,36.85675,7.78824,6.07489,1.78703,39.90152,92.52641,49.33919,36.48647,1.73195,-3.86687
030612,Prenzlauer Berg Nord,26799,2.96117,35.53389,4.19542,30.56699,19.53804,13.11989,2.68251,42.06485,11.45105,20.85919,1.88238,38.49233,53.29676,53.7217,31.03936,1.00646,-6.21063
030613,Helmholtzplatz,22245,1.90606,30.6184,9.59596,31.55476,26.94538,17.9501,2.91985,38.66767,7.84913,5.94015,1.75806,41.54381,12.3938,50.18389,34.06547,0.46085,-5.83235
030614,Prenzlauer Berg Ost,25479,4.91895,35.63572,1.80874,30.10401,15.42447,9.60791,2.13898,51.59314,23.77152,27.7636,1.95377,36.75011,52.1763,60.69775,23.96169,2.01951,2.18546
030715,Prenzlauer Berg Südwest,25172,1.9084,29.82337,5.94214,36.17117,30.35913,21.13857,2.42281,42.15373,5.93529,9.35108,1.88757,43.78718,22.96202,52.47302,37.44,-0.1377,-6.66054
030716,Prenzlauer Berg Süd,31859,3.28436,27.57705,4.88959,31.83702,24.72457,16.22148,2.36652,40.36378,10.64586,16.15389,1.80147,40.82077,34.37019,54.70329,31.16389,0.6274,-2.09273
040101,Charlottenburg Nord,18742,5.8438,39.98918,7.55011,68.69159,42.94099,21.93469,2.88135,59.57188,40.2965,47.43983,1.78967,32.8871,30.79714,64.89058,20.82342,1.40043,0.6339
040202,Heerstraße,12547,0,20.83333,1.61547,37.34602,25.86276,16.37045,1.16442,47.37098,5.03212,1.92308,2.14059,49.18746,0.83685,66.55436,21.89536,0.87153,5.86186
040203,Westend,27144,1.82704,28.90255,3.18678,49.53704,29.02667,17.584,2.27097,57.69956,11.95087,4.26637,2.05106,45.9951,0.71839,63.87532,26.60133,1.89803,2.12026
040304,Schloß Charlottenburg,23784,3.35241,30.26436,12.6183,56.87148,41.25042,24.68046,1.05034,62.69165,21.22167,18.64764,1.74281,38.21208,0,61.39302,26.86105,0.96569,-2.47717
040305,Mierendorffplatz,14910,3.70599,34.14855,9.10675,66.04106,40.76459,23.87659,1.9904,57.89326,24.44515,4.99648,1.88518,38.65828,54.7552,59.29851,27.18519,1.22484,-4.52661
040306,Otto-Suhr-Allee,26194,2.98736,29.85075,12.32108,70.70263,45.63641,26.86875,1.16605,58.07047,21.08997,10.0959,1.8274,39.67061,12.34252,60.09936,26.7149,1.18964,-1.48181
040307,Neue Kantstraße,23523,2.13472,31.57355,6.75477,53.05985,36.63648,22.82872,1.62303,51.37803,12.60414,1.85879,1.91204,45.19164,1.61969,62.62689,27.04793,0.95543,-0.08571
040308,Kantstraße,21167,2.32673,31.11111,9.24057,66.28711,46.08116,29.90504,1.56422,56.55608,15.18098,2.01268,1.83507,42.19252,3.02357,59.80882,28.08961,1.24785,-2.41152
040309,Kurfürstendamm,14714,1.14638,28.14424,8.11397,60.36088,42.61248,27.44325,1.05984,52.105,9.56292,1.35768,2.16617,54.28191,0,61.07231,27.82524,0.20828,-2.95678
040310,Halensee,14638,1.83727,28.2491,6.62668,58.28221,36.70583,21.45785,1.23344,52.81757,12.87712,1.73047,1.97882,45.4985,0,62.71043,24.35335,1.53073,1.48247
040411,Grunewald,18504,1.54362,30.67754,3.70303,55.13468,32.63078,18.4987,1.22808,56.35408,10.78965,4.08488,2.28383,57.37489,0.20536,61.84926,22.60515,1.65243,5.95739
040412,Schmargendorf,14286,0.91996,29.25532,2.80202,45.04592,25.1225,13.46773,2.14589,57.74428,11.85055,5.97728,2.04942,46.49657,0.063,63.71482,21.09986,1.97395,2.1072
040413,Wiesbadener Straße,18174,2.32231,34.17804,5.14263,42.09374,25.82811,14.68031,0.89902,56.63418,14.06526,15.73834,1.90393,42.38577,0,68.42974,19.4229,0.45739,-0.72464
040514,Düsseldorfer Straße,30653,2.16858,32.61589,6.08935,62.29917,39.81992,23.74319,2.11176,55.35862,13.80295,3.28636,1.96614,44.6662,0,61.10265,26.12092,2.22137,1.07817
040515,Barstraße,13868,2.8063,35.23404,7.55483,58.41372,36.79694,21.72628,1.72776,54.13209,16.96858,3.68082,1.89011,40.69671,0,61.97078,27.9057,1.12331,1.71202
040516,Volkspark Wilmersdorf,33439,2.83828,30.37482,6.03567,52.37647,34.37304,20.60169,2.14867,56.11845,14.23077,4.39265,1.89123,42.82344,0,62.14301,24.60866,1.71928,1.4201
040617,Forst Grunewald,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050101,Hakenfelde,23043,4.46686,34.13739,2.53165,35.26012,18.33095,8.4364,0.50296,55.76132,29.10959,0.37383,1.9021,38.34635,35.46413,61.55062,23.40103,1.39226,-0.24604
050102,Falkenhagener Feld,39587,7.2104,36.73015,5.82493,54.95703,32.81128,13.06237,2.00365,63.56604,48.23276,21.43739,1.84571,36.32448,52.37073,64.24218,20.90758,0.8253,2.72403
050103,Spandau Mitte,34647,7.30031,36.7341,6.83561,59.11838,37.96288,21.16201,2.66058,59.38352,40.54622,11.06512,1.67478,34.193,71.86769,52.66402,32.7455,2.01509,-0.61119
050204,Brunsbütteler Damm,23142,4.27126,29.99559,2.56274,32.90431,18.77971,7.4367,1.31531,56.94364,33.89149,14.92226,1.91556,39.09697,90.54533,70.49467,18.87186,0.29663,2.85962
050205,Heerstraße Nord,27688,8.20158,34.23995,6.42367,54.79793,34.93932,14.56227,2.785,62.94643,56.37333,15.20861,1.79442,36.6981,87.98035,62.06632,21.41048,1.78805,5.54345
