id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01,Mitte,356506,4.64766,28.83169,9.84589,73.00146,47.97703,30.03287,1.83631,60.7412,33.5562,13.36432,1.6895,36.02928,69.79518,54.38799,34.19279,1.81782,-2.86514
02,Friedrichshain-Kreuzberg,275691,4.32394,28.96365,10.97174,56.15517,38.70602,23.70915,1.27112,58.09008,30.31072,14.16017,1.68613,36.63104,66.01775,55.10662,31.89488,0.5274,-4.60709
03,Pankow,384367,3.22213,30.47315,2.73609,22.96446,15.69281,9.74902,1.87895,44.31842,12.60603,15.61137,1.88672,39.6048,32.33628,58.0657,26.53499,1.43027,-0.01144
04,Charlottenburg-Wilmersdorf,326354,2.51513,31.17864,6.46046,56.7493,36.818,21.9026,1.68862,56.21572,16.60348,8.14596,1.9432,43.79676,5.68003,62.42576,25.1584,1.35491,0.31786
05,Spandau,230419,5.80614,33.38096,4.51099,49.59419,29.60476,13.95675,2.42902,61.85516,39.61862,12.89376,1.84703,37.79429,62.8403,61.04803,25.34029,1.75711,3.3406
06,Steglitz-Zehlendorf,299268,1.98896,27.21195,2.54067,37.69505,23.56316,12.35481,0.70799,55.86628,15.35935,2.66269,1.9899,44.00312,6.45074,65.65471,21.41263,0.94844,2.39072
07,Tempelhof-Schöneberg,335767,4.06752,29.85517,6.26183,52.37251,32.20239,16.69134,1.39575,60.53101,29.68145,11.47468,1.85797,40.21073,29.24975,63.61725,22.62266,1.10461,-0.07272
08,Neukölln,325716,5.25056,29.06691,7.84572,68.64159,42.15052,23.49194,1.21091,61.43341,40.2186,11.18407,1.63628,34.70729,87.47836,61.0395,26.52881,0.87929,-2.23683
09,Treptow-Köpenick,249440,3.45534,32.54568,1.78353,17.81077,9.31928,5.15354,1.16493,54.1268,24.43582,19.21381,1.93388,39.25183,22.39456,64.39749,21.22452,1.13395,0.45522
10,Marzahn-Hellersdorf,256173,5.86256,37.23084,3.3944,24.66723,13.52133,5.87494,1.30171,65.63455,39.53854,24.58794,1.94326,37.11085,41.37907,65.53644,20.21621,0.68413,1.99133
11,Lichtenberg,268465,4.21282,34.79714,2.81081,32.38214,17.90811,10.43339,1.90073,67.9186,30.28043,34.27936,1.91809,36.01303,26.25743,61.66441,25.36383,1.34098,-0.32473
12,Reinickendorf,254000,4.17953,31.30075,3.42791,49.08385,27.26969,13.52283,1.80056,61.91627,40.13655,16.9619,1.90913,39.43089,51.54882,62.76195,22.9951,1.36902,4.11403
