id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,3114.0,1.08696,20.83333,7.81893,86.85259,53.85356,36.60886,5.00477,65.26316,11.09023,0.69832,2.07739,41.42967,0.0
01011102,Großer Tiergarten,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01011103,Lützowstraße,5130.0,4.7619,27.46988,16.99883,83.8897,54.23002,33.91813,2.63959,63.67816,23.66412,7.86681,1.76803,40.6809,14.42495
01011104,Körnerstraße,4403.0,3.78682,23.23232,30.34483,82.50653,62.70725,36.17988,1.85838,64.65788,28.15598,8.09952,1.34476,30.75471,56.41608
01011105,Nördlicher Landwehrkanal,1097.0,0.0,30.18868,0.0,78.44311,53.78304,39.10665,5.27131,74.12587,1.24688,0.0,3.31541,93.11395,0.0
01011201,Wilhelmstraße,2055.0,2.59067,21.68675,3.00546,77.41935,47.93187,29.58637,0.3756,62.66447,14.38721,11.1516,2.70657,56.34355,0.0
01011202,Unter den Linden Nord,498.0,0.0,31.70732,0.0,63.7931,40.16064,29.11647,4.11647,46.2069,2.17391,10.65375,2.93976,85.86546,0.0
01011203,Unter den Linden Süd,932.0,0.0,39.72603,0.0,65.04854,48.60515,37.44635,6.18171,61.31805,4.74684,44.08946,2.22639,58.06867,0.0
01011204,Leipziger Straße,6424.0,2.40964,27.09832,4.0568,69.90132,38.51183,24.64197,3.75567,54.13771,11.95355,36.87295,2.27008,49.849,0.0
01011301,Charitéviertel,5597.0,1.39535,21.39831,2.5641,47.15909,35.39396,25.20993,2.83131,48.75974,4.63235,7.35539,2.39753,58.737,59.33536
01011302,Oranienburger Straße,12137.0,1.8711,31.80723,5.43981,42.99262,34.16825,23.09467,2.13093,44.95184,6.85735,23.01945,2.02241,46.69383,32.53687
01011303,Alexanderplatzviertel,8608.0,1.71278,33.27526,5.00976,61.77559,36.954,25.78996,4.08501,52.79279,11.90918,47.1879,2.01998,39.87477,18.12268
01011304,Karl-Marx-Allee,8424.0,2.14286,34.08724,2.16389,68.78981,30.70988,18.74406,1.87005,68.39772,32.07171,45.7839,1.95679,36.12132,0.0
01011305,Heine-Viertel West,7075.0,4.18327,27.07889,1.88104,59.57746,29.31449,18.71378,2.90363,63.74622,14.34263,10.29774,2.04099,38.37668,1.18728
01011306,Heine-Viertel Ost,8616.0,3.00958,24.84375,2.20884,60.04119,33.17084,20.74048,2.31106,60.54841,17.26744,12.84228,1.82289,36.41179,23.42154
01011401,Invalidenstraße,15235.0,0.82645,25.67995,5.71749,46.24587,35.74664,25.80243,5.91793,48.232,5.52515,3.7206,1.79659,41.53633,62.64522
01011402,Arkonaplatz,12666.0,1.07817,25.42624,5.82524,38.61728,32.37802,22.19327,1.53631,37.45998,4.33526,3.276,1.87044,41.45855,41.22059
01022101,Huttenkiez,3390.0,4.27046,32.36515,17.15328,79.18552,49.79351,34.12979,3.60783,45.28954,35.23459,1.62304,1.56785,35.14631,100.0
01022102,Beusselkiez,6255.0,3.83817,30.61224,18.25939,82.47423,56.67466,38.99281,2.78149,59.36859,35.10112,4.65323,1.57202,33.08377,100.0
01022103,Westhafen,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01022104,Emdener Straße,17806.0,4.62203,30.06442,15.33031,69.64981,45.84971,28.59149,1.94276,58.25967,31.7759,3.26849,1.72571,37.38869,100.0
01022105,Zwinglistraße,5105.0,5.77428,28.21101,15.66038,82.90155,54.24094,32.26249,1.36419,60.8986,39.20912,0.93095,1.50245,32.91792,100.0
01022106,Elberfelder Straße,11731.0,2.80066,24.12156,6.6778,54.91364,34.43867,20.52681,4.34833,62.5,20.64057,0.66718,1.82499,40.53925,4.8163
01022201,Stephankiez,10469.0,3.45295,25.56561,12.43301,69.01988,45.69682,27.03219,0.95219,57.87986,30.58869,0.26357,1.73178,38.66683,100.0
01022202,Heidestraße,1448.0,6.0241,28.34225,16.88312,84.66258,63.81215,32.18232,1.41825,79.39914,50.74257,13.94231,1.47583,32.98895,100.0
01022203,Lübecker Straße,6773.0,5.37514,31.1828,18.3384,82.66094,56.25277,31.77322,-1.15524,68.8197,42.08536,13.00092,1.53861,32.3514,43.08283
01022204,Thomasiusstraße,5826.0,3.46535,25.87719,7.31949,54.80379,36.37144,22.77721,1.93873,48.30445,18.67955,0.11448,1.87642,43.41641,7.82698
01022205,Zillesiedlung,3207.0,6.50602,24.33234,18.13084,83.73206,56.1584,29.49797,0.73532,77.06131,36.14035,17.7686,1.28375,30.43623,100.0
01022206,Lüneburger Straße,3060.0,4.04412,31.94444,9.67742,62.66968,37.4183,19.73856,0.90567,52.98013,25.50459,0.0,1.76797,43.18693,0.0
01022207,Hansaviertel,5477.0,1.06525,26.55367,9.03955,55.3271,40.02191,27.66113,2.05546,55.11551,12.8692,1.19112,1.99562,43.51561,0.0
01033101,Soldiner Straße,25947.0,6.57157,33.87334,14.27487,81.95371,58.33815,37.69222,1.62125,62.00409,48.45747,15.35256,1.4271,29.26053,100.0
01033102,Gesundbrunnen,11586.0,5.60241,27.00088,13.29431,83.83318,58.80373,37.14828,1.69044,64.84665,46.57776,8.52316,1.46513,29.91524,100.0
01033201,Brunnenstraße,12885.0,6.34737,21.51815,16.72727,88.63256,64.41599,29.81762,-0.31229,79.64602,58.75217,47.39648,1.44028,28.9383,100.0
01033202,Humboldthain Süd,9697.0,4.94665,25.74974,9.54495,83.25527,53.49077,25.89461,0.0076,73.19793,43.46667,27.88589,1.51614,30.92544,100.0
01033203,Humboldthain Nordwest,13891.0,5.86496,28.27338,15.12838,87.07253,60.75876,36.93759,1.0168,67.41376,47.51381,6.82168,1.4775,30.33813,100.0
01044101,Rehberge,19903.0,5.06073,36.21203,7.74129,70.1898,44.22449,27.65412,1.7978,57.15843,37.64543,3.10834,1.68522,34.77586,99.55786
01044102,Schillerpark,15792.0,5.17456,38.96,5.56139,62.04082,34.84043,20.78267,1.57105,56.91651,36.72448,45.90294,1.79724,34.74728,67.34422
01044103,Westliche Müllerstraße,8076.0,4.69613,29.4599,15.1671,78.95792,48.16741,31.16642,2.24422,59.63449,31.87661,5.23269,1.65144,34.81303,100.0
01044201,Reinickendorfer Straße,23103.0,7.00742,28.09668,15.08639,89.32788,65.76635,41.76514,0.32345,65.61302,50.46803,11.90332,1.33632,28.63957,99.98701
01044202,Sparrplatz,16636.0,4.46069,26.42527,13.58792,79.49499,55.90887,38.68117,1.43441,62.331,30.81689,3.11943,1.49261,31.20155,98.32291
01044203,Leopoldplatz,15985.0,5.56348,29.12333,15.84475,83.20896,56.06506,36.99093,0.63972,60.83206,43.79932,8.20351,1.50885,31.55727,100.0
02010101,Askanischer Platz,6106.0,5.0,23.63316,24.56814,88.86792,68.80118,39.24009,2.65918,68.98998,33.81166,11.4714,1.58025,32.25221,73.40321
02010102,Mehringplatz,13047.0,7.44431,23.94958,22.11928,90.55778,66.02284,30.54342,0.04697,74.20326,52.40137,19.81878,1.49184,31.00376,38.49161
02010103,Moritzplatz,15589.0,7.81327,26.35575,16.15272,88.43373,67.35519,34.13946,0.51298,82.58174,62.58215,41.27719,1.4235,28.15832,98.41555
02010104,Wassertorplatz,5145.0,7.43802,23.27747,28.85662,83.74429,63.67347,32.12828,0.24595,76.40653,61.32522,0.0,1.43712,31.36288,88.37707
02020201,Gleisdreieck/Entwicklungsgebiet,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02020202,Rathaus Yorckstraße,5726.0,3.84025,28.64964,10.96892,48.27586,38.75306,24.93888,1.71764,54.34174,22.84844,2.74878,1.72581,39.18826,75.51519
02020203,Viktoriapark,10668.0,3.88655,24.2116,9.81132,51.15207,36.26734,21.70979,0.27208,47.0639,19.70769,0.11559,1.88864,43.46579,92.63217
02020204,Urbanstraße,12195.0,2.79376,29.9725,12.5,51.71395,39.43419,24.88725,1.65705,51.03789,21.33191,0.34308,1.78385,39.12595,87.38827
02020205,Chamissokiez,14837.0,3.06793,30.27066,12.60997,51.79889,37.87154,23.04374,0.33517,53.84615,21.57311,17.60634,1.78884,40.23347,32.83009
02020206,Graefekiez,18928.0,4.03135,25.43103,13.6646,60.77075,43.53867,26.74873,0.83663,55.18467,33.1828,0.86069,1.68206,38.36163,65.53254
02030301,Oranienplatz,9216.0,6.61626,25.92593,24.06593,79.69577,62.32639,38.58507,-0.20998,73.98763,47.08249,13.09403,1.43641,30.71365,96.0829
