id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
02020206,Graefekiez,18928.0,8.43292,2.61407,17.12278,36.33205,-0.99924,-0.51861,-0.71912,-3.31519
02030301,Oranienplatz,9216.0,12.07164,4.17431,29.10156,57.69547,-1.15381,-0.35973,-0.19376,-0.03492
02030302,Lausitzer Platz,13282.0,10.96906,3.53274,23.36245,46.30872,-0.86671,-0.3765,-0.60518,-3.99068
02030401,Reichenberger Straße,15222.0,9.20089,2.82281,18.36815,39.80687,-0.60287,-0.29201,-0.33539,-2.65215
02030402,Wrangelkiez,11273.0,8.99024,2.88346,17.53748,38.10953,-0.64254,-0.27662,-0.59371,-1.7891
02040501,Barnimkiez,5410.0,9.62245,3.14066,13.54898,42.52492,0.21467,-0.24343,-0.18129,-4.67658
02040502,Friedenstraße,7118.0,7.34475,2.12978,10.26974,30.77975,-0.29589,-0.13723,-0.07559,1.27156
02040503,Richard-Sorge-Viertel,10680.0,5.64437,1.47565,7.2191,15.07321,-0.4591,-0.24453,0.0825,-0.34692
02040701,Andreasviertel,12266.0,7.13056,2.0777,13.68824,44.24192,-0.68775,-0.41672,0.76735,0.32888
02040702,Weberwiese,10677.0,6.17209,1.5033,7.51147,14.49631,-0.55353,-0.30265,0.0352,0.06523
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855.0,7.75988,2.63543,22.92398,57.14286,-0.85735,0.03022,3.29623,-3.8961
02050601,Hausburgviertel,8752.0,8.21491,2.09771,9.51782,22.31214,-0.28639,-0.39783,-0.92507,-3.06857
02050602,Samariterviertel,19631.0,7.51782,1.93368,9.61235,17.46776,-0.54982,-0.52533,-0.77872,-4.82605
02050801,Traveplatz,18811.0,7.5979,2.0434,11.50391,27.14681,-0.73652,-0.46673,-0.75812,-3.9771
02050802,Boxhagener Platz,19841.0,6.09634,1.55062,7.76675,14.26593,-0.89977,-0.43698,-0.42039,-2.53488
02050803,Stralauer Kiez,6632.0,7.29622,2.05604,10.93185,29.29448,-0.75085,-0.20245,-0.78057,-0.59244
02050804,Stralauer Halbinsel,3500.0,2.81807,0.70452,3.37143,4.44785,-0.55646,0.13417,-0.21028,-0.78194
03010101,Bucher Forst,3297.0,7.98935,2.52996,9.00819,16.55629,-1.58783,-1.08695,-0.54218,-4.18234
03010102,Buch,11207.0,10.62359,3.93689,15.92755,43.70229,-0.98237,-0.45053,0.76162,-2.95401
03010104,Lietzengraben,213.0,0,0,0,0,0,0,0,0
03020203,Blankenfelde,2069.0,6.06293,2.60936,3.28661,8.86525,-1.26986,0.19196,-1.82064,-2.52716
03020209,Niederschönhausen,14031.0,4.45297,1.4062,5.12437,8.47308,-1.0627,-0.33444,-0.41933,-0.77413
03020210,Herthaplatz,10429.0,4.99858,1.7842,5.68607,9.47302,-0.55937,0.30112,-0.62931,-1.23665
03020307,Buchholz,17218.0,4.7236,1.57453,6.45255,12.8003,-0.95712,-0.29274,-0.68227,-3.08227
03030405,Karow Nord,10576.0,5.39805,1.67526,9.18116,19.46272,-0.96818,-0.37052,0.60947,-0.25015
03030406,Alt-Karow,8157.0,3.1534,1.00167,2.18217,4.96255,-0.14693,-0.06177,-0.20292,0.49826
03030711,Blankenburg,6745.0,3.12005,1.13045,2.65382,4.48792,-0.94743,-0.34863,0.2331,-0.22546
03030715,Heinersdorf,6583.0,4.34587,1.62126,4.02552,8.88325,-0.30015,-0.01591,0.15812,-0.94821
03030716,Märchenland,1128.0,4.02385,0.89419,2.21631,5.94059,0.98477,-0.11884,-0.43153,5.94059
03040508,Rosenthal,4587.0,3.91097,1.27186,5.64639,12.2807,-0.69778,-0.15387,-0.10021,0.01912
03040512,Wilhelmsruh,9520.0,4.97878,1.7793,4.96849,9.61689,-0.26423,0.08156,0.00999,-0.84998
03040513,Schönholz,3357.0,4.08065,1.48824,2.80012,1.7452,-0.7363,-0.1977,-1.14525,-3.50874
03040614,Pankow Zentrum,34233.0,6.37621,2.06931,7.69433,14.10978,-0.73902,-0.32288,-0.3188,-1.43285
03040818,Pankow Süd,33714.0,6.77624,2.12428,8.55728,18.33333,-0.88658,-0.38339,-0.44686,-3.18091
03050919,Gustav-Adolf-Straße,5320.0,6.61413,1.97017,8.64662,18.56678,-2.02823,-0.63826,-0.30151,-2.90562
03050920,Weißer See,7024.0,6.47466,2.25497,7.87301,15.15748,-1.75014,-0.42231,0.25762,-2.125
03050923,Weißenseer Spitze,8772.0,8.87635,3.42883,9.54172,17.33668,-0.74564,-0.19504,-1.50381,-4.41904
03050924,Behaimstraße,5647.0,10.15299,3.52341,10.85532,20.60241,-1.03012,0.01969,-0.6661,-1.36438
03050925,Komponistenviertel Weißensee,8679.0,6.99486,2.38687,9.37896,16.56606,-0.75548,-0.45949,0.0708,-0.64765
03051017,Rennbahnstraße,4123.0,7.20311,2.17391,9.36211,21.44289,-0.33808,-0.61443,0.61908,-1.71729
03051021,Buschallee,6484.0,9.59583,3.38983,10.19432,29.18587,-0.86255,-0.16654,-0.2863,-3.44056
03051022,Hansastraße,4518.0,6.787,2.77978,10.88977,35.18519,-1.59986,-0.07532,0.11382,-1.03276
03061126,Arnimplatz,14997.0,6.65115,1.89558,7.00807,10.8811,-0.99652,-0.42557,-0.74083,-3.87793
03061131,Falkplatz,10185.0,5.91559,1.6833,5.75356,6.81818,-0.52589,-0.5392,-0.31518,-1.27294
03061227,Humannplatz,14413.0,6.32571,1.74069,6.66065,12.63642,-0.25737,-0.20473,-0.38351,-0.77004
03061228,Erich-Weinert-Straße,12386.0,7.82032,2.469,9.36541,23.81387,-1.78632,-0.75974,-0.65875,-5.07718
03061332,Helmholtzplatz,22245.0,6.29234,1.88658,6.91841,9.94429,-0.53553,-0.3817,-0.33613,-1.7421
03061429,Greifswalder Straße,10163.0,9.73057,3.81857,10.77438,38.36105,-1.06532,0.02954,0.11815,-1.66469
03061430,Volkspark Prenzlauer Berg,2971.0,14.88764,4.7191,11.71323,30.47945,1.15753,-0.6433,-0.00254,-0.60669
03061434,Anton-Saefkow-Park,6078.0,7.55668,2.39295,8.52254,15.20315,-0.91217,-0.16249,-0.11528,-0.82627
03061435,Conrad-Blenkle-Straße,3925.0,9.92547,3.52304,13.07006,33.64055,-1.33098,-0.43566,0.71226,-2.40596
03061441,Eldenaer Straße,2342.0,2.1843,0.40956,0.81127,0.59701,-0.05822,0.40956,-0.65453,-0.04264
03071536,Teutoburger Platz,10661.0,5.21739,1.42186,5.56233,9.65842,-0.42475,-0.1246,-0.279,0.37183
03071537,Kollwitzplatz,14511.0,5.10859,1.47718,5.47171,7.69896,-0.61052,-0.1416,0.04346,0.40957
03071633,Thälmannpark,2736.0,9.98372,3.41834,13.96199,24.4186,1.05998,0.33559,-0.23941,-3.31001
03071638,Winsstraße,16800.0,5.56279,1.67803,5.95238,9.95882,-0.64562,-0.12264,-0.2621,-0.14019
03071639,Bötzowstraße,12323.0,5.78873,1.55892,5.90765,7.80901,-0.37519,-0.23606,-0.29494,-0.35425
04010101,Jungfernheide,10339.0,12.74643,4.96614,19.47964,56.17233,-0.49209,-0.39491,-1.50703,0.36644
04010102,Plötzensee,772.0,7.94574,2.71318,8.16062,42.42424,2.52988,0.00525,2.98134,7.64163
04010103,Paul-Hertz-Siedlung,7631.0,12.69271,4.79409,24.87223,55.86334,0.04237,-0.53237,0.79692,0.04712
04020204,Olympiagelände,115.0,0,0,0,0,0,0,0,0
04020205,Siedlung Ruhleben,1264.0,3.28947,0.39474,1.89873,6.13497,0.3102,-0.64153,-0.83879,0.87181
04020206,Angerburger Allee,2570.0,5.02693,1.8851,5.40856,19.46309,-0.46192,0.42712,-0.31899,1.21491
04020207,Flatowallee,2624.0,3.3557,0.85418,2.70579,4.9505,-0.44405,-0.47272,-0.31885,-3.35811
04020208,Kranzallee,2846.0,3.48198,1.16066,3.58398,5.06024,-0.23339,-0.16176,1.05322,3.51499
04020209,Eichkamp,3128.0,0.94877,0,0.8312,1.56658,-0.29605,-0.36883,0.03553,0.76013
04020310,Park Ruhwald,600.0,2.80778,1.2959,3.16667,0,-2.32043,-0.41351,-1.27778,-11.11111
04020311,Reichsstraße,14153.0,4.94035,1.87974,5.39815,12.08333,-0.15839,-0.09512,-0.18488,-0.09941
04020312,Branitzer Platz,5036.0,4.62742,1.46308,4.96426,7.59754,-0.26331,-0.30591,-0.22336,0.57274
04020313,Königin-Elisabeth-Straße,7346.0,5.55666,1.77256,8.65777,22.16428,-0.94844,-0.65091,-0.40414,-0.43543
04020314,Messegelände,9.0,0,0,0,0,0,0,0,0
04030415,Schloßgarten,2750.0,11.03144,4.46773,19.05455,49.24623,0.11031,0.16547,-0.2036,-1.60123
04030416,Klausenerplatz,10276.0,8.31437,3.01245,16.36824,28.44889,-0.3975,-0.79733,-0.24293,-0.93042
04030417,Schloßstraße,10758.0,5.93994,2.03731,9.58357,18.13725,-0.43254,-0.60234,-0.66006,-3.32197
04030518,Tegeler Weg,9313.0,8.55377,3.0621,13.45431,32.71028,-0.11506,-0.53766,-0.80474,-2.60482
04030519,Kaiserin-Augusta-Allee,5597.0,8.28795,3.1731,14.59711,44.31034,-0.47047,-0.50832,-0.70071,1.06217
04030620,Alt-Lietzow,8480.0,6.99809,2.65027,12.54717,29.5612,-0.45467,-0.09641,-0.11679,-2.61167
04030621,Spreestadt,2984.0,7.96574,3.34047,14.47721,37.09677,-0.95668,0.02151,-2.13859,-5.07575
04030622,Richard-Wagner-Straße,10186.0,8.3004,2.78091,13.80326,32.16783,-0.06128,-1.01727,0.02601,-0.27328
04030623,Ernst-Reuter-Platz,4544.0,8.18788,3.23707,15.0088,35.11905,-0.07958,-0.55081,-0.45249,-2.4076
