id,name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,3114.0,-0.48935,-0.87003,-0.45628,-0.35272,-2.16838,-0.56124,mittel,0.0743
01011102,Großer Tiergarten,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
01011103,Lützowstraße,5130.0,0.12323,-0.26521,0.7099,0.65491,1.22283,0.3165,mittel,-0.79697
01011104,Körnerstraße,4403.0,0.03991,-0.15254,1.14041,1.05901,2.0867899999999997,0.54012,mittel,-1.52009
01011105,Nördlicher Landwehrkanal,1097.0,-1.40995,-1.41124,-1.17376,-1.19776,-5.19271,-1.34402,hoch,1.04258
01011201,Wilhelmstraße,2055.0,-0.70107,-0.78546,-0.45033,-0.01353,-1.9503900000000003,-0.50481,mittel,-0.65789
01011202,Unter den Linden Nord,498.0,-1.43329,-2.02896,-1.26618,-1.40914,-6.13757,-1.58857,hoch,-0.61959
01011203,Unter den Linden Süd,932.0,-1.28379,-1.03227,-1.0213,-0.98638,-4.323740000000001,-1.1191,hoch,0.07803
01011204,Leipziger Straße,6424.0,-0.63553,-0.91408,-0.6254,-0.16013,-2.33514,-0.6044,mittel,1.26647
01011301,Charitéviertel,5597.0,-1.2966,-1.42618,-1.02371,-1.17296,-4.91945,-1.27329,hoch,0.7761
01011302,Oranienburger Straße,12137.0,-0.78356,-1.14862,-0.66436,-0.80962,-3.40616,-0.88161,mittel,0.1507
01011303,Alexanderplatzviertel,8608.0,-0.31289,-0.56719,-0.35525,-0.30985,-1.54518,-0.39993,mittel,0.0438
01011304,Karl-Marx-Allee,8424.0,0.06114,0.12084,0.0774,0.573,0.8323799999999999,0.21544,mittel,0.71858
01011305,Heine-Viertel West,7075.0,-0.76648,-0.96818,-0.53237,-0.15115,-2.41818,-0.62589,mittel,-0.74219
01011306,Heine-Viertel Ost,8616.0,-0.2629,-0.68405,-0.3991,-0.0378,-1.38385,-0.35818,mittel,0.06892
01011401,Invalidenstraße,15235.0,-0.91653,-1.26536,-0.80668,-0.98971,-3.9782800000000003,-1.02969,hoch,0.054
