id,name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
05010206,Gütersloher Weg,10246.0,1.56773,1.9548,0.90087,1.04304,5.46644,1.40911,niedrig,0.25668
05010207,Darbystraße,11492.0,1.88452,2.05883,1.79686,1.52211,7.26232,1.87204,sehr niedrig,-0.34404
05010208,Germersheimer Platz,7627.0,2.08514,2.37777,1.32756,1.61584,7.40631,1.90916,sehr niedrig,0.87089
05010209,An der Kappe,6098.0,-0.23321,-0.51311,-0.33425,-0.06725,-1.14782,-0.29588,mittel,0.73981
05010310,Eckschanze,3880.0,1.65561,1.49656,0.93677,0.92741,5.01635,1.29309,niedrig,0.91686
05010311,Eiswerder,5670.0,1.78057,2.2677,1.39708,1.38855,6.8339,1.7616,sehr niedrig,1.52412
05010312,Kurstraße,7117.0,2.11856,2.33381,1.85548,1.77217,8.08002,2.08282,sehr niedrig,0.28298
05010313,Ackerstraße,6704.0,1.37744,1.62278,0.98997,1.05979,5.04998,1.30175,niedrig,-0.17439
05010314,Carl-Schurz-Straße,11968.0,1.02213,1.10368,0.72068,0.7788,3.62529,0.93451,mittel,-0.35147
05010339,Freiheit,974.0,1.12065,0.38832,0.52925,0.11906,2.15728,0.55609,mittel,-1.74079
05020415,Isenburger Weg,3885.0,-1.3466,-1.18896,-1.17561,-1.14404,-4.85521,-1.25155,hoch,1.05491
05020416,Am Heideberg,1709.0,-0.44368,-0.35129,-0.67984,-0.46039,-1.9352,-0.49884,mittel,0.26967
05020417,Staakener Straße,5847.0,-0.71855,-0.62144,-0.65041,-0.59047,-2.58087,-0.66528,mittel,0.231
05020418,Spandauer Straße,4010.0,0.13655,0.24306,-0.35516,-0.48614,-0.46169,-0.11901,mittel,0.66105
05020419,Magistratsweg,7032.0,1.85409,1.56592,1.00372,1.57681,6.00054,1.54678,sehr niedrig,0.06463
05020420,Werkstraße,929.0,-0.69483,-0.48208,-0.81626,-1.08225,-3.07542,-0.79276,mittel,1.20765
05020521,Döberitzer Weg,3095.0,-1.13376,-1.51954,-0.9272,-1.01216,-4.59266,-1.18387,hoch,0.42293
05020522,Pillnitzer Weg,7364.0,2.49011,2.34712,2.22019,1.96669,9.02411,2.32618,sehr niedrig,1.17182
05020523,Maulbeerallee,12413.0,3.46229,3.73331,3.08546,2.37932,12.66038,3.26352,sehr niedrig,1.30072
05020524,Weinmeisterhornweg,6134.0,-0.50786,-0.13631,-0.67948,-0.47065,-1.7943,-0.46252,mittel,0.822
05020625,Borkumer Straße,7482.0,0.74314,0.89689,0.37999,0.97514,2.99516,0.77207,mittel,0.23667
05020626,Adamstraße,19359.0,0.77291,1.11842,0.46694,0.5545,2.91277,0.75084,mittel,-0.81974
05020627,Tiefwerder,4059.0,1.3759,1.56662,1.28915,1.53565,5.76732,1.48667,niedrig,1.04848
05020628,Graetschelsteig,1984.0,0.44331,0.17194,-0.04489,0.34116,0.91152,0.23497,mittel,-0.16962
05020629,Börnicker Straße,4413.0,-0.89456,-1.05506,-1.0391,-1.0012,-3.98992,-1.0285,hoch,0.56732
05030730,Zitadellenweg,3938.0,-0.48156,-0.32626,-0.10883,-0.30817,-1.22482,-0.31573,mittel,0.34131
05030731,Gartenfelder Straße,11622.0,1.39956,1.4002,1.06671,1.33171,5.19818,1.33996,niedrig,0.25963
05030832,Rohrdamm,11692.0,0.77474,0.7268,0.62799,0.84686,2.97639,0.76724,mittel,0.63013
05030833,Motardstraße,1545.0,-0.47063,-1.46083,-0.19688,-0.54254,-2.67088,-0.68848,mittel,4.19907
05040934,Alt-Gatow,3965.0,-1.18857,-1.47999,-0.86995,-0.78752,-4.32603,-1.11514,hoch,1.86307
05040935,Groß-Glienicker Weg,415.0,0.8355,1.45577,-0.75655,-0.8777,0.65702,0.16936,mittel,0.12812
05040936,Jägerallee,9855.0,-1.33927,-1.33971,-1.19009,-1.21905,-5.08812,-1.31159,hoch,0.86936
05040937,Kladower Damm,2151.0,-1.54536,-1.30606,-1.22264,-1.26016,-5.33422,-1.37502,hoch,0.7682
05040938,Kafkastraße,3670.0,-1.34242,-1.15241,-1.15079,-1.1135,-4.75912,-1.22678,hoch,0.42604
06010101,Fichtenberg,6829.0,-1.1645,-1.1102,-1.06932,-1.12853,-4.47255,-1.15291,hoch,0.72
06010102,Schloßstraße,8788.0,-0.51784,-0.30541,-0.54576,-0.53068,-1.89969,-0.48969,mittel,-0.09776
06010103,Markelstraße,6300.0,-0.76442,-0.86676,-0.68077,-0.80384,-3.11579,-0.80317,mittel,-0.9141
06010204,Munsterdamm,6914.0,-0.1818,-0.22918,-0.27743,-0.33469,-1.0231,-0.26373,mittel,-0.67144
06010205,Südende,9560.0,-0.30659,0.03132,-0.39287,-0.37161,-1.03975,-0.26802,mittel,-0.33553
06010206,Stadtpark,7685.0,-0.15626,-0.32204,-0.38751,-0.3983,-1.26411,-0.32586,mittel,0.4687
06010207,Mittelstraße,7771.0,-0.27313,0.19474,-0.40062,-0.35138,-0.83039,-0.21405,mittel,0.00022
06010208,Bergstraße,6798.0,-0.22973,-0.09995,-0.46491,-0.54186,-1.33645,-0.3445,mittel,0.32401
06010209,Feuerbachstraße,9026.0,-0.42229,-0.30704,-0.43785,-0.5315,-1.69868,-0.43788,mittel,-0.23496
06010210,Bismarckstraße,4874.0,-0.19786,0.39552,-0.31061,-0.43786,-0.55081,-0.14198,mittel,-0.2094
06020301,Alt-Lankwitz,4994.0,-0.6262,-0.10577,-0.45753,-0.53217,-1.72167,-0.4438,mittel,-1.26301
06020302,Komponistenviertel Lankwitz,5542.0,-0.707,-0.56565,-0.84023,-0.81745,-2.93033,-0.75536,mittel,-0.17237
06020303,Lankwitz Kirche,7395.0,0.38739,0.76213,-0.06223,0.0525,1.13979,0.29381,mittel,-0.23415
06020304,Kaiser-Wilhelm-Straße,6744.0,0.09373,0.6186,-0.18557,-0.1406,0.38616,0.09954,mittel,-0.0375
06020305,Gemeindepark Lankwitz,11433.0,0.12595,0.4927,0.0545,0.09612,0.76927,0.1983,mittel,-0.20071
06020306,Lankwitz Süd,6450.0,-0.86679,-0.83153,-0.73654,-0.58365,-3.01851,-0.77809,mittel,0.30165
06020407,Thermometersiedlung,4593.0,1.52968,2.41246,1.1922,1.62247,6.75681,1.74173,sehr niedrig,0.83149
06020408,Lichterfelde Süd,6827.0,0.02372,0.24204,-0.21624,-0.10374,-0.05422,-0.01398,mittel,0.31726
06020409,Königsberger Straße,8200.0,-0.42779,-0.44341,-0.60366,-0.56446,-2.03932,-0.52568,mittel,0.36589
06020410,Oberhofer Platz,7119.0,-0.90379,-0.78333,-0.91107,-0.88047,-3.47866,-0.89671,mittel,0.67068
06020411,Schütte-Lanz-Straße,8494.0,-0.74911,-0.40698,-0.66286,-0.5611,-2.38005,-0.61352,mittel,0.76897
06030501,Berlepschstraße,5898.0,-0.93006,-1.07211,-0.93388,-0.90439,-3.84044,-0.98997,mittel,0.97758
06030502,Zehlendorf Süd,5555.0,-0.50939,-0.32976,-0.33439,-0.31958,-1.49312,-0.38489,mittel,-0.76336
06030503,Zehlendorf Mitte,11600.0,-0.92365,-0.9325,-0.81408,-0.9056,-3.57583,-0.92176,mittel,-0.1494
06030504,Teltower Damm,11122.0,-1.2947,-1.23534,-1.10932,-1.13597,-4.77533,-1.23096,hoch,0.39148
06030605,Botanischer Garten,6935.0,-0.73731,-0.41836,-0.82267,-0.89491,-2.87325,-0.74065,mittel,-0.39113
06030606,Hindenburgdamm,5223.0,-0.24544,0.29667,-0.44197,-0.50987,-0.90061,-0.23215,mittel,-0.27778
