id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,3114.0,4.98155,1.52214,8.15671,20.51282,-0.19405,0.13582,-0.41747,-0.75415
01011102,Großer Tiergarten,192.0,0,0,0,0,0,0,0,0
01011103,Lützowstraße,5518.0,6.83371,2.07542,17.74194,34.33283,-0.49655,-0.03439,-0.79608,-7.73613
01011104,Körnerstraße,4704.0,6.26519,1.48528,20.66327,45.91382,-1.33193,-0.75932,-1.66242,-3.7727
01011105,Nördlicher Landwehrkanal,1135.0,2.06061,0,1.4978,3.5461,-0.77191,-0.73892,-0.41651,-0.70922
01011201,Wilhelmstraße,2190.0,3.63985,0.894,8.44749,27.31278,-1.22831,-0.59349,0.12632,0.16992
01011202,Unter den Linden Nord,608.0,1.97368,0,1.80921,6.66667,-0.13158,0,0.20278,0.54422
01011203,Unter den Linden Süd,1004.0,3.97878,1.45889,3.58566,10.34483,0.84912,0.26664,0.25948,0.77036
01011204,Leipziger Straße,7463.0,3.91473,1.60853,7.1955,21.34228,-1.12596,0.27489,0.20608,-4.56943
01011301,Charitéviertel,6431.0,2.57469,0.39308,3.23433,5.05837,-0.55736,-0.32796,-0.05314,0.30376
01011302,Oranienburger Straße,12535.0,3.98745,0.91084,6.11089,11.23529,-0.61061,-0.14223,-0.47229,-1.01203
01011303,Alexanderplatzviertel,9536.0,5.18365,1.41372,8.61997,20.49383,-0.84975,-0.33486,-0.75503,-1.91281
01011304,Karl-Marx-Allee,8607.0,6.39872,1.73965,13.55873,42.31626,-0.52162,-0.83196,0.22777,2.17027
01011305,Heine-Viertel West,7617.0,4.53809,1.01297,7.19443,20.2957,-0.2482,-0.25596,-0.40981,-4.7043
01011306,Heine-Viertel Ost,9530.0,5.03832,1.26313,8.20567,21.77009,-1.33314,-0.34566,-0.68477,-5.59958
01011401,Invalidenstraße,16331.0,3.44508,0.73382,4.7517,7.27273,-0.70239,-0.17961,-0.52562,-1.12526
01011402,Arkonaplatz,13341.0,3.57414,0.70342,3.32809,3.95508,-0.63104,-0.11177,-0.82476,-1.2411
01022101,Huttenkiez,3522.0,12.80057,3.28854,27.28563,68.17043,2.03301,-0.67654,3.83431,3.86525
01022102,Beusselkiez,6374.0,10.85441,3.84386,24.647,57.12418,-0.74478,0.1394,-0.27706,-3.0953
01022103,Westhafen,258.0,0,0,0,0,0,0,0,0
01022104,Emdener Straße,18377.0,7.79348,2.60249,18.4905,43.62319,-1.82343,-0.64403,-0.82883,-5.40841
01022105,Zwinglistraße,5299.0,8.86542,2.23477,23.87243,58.12592,-0.64752,-0.53032,-1.39692,-7.59288
01022106,Elberfelder Straße,11799.0,4.87405,1.30053,9.56013,16.25089,-2.01359,-0.38024,-1.24884,-4.01559
01022201,Stephankiez,11292.0,6.40609,1.66872,17.322,36.44128,-1.54859,-0.5369,-0.81727,-5.85089
01022202,Heidestraße,1488.0,10.31519,3.34288,28.89785,51.5625,-2.31844,0.03871,0.23763,0.6191
01022203,Lübecker Straße,6969.0,9.28484,2.62089,26.20175,54.52848,-0.98756,-0.39429,0.30481,-1.15218
01022204,Thomasiusstraße,5824.0,5.55689,1.34132,11.2294,20.83958,-1.09702,-0.42987,-0.15062,-0.5105
01022205,Zillesiedlung,3311.0,9.43135,2.68146,25.03775,37.45819,0.35727,0.27405,-0.37541,-8.44024
01022206,Lüneburger Straße,3027.0,5.20073,1.09489,11.03403,18.53786,-1.2395,-0.36078,-2.16859,-7.10317
01022207,Hansaviertel,5630.0,3.47826,0.97187,8.45471,17.59657,-1.92786,-0.55767,-1.24038,-7.73976
01033101,Soldiner Straße,26841.0,10.64758,3.15672,32.67762,68.79893,-1.99186,-1.02661,0.28467,-0.42827
