id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011305,Heine-Viertel West,7617.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.53809,1.01297,7.19443,20.2957,-0.2482,-0.25596,-0.40981,-4.7043,-0.56688,-0.92929,-0.59085,-0.34982,-2.43684,-0.62815,mittel,0.69163,7617.0,2.61044,-,2.21993,62.88783,34.82999,22.83051,4.11673,66.30247,11.27865,38.21301,1.90652,35.95707,1.41788
01011306,Heine-Viertel Ost,9530.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.03832,1.26313,8.20567,21.77009,-1.33314,-0.34566,-0.68477,-5.59958,-0.39163,-0.69492,-0.47213,-0.27269,-1.83137,-0.47208,mittel,-0.46219,9530.0,1.7094,-,2.66489,58.22102,39.09759,26.74711,6.00663,63.71126,13.77778,14.86094,1.68311,33.91322,20.68206
01011401,Invalidenstraße,16331.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.44508,0.73382,4.7517,7.27273,-0.70239,-0.17961,-0.52562,-1.12526,-0.94982,-1.19083,-0.87764,-1.03104,-4.04933,-1.04381,hoch,0.2086,16331.0,1.62539,-,5.28497,47.36842,38.55245,27.82438,2.02195,49.91197,5.53555,3.45912,1.79034,42.14029,52.89939
01011402,Arkonaplatz,13341.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.57414,0.70342,3.32809,3.95508,-0.63104,-0.11177,-0.82476,-1.2411,-0.9046,-1.21931,-1.04477,-1.20458,-4.37326,-1.12731,hoch,0.28448,13341.0,0.0,-,6.08021,41.49321,36.55648,25.32794,3.13466,41.34359,3.66445,3.24368,1.79349,39.98778,38.83517
01022101,Huttenkiez,3522.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig, Dynamik negativ",12.80057,3.28854,27.28563,68.17043,2.03301,-0.67654,3.83431,3.86525,2.32785,1.20265,1.76792,2.15448,7.4529,1.92117,sehr niedrig,3.11766,3522.0,20.07576,-,22.0339,78.80086,51.81715,35.66156,1.53176,44.82484,48.98477,1.62304,1.50909,33.82907,100.0
01022102,Beusselkiez,6374.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",10.85441,3.84386,24.647,57.12418,-0.74478,0.1394,-0.27706,-3.0953,1.64602,1.72292,1.45813,1.57666,6.40373,1.65072,sehr niedrig,0.16352,6374.0,5.28736,-,20.2381,81.0962,58.34641,40.05334,1.06054,57.30513,33.0614,4.6491,1.54424,32.51114,100.0
01022104,Emdener Straße,18377.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.79348,2.60249,18.4905,43.62319,-1.82343,-0.64403,-0.82883,-5.40841,0.57363,0.5599,0.73534,0.87043,2.7393,0.70612,mittel,-0.98361,18377.0,3.63636,-,16.54247,68.39951,48.11449,30.89732,2.30583,58.6298,27.44644,3.22738,1.68248,36.49274,100.0
01022105,Zwinglistraße,5299.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",8.86542,2.23477,23.87243,58.12592,-0.64752,-0.53032,-1.39692,-7.59288,0.94918,0.21539,1.3672,1.62906,4.16083,1.07255,niedrig,0.26696,5299.0,4.92676,-,18.56618,84.14634,57.82223,36.44084,4.17835,55.25634,35.34434,0.92987,1.44952,31.78317,100.0
01022106,Elberfelder Straße,11799.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.87405,1.30053,9.56013,16.25089,-2.01359,-0.38024,-1.24884,-4.01559,-0.44918,-0.65988,-0.31311,-0.5614,-1.98357,-0.51131,mittel,-1.18584,11799.0,2.55591,-,7.09296,52.61239,35.86745,21.95101,1.4242,60.73359,16.57001,0.66739,1.81609,40.30562,4.68684
01022201,Stephankiez,11292.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.40609,1.66872,17.322,36.44128,-1.54859,-0.5369,-0.81727,-5.85089,0.08756,-0.31493,0.59815,0.49475,0.86553,0.22311,mittel,-0.69132,11292.0,3.97226,-,13.98747,70.58465,50.15055,31.80128,4.76908,62.90727,26.78411,0.26224,1.61397,36.0565,99.29153
01022202,Heidestraße,1488.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",10.31519,3.34288,28.89785,51.5625,-2.31844,0.03871,0.23763,0.6191,1.4571,1.25356,1.9572,1.28573,5.95359,1.53468,sehr niedrig,-1.51005,1488.0,9.95671,-,14.59459,83.0721,65.32258,32.39247,0.21015,82.78008,41.00719,13.92,1.44153,32.22245,99.59677
01022203,Lübecker Straße,6969.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",9.28484,2.62089,26.20175,54.52848,-0.98756,-0.39429,0.30481,-1.15218,1.09612,0.57714,1.64066,1.44088,4.7548,1.22566,niedrig,-0.09467,6969.0,6.05727,-,19.46721,82.66033,58.21495,33.31898,1.54577,68.08786,37.4504,12.91401,1.50725,31.74559,43.19128
01022204,Thomasiusstraße,5824.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.55689,1.34132,11.2294,20.83958,-1.09702,-0.42987,-0.15062,-0.5105,-0.20995,-0.62167,-0.11714,-0.32137,-1.27013,-0.32741,mittel,-0.21108,5824.0,2.08696,-,9.16497,57.82493,40.07555,25.08585,2.30865,49.41821,16.18195,0.11438,1.87878,43.52404,6.04396
01022205,Zillesiedlung,3311.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.43135,2.68146,25.03775,37.45819,0.35727,0.27405,-0.37541,-8.44024,1.14745,0.63388,1.50401,0.54794,3.83328,0.98812,mittel,1.33554,3311.0,7.75,-,20.90909,83.30935,59.46844,31.19903,1.70106,77.25073,35.42354,17.7686,1.24343,29.48022,100.0
01022206,Lüneburger Straße,3027.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",5.20073,1.09489,11.03403,18.53786,-1.2395,-0.36078,-2.16859,-7.10317,-0.33473,-0.85255,-0.14007,-0.44177,-1.76912,-0.45603,mittel,-0.36261,3027.0,4.04858,-,10.84071,62.44131,39.47803,21.40733,1.66877,50.30864,17.86311,0.0,1.78725,43.65775,0.0
01022207,Hansaviertel,5630.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",3.47826,0.97187,8.45471,17.59657,-1.92786,-0.55767,-1.24038,-7.73976,-0.93819,-0.9678,-0.44289,-0.49101,-2.83989,-0.73205,mittel,-1.09467,5630.0,0.51813,-,9.48963,57.74135,43.83659,30.99467,3.33354,56.10315,8.19071,1.19144,1.93641,42.42522,0.0
01033101,Soldiner Straße,26841.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",10.64758,3.15672,32.67762,68.79893,-1.99186,-1.02661,0.28467,-0.42827,1.57356,1.07915,2.40095,2.18735,7.24101,1.86655,sehr niedrig,-1.16273,26841.0,6.80481,-,16.3916,83.52208,61.48802,40.79952,3.1073,62.24089,45.91356,14.70588,1.38039,28.30301,100.0
01033102,Gesundbrunnen,11837.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",9.13978,2.47083,29.17969,64.26652,-1.49257,-0.44055,0.3259,-0.01523,1.0453,0.43655,1.99028,1.95027,5.4224,1.39775,niedrig,-0.63174,11837.0,6.02625,-,13.12804,83.12217,60.67416,38.09242,0.94414,64.8259,44.4067,8.51831,1.43474,29.29104,98.72434
01033201,Brunnenstraße,13361.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",9.82887,2.81922,31.67428,58.59946,-1.30009,-0.78335,-1.75995,-4.63992,1.28672,0.76295,2.28316,1.65383,5.98666,1.54321,sehr niedrig,-0.42704,13361.0,6.4231,-,17.25395,88.56488,66.4097,31.31502,1.4974,74.56979,46.37605,48.38541,1.40424,28.3987,99.22162
01033202,Humboldthain Süd,9726.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",8.84247,2.45013,23.96669,50.96774,-1.26342,-0.50845,-0.14386,-4.02207,0.94114,0.41716,1.37826,1.25462,3.99118,1.02882,niedrig,-0.38805,9726.0,5.04032,-,10.66888,82.41514,54.93523,26.26979,0.37519,72.72016,38.13333,30.95291,1.51244,30.85112,100.0
01033203,Humboldthain Nordwest,14478.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",10.56292,3.32676,31.89667,68.81125,-1.86729,-0.26811,-0.12406,-1.02365,1.5439,1.23845,2.30927,2.188,7.27962,1.8765,sehr niedrig,-1.03025,14478.0,6.74757,-,17.18121,86.50594,62.84017,38.97638,2.03879,65.6034,45.51578,7.82689,1.4214,29.22324,100.0
01044101,Rehberge,20722.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",8.67703,2.93188,21.06939,52.69122,-1.68715,-0.68943,-0.11334,-1.44119,0.88318,0.8685,1.03811,1.34477,4.13456,1.06578,niedrig,-0.83868,20722.0,4.29704,-,9.24178,70.11855,46.97906,30.35421,2.70009,54.72178,34.79156,8.08737,1.62002,33.4821,99.58016
01044102,Schillerpark,16238.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.05532,2.41099,18.98633,51.48793,-1.51791,-0.72189,0.09069,-0.96716,0.66537,0.38049,0.79355,1.28183,3.12124,0.80458,mittel,-0.65869,16238.0,4.04624,-,6.5229,64.34783,37.92955,22.61978,1.83711,58.1541,33.86418,46.43461,1.76413,34.14521,62.34142
01044103,Westliche Müllerstraße,8589.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",8.85217,2.75893,20.51461,51.43422,-1.0499,-0.39668,1.16097,-1.74497,0.94454,0.70646,0.97298,1.27902,3.903,1.00609,niedrig,-0.16097,8589.0,3.46921,-,16.625,79.11647,51.8221,35.98789,4.82147,60.46587,32.0083,5.21819,1.55885,32.86459,100.0
