id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
010111,Tiergarten Süd,14798.0,3.86531,14.06947,32.05657,-0.55299,-1.15934,-2.2043
010112,Regierungsviertel,12431.0,2.05076,6.83774,18.51852,-0.4316,-0.09524,-2.20458
010113,Alexanderplatz,57101.0,2.48026,7.13823,17.18555,-0.56057,-0.77426,-2.13379
010114,Brunnenstraße Süd,31593.0,1.32784,4.02304,6.02285,-0.49181,-0.08858,0.27084
010221,Moabit West,46359.0,4.98064,17.26741,40.57782,-1.83741,-1.25371,-1.75984
010222,Moabit Ost,39005.0,4.2311,15.54929,32.2817,-1.12408,-1.77843,-3.70674
010331,Osloer Straße,39151.0,7.67897,29.60588,62.9444,-1.37678,-2.00124,-4.52244
010332,Brunnenstraße Nord,38876.0,6.92077,27.60572,55.49667,-1.74176,-2.15869,-4.97131
010441,Parkviertel,46337.0,5.6994,19.33228,49.11712,-1.52723,-0.8899,-2.92544
010442,Wedding Zentrum,57806.0,7.06804,26.19797,60.07241,-1.85131,-1.92234,-5.0578
020101,Südliche Friedrichstadt,40904.0,8.79655,28.66957,54.737,-1.70003,-3.8386,-6.93308
020202,Tempelhofer Vorstadt,65900.0,3.75916,11.83763,21.97802,-0.61468,-1.34126,-2.16443
020303,Nördliche Luisenstadt,22127.0,6.5936,21.53026,40.71877,-1.56607,-2.78909,-5.38223
020304,Südliche Luisenstadt,26435.0,4.95021,14.77587,26.94301,-0.71352,-2.90011,-6.2201
020405,Karl-Marx-Allee Nord,23990.0,3.19034,9.10796,21.62254,-0.89429,-0.4553,-1.61125
020407,Karl-Marx-Allee Süd,25279.0,3.64408,10.65707,27.83161,-0.50793,-0.44256,-0.84696
020506,Frankfurter Allee Nord,30854.0,3.39629,8.49485,14.51058,-0.71647,-1.06329,-1.20631
020508,Frankfurter Allee Süd FK,53631.0,3.21337,8.09047,15.79176,-0.48122,-0.97604,-0.22162
030101,Buch,16706.0,5.65392,13.61188,28.05755,-0.90262,-1.12297,-6.21376
030202,Blankenfelde/Niederschönhausen,28740.0,2.02459,5.16354,8.44687,-0.42507,-0.16641,-0.03744
