id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
010111,Tiergarten Süd,14663,2.20174,-,16.05976,83.24557,59.69447,38.63466,3.14894,66.26655,17.88633,4.72325,1.77651,41.21489,23.53543,51.00992,38.64951,2.62698,1.51384
010112,Regierungsviertel,11265,1.43646,-,3.96355,76.35542,46.81758,31.46028,4.3637,59.114,9.64329,28.52595,2.23054,51.14336,0,53.64048,35.2903,6.25626,7.80234
010113,Alexanderplatz,54256,1.70204,-,3.23424,57.42632,38.46395,26.45237,4.40588,58.26366,11.91881,28.83774,1.92104,40.46605,20.477,55.83543,34.14046,3.51018,-0.36106
010114,Brunnenstraße Süd,29672,1.00962,-,5.63867,44.7229,37.65503,26.70194,2.53793,46.25773,4.73793,3.36322,1.79176,41.17249,46.5759,49.48183,36.33912,2.10089,-4.34725
010221,Moabit West,45629,5.41214,-,14.23735,68.91551,47.92566,30.98906,2.10716,57.29844,29.67126,2.37641,1.65307,36.09704,75.34682,56.22615,34.01388,0.80147,-6.02753
010222,Moabit Ost,37541,4.1958,-,13.51503,71.99008,49.70033,30.05248,2.91513,62.61301,25.35307,4.1081,1.65805,37.25077,51.58893,59.07497,32.86557,1.48782,0.22085
010331,Osloer Straße,38678,6.57117,-,15.35897,83.40437,61.23895,39.97104,2.44673,62.99483,45.47934,12.79131,1.39702,28.60538,99.6096,55.04532,35.6906,0.99116,-3.34489
010332,Brunnenstraße Nord,37565,6.27501,-,14.82305,86.36602,62.06309,32.96153,1.47523,70.10176,44.3309,27.92223,1.43887,29.35144,99.72315,63.08168,27.11062,1.32067,-0.09174
010441,Parkviertel,45549,4.03368,-,8.67742,69.99838,44.66618,28.65925,2.83621,57.04765,33.86722,21.5918,1.65986,33.60205,86.38389,58.08871,30.64148,2.15238,-1.71283
010442,Wedding Zentrum,56589,5.77286,-,18.17546,84.07274,61.48368,40.8719,1.39699,61.42937,39.56892,7.98489,1.41542,29.94082,99.41861,54.23167,35.76699,0.47339,-5.40016
020101,Südliche Friedrichstadt,40396,5.77802,-,21.83531,88.92135,68.43252,35.44163,1.95703,77.63498,43.16076,24.2563,1.47581,30.2071,72.40073,65.41588,27.19757,0.3345,-2.21468
020202,Tempelhofer Vorstadt,64057,3.58781,-,13.5004,53.74122,41.53644,25.76299,1.26987,55.3051,21.15372,4.77453,1.75612,39.8898,63.77133,59.78912,31.69943,0.51959,-3.9385
020303,Nördliche Luisenstadt,22258,6.11725,-,23.01038,71.4367,56.86944,34.99416,-0.15119,71.93478,35.58199,14.1487,1.54547,33.33166,98.37811,67.20075,26.83384,-0.82893,-4.39516
020304,Südliche Luisenstadt,26239,4.40621,-,16.57982,59.26402,48.05823,31.62468,0.43389,59.52037,26.32005,2.8293,1.62392,37.13244,98.78806,60.66648,30.01662,-1.14425,-5.25966
020405,Karl-Marx-Allee Nord,23538,2,-,2.32087,42.03883,24.17368,15.48985,2.21856,56.63741,20.79708,38.82202,1.84867,36.73536,24.30113,59.34617,26.35833,0.88868,-4.17891
020407,Karl-Marx-Allee Süd,24190,2.29991,-,3.8528,47.78232,31.20711,21.29806,2.98559,58.17158,20.88695,31.56255,1.72575,37.15982,13.48078,57.11614,31.07407,0.81272,-3.86117
020506,Frankfurter Allee Nord,29964,2.2787,-,9.48158,32.2154,27.08584,19.00948,2.94352,44.5927,14.64547,7.69639,1.70922,38.04332,61.64731,47.60617,36.82022,1.74754,-4.65578
020508,Frankfurter Allee Süd FK,50681,2.59805,-,6.01562,31.75198,28.60243,20.77899,3.36139,44.41174,13.53173,8.35203,1.71849,38.20704,62.19293,47.60836,38.93562,1.12228,-5.1693
030101,Buch,15840,5.60821,-,1.93913,20.99488,12.94823,9.09722,3.7021,70.22901,26.69492,44.12955,1.8875,34.57367,60.80808,53.61053,30.84442,4.27379,7.28964
030202,Blankenfelde/Niederschönhausen,27974,1.21265,-,1.70291,19.40384,12.74755,7.5177,2.51562,59.7242,14.43249,3.88687,1.80275,40.60535,28.12254,60.46925,22.82946,2.57914,5.19386
030203,Buchholz,17930,1.61177,-,2.7833,17.77842,10.99833,4.10485,1.09637,56.25,24.31259,8.43404,1.7633,39.65527,31.71779,64.90129,17.55642,1.76743,7.16117
030304,Karow,19231,1.71975,-,1.80305,16.21036,9.61468,4.69034,2.00524,58.98004,28.92938,11.74614,1.98586,39.87219,8.5071,68.86479,19.92988,1.15486,6.06798
030307,Blankenburg/Heinersdorf/Märchenland,15336,2.16693,-,1.03501,20.58465,10.30256,6.72274,4.35694,83.22017,19.38675,4.70813,1.99361,43.34409,45.43558,70.54968,18.26783,3.80699,13.42185
030405,Schönholz/Wilhelmsruh/Rosenthal,17725,1.52439,-,1.90263,24.43481,14.26798,5.73202,1.0481,56.20079,16.86108,1.01154,1.93935,41.27994,4.94217,69.03847,17.61452,0.95499,4.84694
030406,Pankow Zentrum,35308,2.88266,-,2.30698,18.83031,12.25218,6.93611,1.46478,51.04124,14.27365,24.98554,1.84678,39.14835,7.14286,61.33555,22.52085,1.40696,0.23397
030408,Pankow Süd,34314,2.73973,-,2.92131,21.24467,14.0788,9.28484,1.58477,51.22411,16.67746,22.53036,1.95827,37.77231,27.68258,61.34119,24.06895,0.57508,-2.35333
030509,Weißensee,37410,2.52246,-,3.09459,25.59327,16.7228,11.57177,2.88152,56.75676,21.17064,20.11993,1.84205,37.70706,18.38546,56.18479,33.81601,2.16107,1.79181
030510,Weißensee Ost,15277,3.50128,-,2.09239,18.27057,10.8791,7.58002,1.88746,66.4076,29.91228,24.88931,1.94384,35.8393,3.76383,64.86579,22.18689,0.84734,-0.61652
030611,Prenzlauer Berg Nordwest,25708,2.3187,-,6.77861,32.10067,27.85903,19.60479,2.47351,43.63095,8.74924,6.03604,1.76233,39.40233,84.60012,50.51115,36.60941,0.2589,-6.1593
030612,Prenzlauer Berg Nord,27139,1.83767,-,4.51467,31.19928,21.77309,14.76473,1.64484,46.76816,10.66701,20.78229,1.86654,38.22145,31.55975,56.57788,29.06815,0.30863,-7.79178
030613,Helmholtzplatz,22519,1.17647,-,9.87514,32.68901,28.70465,19.23709,1.28699,44.85226,9.21269,6.05787,1.74808,41.37617,12.51832,54.56965,30.98004,-0.53274,-6.34259
030614,Prenzlauer Berg Ost,26676,2.84553,-,2.33532,37.98701,21.51372,15.07722,5.46931,68.05072,15.66327,27.49437,1.87502,35.33011,50.59979,61.01802,26.68082,2.55345,1.55923
030715,Prenzlauer Berg Südwest,26382,0.92975,-,5.83832,39.59732,33.13623,23.18626,2.0477,47.4579,5.41897,8.93688,1.86896,43.90171,2.61163,53.16883,35.37845,1.39152,-1.61143
030716,Prenzlauer Berg Süd,32637,2.0148,-,4.7619,33.13453,26.98165,17.81414,1.59266,46.31923,9.38654,15.85505,1.78696,40.74544,32.84922,57.25856,30.37301,0.51541,-3.09768
040101,Charlottenburg Nord,19709,5.34351,-,9.05038,72.9805,48.16581,27.35806,5.42337,63.37166,35.14007,47.42993,1.70186,31.27353,29.83409,64.42164,25.80364,2.98129,5.88222
040202,Heerstraße,12881,0,-,2.00364,40.70981,28.1267,17.7626,1.39215,51.61713,5.89928,1.88122,2.13438,49.41946,0.95489,66.25772,25.61938,2.01629,9.40636
040203,Westend,28791,1.54905,-,3.7644,55.89189,34.23987,22.36463,4.78063,67.66579,12.12225,4.19712,1.94405,43.60394,0.69119,61.75248,35.47552,2.99524,5.95031
040304,Schloß Charlottenburg,24419,2.89972,-,13.55429,59.07149,43.34739,26.6309,1.95044,61.72536,21.24801,18.62875,1.69999,37.28306,0,63.25366,27.43801,1.24065,-1.23544
040305,Mierendorffplatz,15151,2.93515,-,9.96248,65.99013,42.80246,25.40426,1.52767,58.58665,24.0637,4.99182,1.85961,38.20507,29.17959,61.50293,25.77462,0.43992,-2.71718
040306,Otto-Suhr-Allee,26865,2.5641,-,12.77184,68.97498,47.21385,27.90248,1.03373,58.84472,18.67479,10.33229,1.81072,39.50389,11.15578,61.45108,26.20534,1.21586,-2.67631
040307,Neue Kantstraße,23970,1.60786,-,7.23973,55.04052,38.52315,24.40134,1.57261,54.48795,13.52041,1.87563,1.88465,44.58531,1.73133,63.21844,27.79941,0.91803,-1.81747
040308,Kantstraße,21729,2.16216,-,9.6434,67.10628,48.11542,31.39583,1.49079,57.22662,14.32161,2.01047,1.78895,41.22886,3.09724,60.54168,28.11488,1.22346,-3.51278
040309,Kurfürstendamm,15496,2.25261,-,8.9927,65.31734,46.67656,31.14352,3.70027,58.68214,8.85519,1.32086,2.1068,53.33041,0,59.60604,33.27469,2.67609,6.6295
040310,Halensee,14931,0.91667,-,6.94369,61.38841,39.33427,23.15317,1.69532,55.59734,12.00532,1.73294,1.94113,44.6603,0.30139,63.89024,25.11573,1.38785,-2.44652
040411,Grunewald,18947,1.0568,-,4.41414,56.37158,34.72318,19.41204,0.91334,57.55846,10.88393,4.16435,2.25107,56.64216,0.19528,63.28892,23.47059,1.94809,4.16637
040412,Schmargendorf,14557,0.93617,-,3.31244,46.48218,27.12784,14.35735,0.88962,60.09569,13.99561,5.86076,2.04403,46.6445,0.02061,66.40063,23.2811,1.93456,5.27778
040413,Wiesbadener Straße,18304,1.33427,-,5.80783,45.31868,27.74803,15.82168,1.14137,58.9779,13.18591,15.77682,1.89073,42.09654,0,69.26211,19.10978,0.72759,0.9166
040514,Düsseldorfer Straße,31106,1.79426,-,6.75233,63.78601,41.84402,24.98232,1.23913,56.77519,13.08893,3.36753,1.95818,44.73825,0,61.98422,26.84504,1.06169,-2.71597
040515,Barstraße,15257,1.81509,-,7.72798,66.46208,42.85902,27.78397,6.05769,65.62869,12.09698,3.68082,1.7181,37.0021,0,59.45481,39.42845,4.4305,10.38627
040516,Volkspark Wilmersdorf,34053,1.92672,-,6.51513,55.16776,36.84844,22.40038,1.79868,55.84688,13.57486,4.39802,1.85713,42.0513,0,63.90977,27.06447,1.22643,0.46683
040617,Forst Grunewald,83,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050101,Hakenfelde,24391,3.84453,-,3.02008,41.9466,23.52097,13.0253,4.58889,67.89424,22.47268,10.78431,1.80415,36.35538,37.94842,60.44252,27.80765,3.91842,4.31883
050102,Falkenhagener Feld,40670,5.77152,-,6.67162,59.97149,36.91419,16.96828,3.90591,59.33923,46.16971,21.41273,1.80027,35.45058,52.27686,65.37954,20.58422,1.66643,4.46023
050103,Spandau Mitte,36313,6.36126,-,7.63309,64.11802,42.10889,25.34354,4.18154,62.21884,38.1788,10.97488,1.61185,33.01826,74.38383,55.31344,32.34284,2.50751,4.17462
050204,Brunsbütteler Damm,23412,4.0613,-,3.29728,36.89825,21.21989,9.36699,1.9303,58.91473,33.86598,14.87832,1.9012,38.85388,90.06492,70.78672,19.06805,0.73282,4.21753
050205,Heerstraße Nord,29006,7.82984,-,7.17949,60.17018,40.26064,20.23374,5.67148,60.14653,55.61206,17.69443,1.72185,35.24212,88.76784,61.93132,22.32476,2.40795,7.43162
050206,Wilhelmstadt,37297,4.20126,-,5.7277,55.08949,31.88728,19.45733,6.2838,65.78476,28.56931,6.09312,1.86431,38.54152,85.64764,58.66416,30.34009,3.81437,5.10623
050307,Haselhorst,15560,4.35881,-,5.96919,64.24908,43.54756,18.22622,2.02079,54.72496,36.91171,50.9655,1.71041,32.57314,33.27763,59.58039,20.97736,0.74337,-1.11796
050308,Siemensstadt,13237,4.71014,-,6.55308,66.27517,46.64954,29.22868,3.01524,72.11166,29.34352,0,1.55481,32.45116,86.59817,56.73316,54.08546,1.99839,2.16694
050409,Gatow/Kladow,20056,1.05687,-,0.8343,32.39979,18.34862,9.16933,1.19566,71.17999,13.35347,1.86047,2.06262,47.21265,0,67.23429,24.45585,2.01022,10.39891
060101,Schloßstraße,21917,1.67598,-,4.22153,47.31522,29.15545,15.7047,0.35941,56.85648,14.99833,0.3823,1.94712,42.8826,0,64.73908,21.68839,0.02636,-3.94038
060102,Albrechtstraße,52628,2.65411,-,5.63528,46.86894,29.13468,15.11363,0.96195,61.3905,20.64535,1.58392,1.88016,40.07329,2.28776,64.9257,22.53396,0.36486,-1.84023
060203,Lankwitz,42558,3.09434,-,4.30996,42.2026,25.29724,12.66272,0.99296,59.41733,21.8561,10.76491,1.88954,39.36449,20.69646,66.20382,20.98948,1.34076,2.77556
060204,Ostpreußendamm,35233,2.62346,-,3.51105,42.30977,25.43638,13.19218,1.76959,65.83477,26.73147,2.69942,1.97037,42.24466,21.15914,66.93166,22.62149,1.13522,6.83834
060305,Teltower Damm,34175,1.78033,-,2.42243,39.48424,22.77981,12.34821,2.42096,66.4218,12.01949,0.79216,2.04202,43.82947,0,65.84127,21.25233,2.12493,7.64832
060306,Drakestraße,48441,2.08167,-,2.03198,38.18271,24.89007,13.50096,0.39606,61.00917,14.1269,1.37033,1.93567,43.73706,2.51646,64.91557,25.06641,1.40733,6.16453
060407,Zehlendorf Südwest,26256,0.6729,-,1.86776,30.52443,22.2273,13.3798,2.00547,67.91916,4.25328,3.08225,2.0841,50.31684,0,66.41249,25.14201,1.8052,8.44574
060408,Zehlendorf Nord,42878,0.75342,-,1.69156,36.29805,23.50156,12.72681,1.04008,66.17189,6.74518,0.07311,2.16824,51.82173,0,67.84752,23.35971,2.004,9.96271
070101,Schöneberg Nord,49995,4.0849,-,16.72278,70.19754,50.14301,30.92509,2.11002,64.70474,26.09467,16.32141,1.76024,39.38804,28.9729,61.86043,28.31015,1.6059,0.13673
070202,Schöneberg Süd,50280,2.90939,-,9.81494,55.81231,38.66348,22.70684,1.63848,57.45818,21.64868,7.54091,1.81814,41.22132,37.56762,61.83801,27.65925,1.06607,-1.98662
070303,Friedenau,46380,1.73713,-,5.24112,46.2109,30.96809,16.5028,1.84232,59.60282,17.52959,1.30692,1.92855,42.32408,3.46486,66.26697,22.68093,1.08345,0.08712
070404,Tempelhof,64623,3.72537,-,6.62815,57.5561,36.69282,20.18476,3.15922,63.20914,28.71363,12.75828,1.72166,36.05521,17.59281,62.2219,28.22057,2.15175,1.00322
070505,Mariendorf,51806,3.83174,-,4.63844,57.22384,32.06192,15.9827,2.42495,61.89614,30.75569,6.24052,1.79545,37.18467,42.49508,66.26034,20.57848,1.40157,1.19205
070606,Marienfelde,32227,4.65262,-,5.218,57.67484,34.86207,16.01142,3.01689,68.12016,42.72232,26.53472,1.71785,35.83821,51.44134,65.35839,23.19013,1.99428,6.44198
