id,name,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,name,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
Nummer,Name,"SD: 1,30 %","SD: 0,40 %","SD: 4,43 %","SD: 11,35 %","SD: 0,38 %-Pkt.","SD: 0,23 %-Pkt.","SD: 0,42 %-Pkt.","SD: 1,53 %-P.",Name,1.098,-,3.27904,15.99566,11.50599,7.20289,0.86878,4.12906,8.56784,8.79441,0.10884,2.8342,24.8895,3.17684,3.55003,0.6806,2.71281
01,Mitte,7.58323,2.21538,19.44848,45.12185,-1.30725,-0.48678,-0.41655,-2.84184,Mitte,4.62176,-,11.34267,73.19634,50.81568,32.56024,2.52736,60.46092,30.03521,14.36067,1.64248,35.20938,68.31401,56.12894,33.64849,1.77197,-2.40502
02,Friedrichshain-Kreuzberg,7.03808,2.11304,15.71006,31.63521,-1.25666,-0.55631,-0.88207,-5.02928,Friedrichshain-Kreuzberg,3.91401,-,12.05585,55.4646,41.0098,25.56919,1.86003,59.86626,25.63752,14.18127,1.68023,36.72489,62.87719,57.52922,31.80422,0.51555,-4.14828
03,Pankow,4.87398,1.60501,7.28701,12.64106,-1.14918,-0.44978,-0.50138,-1.76157,Pankow,2.31325,-,2.86319,26.02168,18.48085,11.99856,2.24954,52.63931,13.4455,16.37744,1.85972,39.27155,27.72505,59.55787,26.93176,1.38498,0.1069
04,Charlottenburg-Wilmersdorf,5.41956,1.99528,9.43586,19.97046,-0.71121,-0.38369,-0.11266,-0.98763,Charlottenburg-Wilmersdorf,2.11707,-,7.27733,59.5237,39.63045,24.16096,2.25837,59.12409,15.77078,8.13934,1.89902,42.9201,4.39942,63.01039,27.56657,1.6891,1.33023
05,Spandau,8.43647,2.97662,16.90158,40.14419,-0.44423,-0.0987,-0.03191,-0.80517,Spandau,5.10686,-,5.35667,54.43709,33.8461,17.98101,4.02426,63.10263,36.95499,14.43821,1.78503,36.59286,63.74332,61.74276,26.83109,2.32643,4.76458
06,Steglitz-Zehlendorf,4.21384,1.45331,6.31631,12.84859,-0.71896,-0.35785,0.05403,-0.81023,Steglitz-Zehlendorf,2.08163,-,3.29882,40.22686,25.38953,13.53663,1.18182,62.90115,15.89448,2.77863,1.98201,43.97501,6.14497,65.96699,22.86414,1.28142,4.31295
07,Tempelhof-Schöneberg,6.48437,2.2523,12.96041,28.92283,-1.01978,-0.39306,0.10447,-1.282,Tempelhof-Schöneberg,3.52775,-,6.84565,54.45362,35.04369,19.07324,2.3819,62.4004,27.74298,11.40332,1.80935,39.21975,29.61041,64.60232,24.43652,1.54391,1.62055
08,Neukölln,8.61918,2.72138,20.2591,47.63888,-0.53247,-0.17377,-0.7632,-2.8635,Neukölln,5.58298,-,8.8563,68.3668,43.85079,24.39409,0.90215,63.31982,37.45311,12.28798,1.63326,34.67789,86.48671,63.58977,25.87818,0.21097,-1.68556
09,Treptow-Köpenick,5.44326,1.9853,8.47629,19.52011,-1.25537,-0.54003,0.05943,-1.35437,Treptow-Köpenick,2.90992,-,1.93762,21.98197,12.33412,7.6991,2.54555,60.33732,24.73956,19.90586,1.90817,38.96949,21.23387,64.10039,23.9938,2.17501,2.23488
10,Marzahn-Hellersdorf,6.92823,1.93654,14.92548,35.95753,-1.53374,-0.93111,-1.15974,-4.78967,Marzahn-Hellersdorf,4.25333,-,3.40106,27.96082,16.20747,8.27243,2.39749,66.76355,36.29265,31.17054,1.92041,36.82068,40.88812,67.27604,20.97698,1.04751,2.49346
11,Lichtenberg,6.41714,2.16604,13.00575,30.48033,-1.34085,-0.72245,-0.15277,-3.19256,Lichtenberg,3.36227,-,2.99402,37.71448,22.24455,14.32426,3.89087,70.34891,28.85957,36.06616,1.85488,35.05745,24.33129,61.62593,28.33409,2.65685,3.41625
12,Reinickedorf,7.05829,2.35685,15.3746,37.63273,-0.35187,-0.15367,0.12972,-0.09022,Reinickendorf,3.63064,-,4.07675,52.75099,30.59954,16.23632,2.71348,63.65988,38.72984,18.06266,1.86193,38.53306,50.81609,64.11335,22.91876,1.79439,3.87111
