id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,2930.0,6.38298,2.22222,7.44027,20.1087,-0.82908,-0.14592,0.10494,-1.44819
01011102,Großer Tiergarten,180.0,0,0,0,0,0,0,0,0
01011103,Lützowstraße,4818.0,9.30956,3.11262,18.51391,40.28269,-0.96813,0.13524,1.98567,2.50866
01011104,Körnerstraße,3913.0,9.76714,3.62225,24.61027,63.69983,-0.88293,0.37191,-4.65603,-9.01113
01011105,Nördlicher Landwehrkanal,996.0,2.33161,0.51813,4.01606,8.98876,0.8962,-0.11982,1.13747,-0.60028
01011201,Wilhelmstraße,2078.0,6.42202,1.90039,8.80654,30.73394,0.86274,0.15893,0.78884,-1.49354
01011202,Unter den Linden Nord,472.0,3.94366,0.84507,0.42373,0,-1.39758,-0.63861,-2.05375,-10.41667
01011203,Unter den Linden Süd,854.0,3.7325,0.93313,3.16159,13.63636,0.48575,0.93313,0.04439,4.68114
01011204,Leipziger Straße,5822.0,4.68396,1.13322,7.35143,24.29501,-1.33917,-0.39945,0.57454,1.37366
01011301,Charitéviertel,4902.0,2.98013,0.71319,3.79437,7.67754,-1.01561,-0.13923,0.61186,0.07128
01011302,Oranienburger Straße,12078.0,5.32514,1.15673,6.90512,14.27707,-0.87493,-0.26012,-0.08167,-2.23499
01011303,Alexanderplatzviertel,8141.0,7.00186,2.00776,9.36003,24.5023,-0.6812,-0.10637,-0.01459,-4.56924
01011304,Karl-Marx-Allee,8279.0,7.56193,2.52064,12.3928,40.71703,-1.75345,-0.44232,1.04363,-6.13336
01011305,Heine-Viertel West,6363.0,6.28979,1.83346,7.93651,32.72727,-1.1135,-0.53225,-0.75409,-9.87362
01011306,Heine-Viertel Ost,7857.0,7.14286,2.36318,8.33652,25.67204,-1.18418,-0.0915,0.83923,-1.38861
01011401,Invalidenstraße,14026.0,4.98047,1.17188,5.4399,9.32777,-0.51078,-0.18936,-0.10526,-2.08748
01011402,Arkonaplatz,12025.0,4.6372,1.08684,4.4158,6.54481,-0.50227,-0.05526,-0.82678,-3.03603
