id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
010111,Tiergarten Süd,12837.0,8.24443,2.85862,16.5615,44.84211,-0.79901,0.12559,-0.84664,-3.08942
010112,Regierungsviertel,9226.0,4.95766,1.27791,7.02363,23.88818,-0.63845,-0.14951,0.39719,0.41218
010113,Alexanderplatz,47620.0,6.07034,1.72291,8.33263,22.83887,-1.05283,-0.24286,0.22998,-3.69219
010114,Brunnenstraße Süd,26051.0,4.82198,1.13262,4.96718,8.02213,-0.50834,-0.12837,-0.43965,-2.53688
010221,Moabit West,42146.0,10.24586,3.3957,19.65786,49.63518,-2.17895,-0.24572,0.07268,-1.83191
010222,Moabit Ost,35365.0,9.76273,3.16493,18.88873,47.41628,-1.58903,-0.05792,-0.03998,-2.58372
010331,Osloer Straße,35662.0,14.77225,5.04923,30.37687,70.86356,-2.62906,0.0252,0.64378,-0.54214
010332,Brunnenstraße Nord,35568.0,13.75224,4.52028,30.52182,68.43615,-2.88773,-0.34903,-0.27513,-1.88859
010441,Parkviertel,42017.0,12.00254,3.92944,19.69203,55.76136,-1.95787,-0.2254,0.77961,0.7187
010442,Wedding Zentrum,53482.0,13.42933,4.47562,27.79066,70.6045,-2.46898,-0.33438,-0.25822,-0.76403
020101,Südliche Friedrichstadt,39238.0,15.65366,5.93309,35.41465,72.3526,-0.12629,0.43179,-1.48126,-4.19767
020202,Tempelhofer Vorstadt,61566.0,8.36671,2.74968,14.20427,31.66244,-0.75242,0.08672,-1.56557,-5.59696
020303,Nördliche Luisenstadt,22517.0,12.40994,4.16739,26.1669,55.61905,-0.6129,0.16857,-1.39448,-5.28782
020304,Südliche Luisenstadt,26245.0,9.72958,3.13446,18.45685,43.10184,-1.03995,-0.12347,-1.41392,-5.50362
020405,Karl-Marx-Allee Nord,22429.0,7.20113,2.20338,9.67943,27.20524,-1.6453,-0.35936,-0.71279,-6.12809
020407,Karl-Marx-Allee Süd,23260.0,7.3134,2.16448,10.69218,31.45581,-0.81882,-0.10767,-0.62723,-4.51509
020506,Frankfurter Allee Nord,27298.0,8.20643,2.47071,10.40736,23.58793,-0.92303,-0.02827,-0.85575,-2.9719
020508,Frankfurter Allee Süd FK,46918.0,7.4662,2.15219,9.94927,22.98872,-0.91342,-0.13075,-1.04307,-4.86887
030101,Buch,13157.0,11.51114,4.38403,14.09896,42.71961,-1.61529,-0.84481,-0.00051,-2.88708
