id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
010111,Tiergarten Süd,12837,4.83206,26.22951,14.9687,82.94153,55.22318,2.83607,22.38302,5.11431,22.14692,51.56035,40.6442,2.8233,-3.49403
010112,Regierungsviertel,9226,2.5,27.5969,3.24074,69.78947,38.59744,1.65068,12.09239,32.25032,0,59.40118,32.08676,2.68981,-0.61115
010113,Alexanderplatz,47620,2.67705,31.2211,2.68354,52.86833,30.52919,2.05455,15.0319,26.09033,21.43637,58.11964,31.04673,1.50026,-3.84333
010114,Brunnenstraße Süd,26051,2.31916,28.4522,5.42687,35.72711,29.55357,2.54598,5.21525,3.62197,64.8574,45.60471,37.6543,1.65571,-5.2431
010221,Moabit West,42146,4.75085,30.80678,12.17962,67.32404,43.87842,0.77652,32.63081,1.60499,75.09372,53.02714,33.98485,1.33342,-4.14911
010222,Moabit Ost,35365,4.51572,29.35721,12.47796,72.37716,45.93525,0.38831,31.30379,4.14304,50.15693,56.09025,32.17319,1.08726,-1.24138
010331,Osloer Straße,35662,7.78196,32.15347,13.90289,81.63146,57.07476,1.2337,46.49891,12.47728,100,49.89529,36.69517,2.24016,-2.42644
010332,Brunnenstraße Nord,35568,7.73663,26.03199,13.20954,86.77697,60.40542,0.21399,49.33165,30.1818,100,57.69566,27.77356,0.75945,-1.5523
010441,Parkviertel,42017,6.04183,36.62623,7.06949,66.58716,40.04094,1.54519,35.62376,18.64156,88.29521,55.05213,31.14215,1.72123,-3.0013
010442,Wedding Zentrum,53482,6.35229,29.2517,15.21377,84.82292,59.81265,0.47663,41.01859,7.1736,99.94578,47.19285,41.92175,2.54494,-2.9367
020101,Südliche Friedrichstadt,39238,9.93567,26.57327,19.61794,89.1101,67.01157,0.28205,53.31056,24.15802,73.78307,58.16612,27.69583,0.84051,-0.93226
020202,Tempelhofer Vorstadt,61566,5.30487,28.85081,12.68116,55.32791,39.19534,0.81032,25.45192,4.65844,67.65747,55.87948,32.13108,1.09182,-3.45242
020303,Nördliche Luisenstadt,22517,8.8968,28.5124,23.58771,75.3838,57.44104,-0.34254,38.49452,14.13126,98.37456,59.97197,29.67634,0.57458,-1.65623
020304,Südliche Luisenstadt,26245,7.321,28.94965,16.47184,63.81029,46.58411,1.03276,27.55661,1.18866,99.08935,55.89178,33.4766,0.54433,-5.08379
020405,Karl-Marx-Allee Nord,22429,4.2735,35.30396,2.2091,39.00544,19.30982,1.68821,23.55469,38.54207,35.42289,55.41446,28.57112,1.33621,-5.97993
020407,Karl-Marx-Allee Süd,23260,3.65951,33.53933,3.2295,43.92705,24.58298,2.08645,21.46355,32.83967,13.8908,54.01483,30.03589,1.85576,-4.33691
020506,Frankfurter Allee Nord,27298,4.62287,32.96296,8.8172,28.3225,20.52531,2.46186,17.08333,6.60595,85.77551,43.41377,39.75762,1.15208,-6.70075
020508,Frankfurter Allee Süd FK,46918,4.23945,32.80554,5.93939,27.83541,21.57594,2.24273,14.71304,8.39016,65.53135,43.44025,40.31259,1.2897,-5.83531
030101,Buch,13157,9.35065,42.70404,1.80234,10.41991,7.3269,0.81941,19.31034,44.07503,62.76507,59.98567,26.22439,0.39667,1.61228
030202,Blankenfelde/Niederschönhausen,25675,3.87635,27.08058,1.5833,14.75083,8.84129,0.8159,10.00918,3.01875,25.16845,58.30995,23.69838,2.10125,4.15556
030203,Buchholz,16875,3.42657,24.07318,2.98826,15.84978,9.37481,0.34252,25.96567,0.10667,51.77481,64.05265,19.09496,0.83366,3.48605
030304,Karow,18608,3.11005,25.88496,1.73393,11.51786,6.99162,0.20096,20.19231,0.02295,24.86565,66.3754,18.67643,-0.85554,2.04025
030307,Blankenburg/Heinersdorf/Märchenland,14176,2.93624,22.31405,0.8533,10.81633,5.34001,0.46613,12.84722,3.34011,42.01467,72.14442,14.0811,0.68857,6.15988
030405,Schönholz/Wilhelmsruh/Rosenthal,17113,2.51489,21.35729,1.80473,22.147,12.27722,0.24382,18.19505,1.13678,5.5338,64.59764,20.40143,0.94388,3.48862
030406,Pankow Zentrum,32896,3.80304,33.0235,2.14002,15.63524,9.14093,0.83824,14.03763,26.44592,7.3474,57.99506,25.00736,1.74386,0.72063
030408,Pankow Süd,32163,4.53479,40.13076,2.52129,14.71438,9.27152,1.09518,15.15878,22.5054,31.37145,58.5157,24.27225,1.21848,-2.14573
030509,Weißensee,33426,5.75613,34.70588,2.80627,16.27363,9.87255,1.05007,17.65016,20.55897,19.48184,53.79783,28.35157,1.45739,-0.19349
030510,Weißensee Ost,15154,6.899,41.43167,1.9184,14.22042,8.50601,1.27446,28.1471,24.18554,4.47407,59.93096,24.41999,1.33205,0.93085
030611,Prenzlauer Berg Nordwest,23962,2.78681,30.27027,5.33246,26.95435,21.38386,2.92912,7.83636,6.11401,93.02229,47.44273,37.09615,1.63038,-4.46406
030612,Prenzlauer Berg Nord,26041,3.83757,38.37812,3.40483,27.28205,16.43562,2.03893,12.5092,21.08522,57.69364,52.61203,31.22486,1.38104,-6.92654
030613,Helmholtzplatz,21490,2.43902,32.18021,9.45946,27.89676,23.20614,2.30085,8.23529,5.68303,11.86598,47.78548,35.36647,1.00357,-3.72033
030614,Prenzlauer Berg Ost,24622,6.01734,36.76688,1.75636,25.81967,13.01681,1.37281,22.8385,27.92755,57.71261,57.99026,24.82993,2.28463,0.46704
030715,Prenzlauer Berg Südwest,24637,1.14351,30.76117,5.5,35.08731,27.81589,3.56552,5.76881,9.19176,23.29829,50.23134,34.47686,0.99438,-4.95019
030716,Prenzlauer Berg Süd,30942,3.05184,29.83984,4.45604,29.08756,21.92166,1.99493,10.84675,16.19307,43.83686,52.9892,32.50797,0.98832,-3.07068
040101,Charlottenburg Nord,18296,6.53487,41.48641,6.95247,66.81699,40.40227,2.25733,40.73437,44.02579,30.493,62.44989,24.19421,2.04139,2.06707
040202,Heerstraße,12620,0.23847,24.77314,1.56545,37.52075,25.82409,0.95725,4.32517,1.90401,0.91918,65.48817,23.00272,1.82402,8.1008
040203,Westend,26324,1.97479,31.18594,3.28427,48.56775,27.69716,1.67489,11.65964,4.20718,0.80155,63.93719,25.65414,1.90082,1.98175
040304,Schloß Charlottenburg,23305,3.75151,31.44712,12.974,56.25379,40.85818,0.17328,19.75667,17.89545,6.9985,59.85565,26.31224,1.23261,-0.78857
040305,Mierendorffplatz,14516,3.48348,33.57532,8.86836,63.62007,39.37035,0.75823,22.15927,4.50867,53.52714,59.29299,27.87272,1.41789,-7.33408
040306,Otto-Suhr-Allee,25651,3.37553,31.41571,11.33896,70.06557,45.38614,0.84304,20.21841,9.91933,12.40497,59.88822,27.16173,1.16758,-2.12713
040307,Neue Kantstraße,23074,3.27395,31.20084,7.13466,51.87128,35.93222,0.4189,12.77335,1.78098,0.74109,61.70882,25.77349,1.22128,-3.22202
040308,Kantstraße,20691,3.21101,32.18884,9.27687,64.33915,45.61887,1.48503,15.68895,1.88111,3.15596,59.81027,28.29798,1.61851,-2.73344
040309,Kurfürstendamm,14710,2.21465,28.57143,7.50323,59.31696,43.08634,1.71656,9.19866,1.29945,0,61.80173,28.09216,0.85808,-3.84223
040310,Halensee,14349,2.55102,30.02887,6.25945,55.63565,35.80737,1.7587,13.30117,0.86649,0,62.70025,24.14848,1.51869,0.31756
040411,Grunewald,18158,1.29199,33.37802,3.36601,54.20394,32.14561,1.76209,10.07653,3.08834,0.13768,62.51493,25.30423,2.02136,2.306
040412,Schmargendorf,13920,1.71717,31.15657,2.79704,43.0956,24.0158,1.15069,13.19797,5.87413,0.07184,63.51402,22.74921,3.06846,7.98708
040413,Wiesbadener Straße,18097,1.90813,36.2782,5.2289,41.10775,26.12588,-0.03341,14.31435,15.50161,0,67.41483,20.48017,0.67615,-0.26452
040514,Düsseldorfer Straße,29471,3.02905,33.5074,5.89104,60.05997,38.24777,1.23833,13.38039,3.3201,0,62.18393,24.91876,1.13216,-2.2672
040515,Barstraße,13521,2.8492,36.20253,6.70654,56.08939,35.77398,1.11154,18.71302,3.57321,0,61.25823,27.26756,0.68154,-0.67545
040516,Volkspark Wilmersdorf,32515,2.63806,33.05755,5.625,49.96374,33.26772,0.96998,15.06667,4.24791,0,62.59034,24.79906,1.10484,0.12277
040617,Forst Grunewald,71,0,0,0,0,0,0,0,0,0,0,0,0,0
050101,Hakenfelde,22777,6.29956,33.89741,2.31295,34.40129,18.17184,0.50798,28.33426,0.3475,34.49093,60.86006,24.46456,1.415,-1.78098
050102,Falkenhagener Feld,39236,8.32029,36.64659,5.88299,51.71819,31.27485,1.36147,44.41115,16.45302,52.0262,62.70779,23.67929,1.45219,5.0365
050103,Spandau Mitte,33365,9.94041,38.51103,6.0371,56.71922,35.6841,2.09157,38.02041,10.06093,71.50607,53.50339,31.7786,3.05326,1.68561
050204,Brunsbütteler Damm,23083,4.81795,29.56596,2.59361,27.99781,17.63202,0.667,27.31776,14.51389,90.85041,70.8163,17.70622,0.39145,3.4848
050205,Heerstraße Nord,26704,9.34454,33.97476,6.14601,50.17754,33.06995,1.339,56.62957,13.72432,88.1441,59.7729,23.16548,0.91456,2.86071
050206,Wilhelmstadt,34240,7.48648,39.44037,4.41637,45.38681,24.25526,1.42762,34.4021,4.81111,84.72839,57.88272,26.20498,1.99739,-0.3043
050307,Haselhorst,14111,6.96072,31.45322,3.99727,60.73118,38.79952,1.00161,39.12371,43.39382,32.99554,56.25232,27.19855,1.72199,0.22826
050308,Siemensstadt,11854,4.71976,31.89448,5.48359,58.51888,39.05855,1.08516,27.8648,0,85.70103,58.58009,56.92036,-0.05809,-4.26868
050409,Gatow/Kladow,17935,1.18133,19.73958,0.45802,22.46125,12.76275,0.42302,6.62824,1.98398,0,71.41205,17.04596,1.49864,11.72657
060101,Schloßstraße,21535,2.62391,27.74194,3.11983,46.25205,28.21453,0.99116,15.22647,0.37585,0,62.22858,23.50876,1.32854,-0.6379
060102,Albrechtstraße,51522,3.43868,32.68293,4.93723,44.72513,27.18062,0.542,20.09146,1.35063,3.28015,62.03082,23.39343,0.82041,-1.63729
060203,Lankwitz,41601,4.24046,35.23357,3.38858,37.42775,23.13887,0.64435,20.69274,8.24837,21.06199,64.54857,21.09593,1.48055,1.79371
060204,Ostpreußendamm,34900,3.31412,26.86244,2.89963,37.2773,23.58166,1.11106,18.1457,2.63201,21.67049,65.74184,21.81101,1.16701,1.87636
060305,Teltower Damm,32785,1.83639,32.42386,1.89026,35.64701,20.30502,0.79864,10,0.9056,0,66.88786,20.34698,0.88808,3.24264
060306,Drakestraße,46129,2.24972,23.92106,1.75964,34.37124,23.211,0.45399,11.26403,0.87521,3.16937,64.02809,22.80496,1.35781,5.51027
060407,Zehlendorf Südwest,25665,1.02545,23.222,1.67407,28.67166,21.12994,0.41082,3.86703,2.42253,0,63.39463,26.13972,1.15754,6.76551
060408,Zehlendorf Nord,41609,0.39164,24.38356,1.28397,34.2052,22.62972,0.45793,3.98908,0.07418,0,66.57164,18.9122,0.90317,6.31243
070101,Schöneberg Nord,47001,5.0638,29.96791,15.81792,69.81726,47.10538,-2.72697,28.93557,15.61433,27.46325,60.44107,29.81932,-1.29493,-2.39583
070202,Schöneberg Süd,47750,4.28629,30.51586,8.66355,56.4931,35.86387,-2.26284,23.77534,7.24699,37.09738,58.72088,29.69472,-0.59461,-3.55206
070303,Friedenau,44260,3.26087,29.33504,4.92698,44.95645,28.70312,-1.30892,20.11854,1.30719,3.47944,63.75758,23.35148,-0.60672,-1.0733
070404,Tempelhof,59409,5.64184,34.66667,5.43797,54.38144,32.14496,-0.0499,29.9729,12.20413,14.49107,60.53596,24.82102,0.85915,-1.15915
070505,Mariendorf,49916,5.58292,31.74421,3.76651,51.86679,27.77666,0.25595,30.19059,5.86349,42.74581,64.24153,21.15882,0.97606,1.32773
070606,Marienfelde,30530,5.1027,29.95488,4.4004,54.04367,32.30593,2.42839,30.91106,22.57542,50.26531,64.9868,24.51906,1.25411,5.21413
070707,Lichtenrade,49562,4.23433,29.75997,3.07787,32.99897,18.42137,0.66339,30.7398,11.00575,36.40692,68.15715,19.27331,0.72194,5.67942
080101,Schillerpromenade,31322,7.45387,31.22834,16.35112,80.71701,51.6474,0.1458,39.07136,4.34605,99.97765,49.33715,35.31724,2.24627,-5.1314
080102,Neuköllner Mitte/Zentrum,37350,6.69223,30.73516,16.45467,84.69388,57.22088,0.04494,40.43367,13.15532,99.98929,50.82562,36.18531,2.36463,-4.01421
080103,Reuterstraße,39384,5.46336,30.60719,13.93135,72.35996,46.83628,1.0602,32.67511,2.2024,100,52.57892,33.87014,1.35561,-6.95911
