id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,2930.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.38298,2.22222,7.44027,20.1087,-0.82908,-0.14592,0.10494,-1.44819,-0.45283,-0.37103,-0.5704,-0.50935,-1.90361,-0.49038,mittel,-0.09022,2930.0,4.0107,20.14388,7.92393,78.32512,49.11263,6.67895,9.93521,0.70126,0.0,54.45894,40.8362,4.78139,2.57937
01011103,Lützowstraße,4818.0,2.0,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",9.30956,3.11262,18.51391,40.28269,-0.96813,0.13524,1.98567,2.50866,0.33357,0.27306,0.71517,0.44329,1.76509,0.4547,mittel,-0.23786,4818.0,4.0293,28.64198,17.27019,84.87141,54.08883,1.93884,24.22031,9.24051,14.38356,55.38728,40.92521,0.55767,-4.42299
01011104,Körnerstraße,3913.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",9.76714,3.62225,24.61027,63.69983,-0.88293,0.37191,-4.65603,-9.01113,0.45653,0.64171,1.42291,1.54907,4.07022,1.04852,niedrig,-0.1474,3913.0,6.52174,24.63343,33.06452,85.37313,63.71071,0.40845,33.87937,7.7823,53.69282,47.8156,37.64475,2.37706,-3.93701
01011105,Nördlicher Landwehrkanal,996.0,1.0,hoch,-,negativ,1-,"Status hoch, Dynamik negativ",2.33161,0.51813,4.01606,8.98876,0.8962,-0.11982,1.13747,-0.60028,-1.54146,-1.60372,-0.96793,-1.03445,-5.14756,-1.32605,hoch,1.74151,996.0,0.0,31.70732,3.7037,67.88991,50.3012,4.54873,3.56083,0.0,0.0,38.06584,53.78067,11.43292,-5.95238
01011201,Wilhelmstraße,2078.0,2.0,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",6.42202,1.90039,8.80654,30.73394,0.86274,0.15893,0.78884,-1.49354,-0.44233,-0.60383,-0.41179,-0.00762,-1.46557,-0.37754,mittel,1.70599,2078.0,4.71014,26.74419,3.59281,79.92701,46.34264,0.77989,14.00329,11.46927,0.0,66.2531,28.14369,1.6079,4.27177
01011202,Unter den Linden Nord,472.0,1.0,hoch,+,positiv,1+,"Status hoch, Dynamik positiv",3.94366,0.84507,0.42373,0,-1.39758,-0.63861,-2.05375,-10.41667,-1.10829,-1.36722,-1.38497,-1.45891,-5.31939,-1.37031,hoch,-0.69381,472.0,0.0,32.43243,0.0,60.41667,35.59322,6.53153,0.0,10.8642,0.0,51.21413,39.09797,4.03195,-8.08081
01011203,Unter den Linden Süd,854.0,1.0,hoch,-,negativ,1-,"Status hoch, Dynamik negativ",3.7325,0.93313,3.16159,13.63636,0.48575,0.93313,0.04439,4.68114,-1.16503,-1.30353,-1.06712,-0.81498,-4.35067,-1.12076,hoch,1.30573,854.0,0.0,38.33333,0.0,70.0,43.91101,3.20977,5.61798,45.09804,0.0,51.10565,42.45081,2.35559,-2.08333
01011204,Leipziger Straße,5822.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.68396,1.13322,7.35143,24.29501,-1.33917,-0.39945,0.57454,1.37366,-0.90937,-1.15879,-0.58071,-0.31167,-2.96054,-0.76266,mittel,-0.63179,5822.0,1.83299,25.79787,3.45324,65.42751,35.29715,1.40955,13.73355,39.5689,0.0,58.81108,31.47322,3.04111,-1.87192
01011301,Charitéviertel,4902.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.98013,0.71319,3.79437,7.67754,-1.01561,-0.13923,0.61186,0.07128,-1.3672,-1.46262,-0.99366,-1.09637,-4.91985,-1.26739,hoch,-0.28826,4902.0,1.16279,22.6601,2.85714,42.38179,32.17054,2.50419,4.7402,8.13008,58.56793,44.2591,45.64932,2.05779,-2.03632
01011302,Oranienburger Straße,12078.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.32514,1.15673,6.90512,14.27707,-0.87493,-0.26012,-0.08167,-2.23499,-0.73708,-1.14178,-0.63253,-0.78473,-3.29611,-0.8491,mittel,-0.1389,12078.0,2.39693,31.53078,5.3076,40.64865,31.38765,2.45933,7.22749,23.06497,32.09141,53.91798,33.21713,0.58096,-5.25551
