id,name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,2930.0,-0.45283,-0.37103,-0.5704,-0.50935,-1.90361,-0.49038,mittel,-0.09022
01011103,Lützowstraße,4818.0,0.33357,0.27306,0.71517,0.44329,1.76509,0.4547,mittel,-0.23786
01011104,Körnerstraße,3913.0,0.45653,0.64171,1.42291,1.54907,4.07022,1.04852,niedrig,-0.1474
01011105,Nördlicher Landwehrkanal,996.0,-1.54146,-1.60372,-0.96793,-1.03445,-5.14756,-1.32605,hoch,1.74151
01011201,Wilhelmstraße,2078.0,-0.44233,-0.60383,-0.41179,-0.00762,-1.46557,-0.37754,mittel,1.70599
01011202,Unter den Linden Nord,472.0,-1.10829,-1.36722,-1.38497,-1.45891,-5.31939,-1.37031,hoch,-0.69381
01011203,Unter den Linden Süd,854.0,-1.16503,-1.30353,-1.06712,-0.81498,-4.35067,-1.12076,hoch,1.30573
01011204,Leipziger Straße,5822.0,-0.90937,-1.15879,-0.58071,-0.31167,-2.96054,-0.76266,mittel,-0.63179
01011301,Charitéviertel,4902.0,-1.3672,-1.46262,-0.99366,-1.09637,-4.91985,-1.26739,hoch,-0.28826
01011302,Oranienburger Straße,12078.0,-0.73708,-1.14178,-0.63253,-0.78473,-3.29611,-0.8491,mittel,-0.1389
01011303,Alexanderplatzviertel,8141.0,-0.28653,-0.52617,-0.34753,-0.30188,-1.46211,-0.37665,mittel,0.06678
01011304,Karl-Marx-Allee,8279.0,-0.13603,-0.15516,0.00455,0.4638,0.17716,0.04564,mittel,-1.07163
01011305,Heine-Viertel West,6363.0,-0.47787,-0.65225,-0.51279,0.08651,-1.5564,-0.40094,mittel,-0.39219
01011306,Heine-Viertel Ost,7857.0,-0.24864,-0.26906,-0.46635,-0.24665,-1.2307,-0.31704,mittel,-0.46724
01011401,Invalidenstraße,14026.0,-0.82969,-1.13082,-0.80263,-1.01844,-3.78158,-0.97416,mittel,0.24771
01011402,Arkonaplatz,12025.0,-0.92193,-1.19233,-0.92152,-1.14986,-4.18564,-1.07825,hoch,0.25675
01022101,Huttenkiez,3142.0,1.2249,0.86873,1.24831,2.03608,5.37803,1.38542,niedrig,-1.69277
01022102,Beusselkiez,5849.0,1.47581,1.31738,1.6205,1.52113,5.93482,1.52885,sehr niedrig,-1.81486
01022104,Emdener Straße,17089.0,0.54409,0.58092,0.85386,0.91552,2.89439,0.74561,mittel,-2.06791
01022105,Zwinglistraße,4887.0,0.91708,0.54576,1.53527,1.74204,4.74015,1.2211,niedrig,-2.08603
01022106,Elberfelder Straße,10959.0,-0.25175,-0.36422,-0.0602,-0.29748,-0.97365,-0.25082,mittel,-0.28666
01022201,Stephankiez,10000.0,0.59813,0.25815,0.85983,1.10292,2.81903,0.7262,mittel,-1.81563
01022202,Heidestraße,1492.0,1.26179,1.28428,2.58863,1.83707,6.97176,1.79597,sehr niedrig,-0.97874
01022203,Lübecker Straße,6751.0,1.22165,1.24297,1.60444,1.21522,5.28427,1.36127,niedrig,-2.29221
01022204,Thomasiusstraße,5677.0,-0.0309,-0.0373,-0.05585,-0.25146,-0.37552,-0.09674,mittel,-0.80303
01022205,Zillesiedlung,3063.0,0.70725,0.62533,1.79506,1.19009,4.31772,1.11228,niedrig,-0.47379
01022206,Lüneburger Straße,3016.0,0.07226,-0.05518,0.017,-0.00313,0.03095,0.00797,mittel,0.99861
01022207,Hansaviertel,5366.0,-0.41711,-0.59566,-0.31564,-0.1673,-1.49572,-0.38531,mittel,0.77261
01033101,Soldiner Straße,24632.0,1.98154,1.89956,2.2034,1.91847,8.00297,2.06162,sehr niedrig,-2.18022
01033102,Gesundbrunnen,11030.0,1.40535,1.17775,1.84443,1.81154,6.23908,1.60723,sehr niedrig,-1.68036
01033201,Brunnenstraße,12778.0,1.51128,1.21926,2.4253,1.79666,6.9525,1.79101,sehr niedrig,-1.58703
01033202,Humboldthain Süd,9611.0,1.09811,0.92219,1.38753,1.37436,4.78219,1.23192,niedrig,-1.66169
01033203,Humboldthain Nordwest,13179.0,1.82986,1.60387,2.32901,1.99825,7.76099,1.99929,sehr niedrig,-3.36471
01044101,Rehberge,19210.0,1.02883,0.82664,1.03213,1.23215,4.11974,1.06127,niedrig,-1.32416
01044102,Schillerpark,15069.0,1.11103,0.96388,0.59124,1.08118,3.74733,0.96534,mittel,-0.89254
01044103,Westliche Müllerstraße,7738.0,1.03631,0.78945,0.9123,1.19126,3.92931,1.01222,niedrig,-1.85829
01044201,Reinickendorfer Straße,22224.0,1.88357,1.66451,2.29404,2.0992,7.94132,2.04574,sehr niedrig,-1.62536
01044202,Sparrplatz,15894.0,0.77523,0.55825,1.15006,1.50637,3.98991,1.02783,niedrig,-2.00068
01044203,Leopoldplatz,15364.0,1.56447,1.47806,1.73036,1.81552,6.58841,1.69722,sehr niedrig,-1.93168
02010101,Askanischer Platz,6025.0,1.27477,1.52618,1.96288,1.61692,6.38075,1.64373,sehr niedrig,0.69786
02010102,Mehringplatz,12831.0,1.74551,2.03025,2.62741,1.87351,8.27668,2.13213,sehr niedrig,-0.29102
02010103,Moritzplatz,15351.0,2.6281,2.92499,2.92717,2.14415,10.6244,2.73692,sehr niedrig,1.2305
02010104,Wassertorplatz,5031.0,2.01918,2.23569,2.89711,1.94451,9.09649,2.34332,sehr niedrig,1.03356
02020202,Rathaus Yorckstraße,5650.0,0.04249,0.02677,0.11511,-0.0681,0.11626,0.02995,mittel,-0.00164
02020203,Viktoriapark,10169.0,-0.08096,-0.23019,-0.04137,-0.20019,-0.55272,-0.14238,mittel,0.05853
02020204,Urbanstraße,11894.0,-0.00639,0.07842,0.05238,-0.16831,-0.0439,-0.01131,mittel,-0.17044
02020205,Chamissokiez,14827.0,-0.08725,-0.23271,0.0355,-0.21901,-0.50347,-0.1297,mittel,-0.02389
02020206,Graefekiez,18748.0,0.36652,0.28757,0.63715,0.4839,1.77513,0.45729,mittel,0.0786
02030301,Oranienplatz,9295.0,1.3858,1.30127,1.96682,1.42903,6.08292,1.567,sehr niedrig,-0.4382
02030302,Lausitzer Platz,13222.0,1.01239,0.84931,1.34831,0.98055,4.19056,1.07952,niedrig,0.54317
02030401,Reichenberger Straße,14933.0,0.46637,0.27465,0.73719,0.62347,2.10167,0.5414,mittel,-0.15011
02030402,Wrangelkiez,11312.0,0.42042,0.30738,0.67074,0.51405,1.9126,0.4927,mittel,-0.52771
02040501,Barnimkiez,5324.0,0.35997,0.46943,0.15982,0.79643,1.78566,0.46,mittel,-0.96307
02040502,Friedenstraße,6834.0,-0.11488,-0.33864,-0.23314,-0.04439,-0.73105,-0.18832,mittel,-1.68713
02040503,Richard-Sorge-Viertel,10271.0,-0.52793,-0.73419,-0.60565,-0.73511,-2.60289,-0.67052,mittel,-0.44674
02040701,Andreasviertel,12236.0,-0.06714,-0.17413,0.06586,0.67631,0.5009,0.12903,mittel,-0.21894
02040702,Weberwiese,10433.0,-0.36075,-0.67215,-0.56622,-0.77309,-2.37221,-0.6111,mittel,0.33236
02040703,Wriezener Bahnhof/Entwicklungsgebiet,591.0,0.14754,-0.09399,0.84448,1.54608,2.44411,0.62962,mittel,-6.6326
02050601,Hausburgviertel,8580.0,0.11639,-0.17332,-0.22182,-0.24842,-0.52717,-0.1358,mittel,-0.17336
02050602,Samariterviertel,18718.0,-0.00014,-0.19974,-0.22783,-0.37777,-0.80549,-0.2075,mittel,-0.20221
02050801,Traveplatz,18227.0,0.07154,-0.16277,-0.01063,0.04028,-0.06157,-0.01586,mittel,-0.2053
