id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,2930.0,4.0107,20.14388,7.92393,78.32512,49.11263,6.67895,9.93521,0.70126,0.0,54.45894,40.8362,4.78139,2.57937
01011102,Großer Tiergarten,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01011103,Lützowstraße,4818.0,4.0293,28.64198,17.27019,84.87141,54.08883,1.93884,24.22031,9.24051,14.38356,55.38728,40.92521,0.55767,-4.42299
01011104,Körnerstraße,3913.0,6.52174,24.63343,33.06452,85.37313,63.71071,0.40845,33.87937,7.7823,53.69282,47.8156,37.64475,2.37706,-3.93701
01011105,Nördlicher Landwehrkanal,996.0,0.0,31.70732,3.7037,67.88991,50.3012,4.54873,3.56083,0.0,0.0,38.06584,53.78067,11.43292,-5.95238
01011201,Wilhelmstraße,2078.0,4.71014,26.74419,3.59281,79.92701,46.34264,0.77989,14.00329,11.46927,0.0,66.2531,28.14369,1.6079,4.27177
01011202,Unter den Linden Nord,472.0,0.0,32.43243,0.0,60.41667,35.59322,6.53153,0.0,10.8642,0.0,51.21413,39.09797,4.03195,-8.08081
01011203,Unter den Linden Süd,854.0,0.0,38.33333,0.0,70.0,43.91101,3.20977,5.61798,45.09804,0.0,51.10565,42.45081,2.35559,-2.08333
01011204,Leipziger Straße,5822.0,1.83299,25.79787,3.45324,65.42751,35.29715,1.40955,13.73355,39.5689,0.0,58.81108,31.47322,3.04111,-1.87192
01011301,Charitéviertel,4902.0,1.16279,22.6601,2.85714,42.38179,32.17054,2.50419,4.7402,8.13008,58.56793,44.2591,45.64932,2.05779,-2.03632
01011302,Oranienburger Straße,12078.0,2.39693,31.53078,5.3076,40.64865,31.38765,2.45933,7.22749,23.06497,32.09141,53.91798,33.21713,0.58096,-5.25551
01011303,Alexanderplatzviertel,8141.0,3.29531,37.29128,4.4843,57.83784,32.72325,2.46232,14.82739,48.06464,20.00983,57.17755,31.46978,0.31832,-9.73243
01011304,Karl-Marx-Allee,8279.0,2.90456,36.02058,2.03729,67.53813,29.1098,1.83974,33.50036,45.6673,0.0,68.43883,18.78942,1.32189,-0.60786
01011305,Heine-Viertel West,6363.0,1.86567,29.67914,1.49408,60.63269,26.18262,1.43661,17.59443,10.5492,1.21012,63.77187,29.64123,3.05746,4.22141
01011306,Heine-Viertel Ost,7857.0,3.56083,27.05061,2.08754,61.20996,30.92784,1.50969,17.12707,13.76251,22.33677,58.40202,32.59457,2.82789,-4.12839
01011401,Invalidenstraße,14026.0,2.53521,29.51977,5.10083,36.48972,29.67346,1.97684,6.05952,3.85548,59.71767,47.64007,36.49458,1.2686,-6.28082
01011402,Arkonaplatz,12025.0,2.01072,27.21311,5.83832,34.84513,29.41372,3.21428,4.26731,3.35289,70.85239,43.20467,39.02814,2.11464,-4.21765
01022101,Huttenkiez,3142.0,4.56432,38.75598,15.80882,78.94737,45.89433,2.75718,32.22106,1.61374,100.0,45.83884,42.66938,2.68621,-1.21469
01022102,Beusselkiez,5849.0,7.12719,32.98097,18.0,78.87324,54.55633,0.2142,37.4882,2.0029,100.0,46.79935,44.56349,2.22464,-6.60698
01022103,Westhafen,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01022104,Emdener Straße,17089.0,4.23692,30.8026,14.59093,69.15767,44.87097,0.11079,31.53272,2.74013,100.0,53.13152,32.73146,0.7214,-4.22903
01022105,Zwinglistraße,4887.0,5.39811,30.86124,16.7364,81.76101,54.20503,0.82102,40.19868,0.0,100.0,51.13025,37.0352,2.01407,-6.83382
01022106,Elberfelder Straße,10959.0,3.63798,28.21833,5.75793,47.6,31.07035,1.03403,23.06825,0.29276,4.27046,59.25362,26.40967,1.02885,-2.07413
01022201,Stephankiez,10000.0,4.62725,29.50237,14.0553,72.4236,45.24,0.03823,33.70399,0.26297,99.97,50.57074,35.56131,1.40728,-5.64415
01022202,Heidestraße,1492.0,8.66142,31.03448,16.44737,85.15406,62.26542,-0.32364,55.33769,14.03226,100.0,61.42241,24.43358,2.04926,6.19281
01022203,Lübecker Straße,6751.0,5.34274,31.20464,16.97531,84.11067,57.02859,1.71796,39.7211,13.11324,41.47534,55.44336,30.90161,3.39401,3.73708
01022204,Thomasiusstraße,5677.0,4.03509,29.82063,7.67635,52.69886,34.91281,2.28177,20.87912,0.11306,6.79937,59.19382,31.37537,1.30705,-4.47725
01022205,Zillesiedlung,3063.0,5.44959,27.41935,20.44199,83.07427,55.92556,0.00897,38.70602,18.09257,100.0,58.70014,30.76089,-0.43918,-1.66492
01022206,Lüneburger Straße,3016.0,3.83275,30.17544,8.75912,62.70396,37.2679,0.43893,22.1831,0.0,0.0,58.48464,26.72771,1.43216,3.50914
01022207,Hansaviertel,5366.0,1.82328,24.85714,8.70293,57.92453,39.56392,-2.31085,13.10044,1.23008,0.0,59.56547,34.15983,-1.93511,-3.56528
01033101,Soldiner Straße,24632.0,7.86172,34.55378,14.90515,81.39727,57.06398,1.57819,46.5166,14.50421,100.0,48.60044,37.97605,2.96401,-1.42869
01033102,Gesundbrunnen,11030.0,7.59569,26.32067,11.72007,82.19043,57.09882,0.47653,46.45871,7.96443,100.0,52.76895,33.91798,0.66442,-4.74323
01033201,Brunnenstraße,12778.0,8.69806,21.59017,16.47799,89.91402,65.40147,-0.23799,56.07792,56.77831,100.0,60.99907,23.53509,-0.19695,-0.86238
01033202,Humboldthain Süd,9611.0,6.34058,27.05515,8.91648,83.32334,53.70929,0.00302,42.92605,31.03905,100.0,60.07944,24.14775,1.50204,0.23831
01033203,Humboldthain Nordwest,13179.0,7.63711,30.33626,14.96006,85.35469,60.44465,0.76122,47.21166,6.66056,100.0,52.7744,34.63076,1.15804,-3.51562
